event_utc,cycle_run_id,event_type,supplier_id,f061_run_id,status,rows,notes
2026-04-30T15:14:17Z,fpm_live_20260430T151417Z,apply_and_scan_next_batch,entertainment_trading,fpm_entertainment_trading_20260430T151417Z,success,50,pending_after=20033
2026-04-30T15:50:24Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:50:34Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:50:44Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:50:54Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:51:05Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:51:15Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:51:25Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:51:36Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:51:46Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:51:57Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:52:07Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:52:17Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:52:28Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:52:38Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:52:48Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:52:59Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:53:09Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:53:19Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:53:30Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
2026-04-30T15:53:40Z,fpm_live_20260430T151417Z,restart_drain_ready,,,ready,0,maintenance_requested_boundary_wait
