sku,asin,marketplace,notes,enabled
6V-EEC1-2S9Z,B06WW79DX5,UK,high velocity consistent,yes
AX-NKNU-29C1,B08M52B4M5,UK,high velocity inconsistent,yes
JB-RGB6-LZOJ,B0001P0DLU,UK,mid velocity consistent,yes
VF-3T0K-DR5O,B08KFFY86W,UK,mid velocity inconsistent,yes
XY-UM2X-TPS3,B003VTZAM0,UK,mid velocity consistent,yes
4W-VS57-BV6A,B0C9LJNJWZ,UK,low velocity consistent,yes
TJ-6LOP-OPEU,B08P63MSS9,UK,low velocity consistent,yes
RZ-6ZL9-CZ7J,B075XT2J8X,UK,low velocity inconsistent,yes
XH-0LAE-FQO5,B00AOES9GE,UK,low velocity inconsistent,yes
YC-3L3M-BV48,B0CTD6Q6KY,UK,low velocity inconsistent,yes
XE-YPAI-HX9F,B086ZD7MG6,UK,added_for_phase1_live_test_2026-02-16,yes
L1-54EX-56YC,B09445GL1C,UK,candidate_with_stock_and_price_fluctuation,yes
