"sku","lane","enabled","effective_utc","note"
"4W-VS57-BV6A","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"6V-EEC1-2S9Z","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"AX-NKNU-29C1","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"JB-RGB6-LZOJ","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"RZ-6ZL9-CZ7J","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"TJ-6LOP-OPEU","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"VF-3T0K-DR5O","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"XE-YPAI-HX9F","lab","yes","2026-02-16T00:00:00Z","added_for_phase1_live_test_2026-02-16"
"XH-0LAE-FQO5","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"XY-UM2X-TPS3","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"YC-3L3M-BV48","lab","yes","2026-02-14T00:00:00Z","phase1_test_set_from_hos_snapshot_2026-02-13"
"L1-54EX-56YC","lab","yes","2026-02-16T00:00:00Z","phase1_live_pilot_added_2026-02-16"
