"sku","observe_enabled","write_enabled","manual_disable","notes"
"4W-VS57-BV6A","1","1","0","restored_live_write_2026-03-06_h_scope_fix"
"6V-EEC1-2S9Z","1","0","0","migrated_from_phase1_writer_modes"
"AX-NKNU-29C1","1","1","0","restored_live_write_2026-03-06_h_readonly_fix"
"JB-RGB6-LZOJ","1","1","0","restored_live_write_2026-03-06_h_scope_fix"
"L1-54EX-56YC","1","0","0","migrated_from_phase1_writer_modes"
"RZ-6ZL9-CZ7J","1","1","0","restored_live_write_2026-03-06_h_readonly_fix"
"TJ-6LOP-OPEU","1","1","0","restored_live_write_2026-03-06_h_scope_fix"
"VF-3T0K-DR5O","1","1","0","restored_live_write_2026-03-06_h_readonly_fix"
"XE-YPAI-HX9F","1","1","0","restored_live_write_2026-03-06_h_readonly_fix"
"XH-0LAE-FQO5","1","1","0","restored_live_write_2026-03-06_h_scope_fix"
"XY-UM2X-TPS3","1","1","0","restored_live_write_2026-03-06_h_readonly_fix"
"YC-3L3M-BV48","1","1","0","restored_live_write_2026-03-06_h_readonly_fix"
"RW-AZK6-O4M2","1","1","0","enabled by request 2026-02-26"
"0R-GRRH-W0Z9","1","1","0","activated_live_write_2026-02-27"
"5Z-6Z0P-9TQQ","1","1","0","enabled by request 2026-03-01"
"0G-JB6S-PN34","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"2G-AYBQ-TUQG","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"3X-EXDD-TD2K","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"6Q-9G2A-IKVV","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"714810","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"8M-NHB7-T8TR","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"8U-QPFH-3EKQ","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"9X-HL62-83C7","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"A1-KSU1-GZMS","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"A2-T2AC-TW3L","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"AF-KIHX-ANYY","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"BL-WX51-KQOK","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"CJ-X0SS-QOUW","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"CX-SMCH-4DYA","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"D8-1A3E-I37F","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"DC-K5WH-R7F5","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"FA-LRV6-YRFW","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"FB-6FW0-Z82Q","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"GY-FO04-RDYL","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"H6-E7MP-EBPD","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"HL-03ZR-QPHH","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"HS-R5IP-7E1C","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"IJ-V0PQ-4CZ4","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"L5-PF3B-WHU4","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"LP-QMNJ-J49G","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"LR-7GM6-1RCH","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"OV-LVEL-DQL6","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"Q1-00D7-5IQF","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"R4-0AXZ-ZZ9D","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"R7-98IN-2PW8","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"RI-VSUS-0YTD","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"TK-E7QE-T40G","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"UR-Q7TM-1F3I","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"US-AK96-YFSB","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"VU-8KRA-QP5M","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"W3-8FN7-FSP0","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"WE-1Z7L-SA2I","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"WJ-YHKC-EES5","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"X7-MY4W-H2I4","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"YO-EKK2-FRCC","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
"Z7-26PV-O9LR","1","1","0","bulk_enable_all_currently_eligible_2026-03-06"
