"sku","asin","manual_max_price_gbp","source","updated_utc","notes"
"0R-GRRH-W0Z9","B09NQD4S5N","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"4W-VS57-BV6A","B0C9LJNJWZ","44.99","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"6V-EEC1-2S9Z","B06WW79DX5","10.64","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"714810","B002BX8ZFG","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"7M-48OU-23X3","B004GFPFBO","26.00","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"A1-KSU1-GZMS","B07BC1CMDK","3.28","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"AX-NKNU-29C1","B08M52B4M5","3.99","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"BL-WX51-KQOK","B0897VHKW6","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"CJ-X0SS-QOUW","B0CG234KW1","19.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"CX-SMCH-4DYA","B0012B80HG","8.65","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"D8-1A3E-I37F","B001ET78RY","36.27","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"GY-FO04-RDYL","B008EJ8F7W","6.17","manual_bbp","2026-02-20T11:16:47Z","provided_by_user"
"IJ-V0PQ-4CZ4","B09NQCV872","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"JB-RGB6-LZOJ","B0001P0DLU","9.99","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"L5-PF3B-WHU4","B09LDDFK4R","39.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"LP-QMNJ-J49G","B0CL5DHG37","5.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"R4-0AXZ-ZZ9D","B0844ZRHS9","16.58","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"RI-VSUS-0YTD","B08MVGD2ND","8.35","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"RZ-6ZL9-CZ7J","B075XT2J8X","7.99","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"TJ-6LOP-OPEU","B08P63MSS9","9.00","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"TK-E7QE-T40G","B000FPU2SK","13.49","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"UR-UAT8-4JSI","B00LDLBG3A","6.99","manual_bbp","2026-02-20T11:16:08Z","provided_by_user"
"US-AK96-YFSB","B002DPGTF0","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"VF-3T0K-DR5O","B08KFFY86W","9.99","manual_bbp","2026-02-14T00:00:00Z","provided_by_user"
"VO-A6AR-18YS","B09NQDQ8X7","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"VU-8KRA-QP5M","B0BNLWBLMV","12.95","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"WE-1Z7L-SA2I","B08MVG9QZW","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"X7-MY4W-H2I4","B00S9IXBVU","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"XE-YPAI-HX9F","B086ZD7MG6","11.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"XH-0LAE-FQO5","B00AOES9GE","8.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"XY-UM2X-TPS3","B003VTZAM0","15.00","manual_bbp","2026-02-20T11:05:48Z","provided_by_user"
"YC-3L3M-BV48","B0CTD6Q6KY","109.45","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"Z7-26PV-O9LR","B07J9JGZZV","9.99","manual_bbp","2026-02-19T17:13:48Z","provided_by_user"
"L1-54EX-56YC","B0DK2JYVGK","17.99","manual_bbp","2026-02-19T17:50:00Z","provided_by_user"
"XE-27ZG-EZPZ","B0001IWX7E","4.99","manual_bbp","2026-02-24T12:57:42Z","provided_by_user"
"FA-LRV6-YRFW","B00BUY54DI","21.99","manual_bbp","2026-03-05T13:41:09Z","provided_by_user_max_sold"
"Q1-00D7-5IQF","B0042SI594","32.99","manual_bbp","2026-03-05T13:41:09Z","provided_by_user_max_sold"
"WJ-YHKC-EES5","B07CN7NRF7","9.99","manual_bbp","2026-03-05T13:41:09Z","provided_by_user_max_sold"
