offer_variant_id,sku,seller_id_canonical,fulfilment_channel,condition,shipping_template,variant_first_seen_utc,variant_last_seen_utc,variant_active_flag
ov_dc5d9e615b6fc216b141,RW-AZK6-O4M2,a2oxh6fkvayyj8,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_f50f6d765ff26c699fc7,RW-AZK6-O4M2,ab5om860ms57z,FBA,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_5f22e8562e04e178154b,RW-AZK6-O4M2,a14f3lk700ejv3,FBA,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_8f39ff765d1d6d37822f,RW-AZK6-O4M2,a1wt9v8fzq8scc,FBA,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_5e5935b4841ee3a441d1,RW-AZK6-O4M2,a275rb7tx52cqg,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_c785a4dea7acfaae62a1,RW-AZK6-O4M2,a1vmd3oyb995g8,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_9c82ed8a93865c6808ef,RW-AZK6-O4M2,a3rx01jqp0a8r9,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_bec9497576cc830b5d96,RW-AZK6-O4M2,a2f2qwf9koys5k,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_51bba690dc86ac3efc18,RW-AZK6-O4M2,a26do76qvk1jfr,FBA,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_05b844a02db246ce33fb,RW-AZK6-O4M2,a3toz9z1hr0hb6,FBA,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_0418554bf491b3d76905,RW-AZK6-O4M2,a1icokz7c5jv02,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_eff6fdff1366132f78ea,RW-AZK6-O4M2,ahnd7iki8fhv3,FBM,,UNKNOWN,2026-03-07T23:46:05Z,2026-03-07T23:46:05Z,1
ov_d658f23895ad11b9abf0,0R-GRRH-W0Z9,ab5om860ms57z,FBA,,UNKNOWN,2026-03-06T16:40:48Z,2026-03-06T16:40:48Z,1
ov_36c399bc707535fd0be4,0G-JB6S-PN34,ab5om860ms57z,FBA,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_59f369014949543ad73a,2G-AYBQ-TUQG,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_bed42a4805c6b685e80f,3X-EXDD-TD2K,ab5om860ms57z,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_43cd8e6504a7e7d54413,3X-EXDD-TD2K,a3p5rokl5a1ole,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_7b705ecd25b7ea1a7f3c,3X-EXDD-TD2K,a3p5rokl5a1ole,FBA,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_8415355a376e3326a276,3X-EXDD-TD2K,a30dc7701cxibh,FBM,,UNKNOWN,2026-03-17T09:33:21Z,2026-03-17T09:33:21Z,1
ov_069b41487cbebd38613b,3X-EXDD-TD2K,a143wmqsanjw6z,FBM,,UNKNOWN,2026-03-17T05:48:18Z,2026-03-17T05:48:18Z,1
ov_05b0dcf912d66849dd95,4W-VS57-BV6A,ab5om860ms57z,FBA,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_0f0a8cef65b3672d2c9f,4W-VS57-BV6A,a23vlr5kyft1pr,FBA,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_c830df86a008dc153ddf,4W-VS57-BV6A,a3p5rokl5a1ole,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_a7af894dcd55deffaa59,4W-VS57-BV6A,a3p5rokl5a1ole,FBA,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_18d19a3471f03edd51f5,4W-VS57-BV6A,a2ud95cfo7tbzq,FBA,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_ec6f89bb276acba8a288,4W-VS57-BV6A,a2ud95cfo7tbzq,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_5ed72d4290f4252c4b52,4W-VS57-BV6A,a16zatmmfe8j3y,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
ov_a9ea9f5261b36dc43a89,4W-VS57-BV6A,arkfzstqbzs2,FBM,,UNKNOWN,2026-03-11T23:45:13Z,2026-03-11T23:45:13Z,1
