sku,highest_eligible_price,lowest_ineligible_price,suppression_threshold_estimate,suppression_threshold_confidence,suppression_last_validated_utc,anchor_floor_price,suppression_ceiling_landed_temp,suppression_ceiling_expiry_utc,last_buy_box_state,updated_utc
5Z-6Z0P-9TQQ,3.49,,3.49,0.4,2026-03-07T14:47:59Z,3.16,,2026-03-07T14:48:00Z,LOST_TO_COMPETITOR,2026-03-07T14:47:59Z
HS-R5IP-7E1C,,5.04,5.04,0.6,2026-03-13T17:39:13Z,5.04,4.62,2026-03-16T17:39:13Z,SUPPRESSED_ASIN,2026-03-13T17:39:13Z
JB-RGB6-LZOJ,6.21,,6.21,0.4,2026-03-13T17:39:13Z,6.01,,2026-03-13T17:41:09Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
LP-QMNJ-J49G,,4.32,,0,2026-03-07T14:48:02Z,4.32,4.32,2026-03-16T17:39:13Z,SUPPRESSED_ASIN,2026-03-13T17:39:13Z
TJ-6LOP-OPEU,,6.49,6.49,0.6,2026-03-13T15:03:11Z,6.49,6.49,2026-03-16T15:03:11Z,SUPPRESSED_ASIN,2026-03-13T15:03:11Z
US-AK96-YFSB,7.90,,7.90,0.5,2026-03-07T14:47:59Z,4.52,,2026-03-07T14:48:03Z,NORMAL,2026-03-07T14:47:59Z
W3-8FN7-FSP0,,7.99,,0,2026-03-07T14:48:04Z,6.36,7.99,2026-03-10T14:49:24Z,SUPPRESSED_ASIN,2026-03-07T14:49:24Z
0G-JB6S-PN34,,5.90,,0,2026-03-07T17:06:32Z,6.22,5.90,2026-03-10T17:06:30Z,SUPPRESSED_ASIN,2026-03-07T17:06:30Z
8M-NHB7-T8TR,32.16,,32.16,0.4,2026-03-13T17:39:13Z,29.37,,2026-03-13T17:39:46Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
2G-AYBQ-TUQG,17.44,,17.44,0.4,2026-03-13T17:39:13Z,17.44,,2026-03-13T17:39:17Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
3X-EXDD-TD2K,42.65,,42.65,0.4,2026-03-13T17:39:13Z,36.18,,2026-03-13T17:39:30Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
6Q-9G2A-IKVV,15.39,,15.39,0.4,2026-03-13T17:39:13Z,15.39,,2026-03-13T17:39:33Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
714810,9.99,,9.99,0.4,2026-03-13T17:39:13Z,4.66,,2026-03-13T17:39:36Z,NORMAL,2026-03-13T17:39:13Z
8U-QPFH-3EKQ,6.27,,6.27,0.4,2026-03-13T17:39:13Z,6.27,,2026-03-13T17:39:50Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
9X-HL62-83C7,5.77,,5.77,0.4,2026-03-13T17:39:13Z,5.77,,2026-03-13T17:39:55Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
A1-KSU1-GZMS,2.99,,3.92,0.4,2026-03-13T17:39:13Z,3.92,,2026-03-13T17:39:58Z,NORMAL,2026-03-13T17:39:13Z
A2-T2AC-TW3L,11.06,,11.06,0.4,2026-03-13T17:39:13Z,10.64,,2026-03-13T17:40:08Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
AF-KIHX-ANYY,3.45,,3.45,0.4,2026-03-13T17:39:13Z,3.45,,2026-03-13T17:40:11Z,LOST_TO_COMPETITOR,2026-03-13T17:39:13Z
