Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,Refund_Sales_Total,Refund_Expenses_Total,Refund_Commission,Inbound_Transportation_Fee,Removal_Fee,Warehouse_Lost_Reimbursement,Reversal_Reimbursement,Retrocharge_Total,Inventory_Reimbursement,Compensated_Clawback,Shipping_Chargeback,Storage_Charges,Notes
2026-01-01T00:49:00Z,408-6032581-8743553,DC-K5WH-R7F5,2,6.96,1.30,5.66,,,,,,,,,,,,,-3.34,0.00,-3.34,-0.72,-0.12,-0.60,,,,,,,,,,,,,,,,EUR order; MarketplaceFacilitatorVAT-Principal -1.30
2026-01-01T03:41:00Z,026-6913307-1715501,EV-CHU5-XU3G,1,6.73,1.12,5.61,1.12,0.19,0.93,,,,0.00,0.00,0.00,,,,-1.92,-0.32,-1.60,-1.05,-0.18,-0.87,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order; shipping and tax provided by Amazon | Shipping corrected to gross (1.12)
2026-01-01T05:24:00Z,204-5110114-7020348,Z7-26PV-O9LR,1,8.99,1.50,7.49,,,,,,,,,,,,,-1.92,-0.32,-1.60,-0.86,-0.14,-0.72,-0.05,-0.01,-0.04,,,,,,,,,,,,,GBP order
2026-01-01T08:01:00Z,405-3654800-4548357,TU-8I14-25ZR,1,29.89,5.59,24.30,,,,,,,,,,,,,-3.39,0.00,-3.39,-5.38,-0.90,-4.48,,,,,,,,,,,,,,,,EUR order; MarketplaceFacilitatorVAT-Principal -5.59
2026-01-01T10:21:00Z,203-3755986-8779530,6V-EEC1-2S9Z,1,7.99,1.33,6.66,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T10:50:00Z,404-4880052-9365131,TU-8I14-25ZR,1,29.89,5.59,24.30,,,,,,,,,,,,,-3.39,0.00,-3.39,-5.37,-0.89,-4.48,,,,,,,,,,,,,,,,EUR order; MarketplaceFacilitatorVAT-Principal -5.59
2026-01-01T10:54:00Z,203-4763592-6333920,EV-CHU5-XU3G,1,6.73,1.12,5.61,,,,,,,,,,,,,-1.92,-0.32,-1.60,-1.04,-0.17,-0.87,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T10:57:00Z,205-9658159-4177914,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.82,-0.30,-1.52,-0.92,-0.16,-0.76,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T11:04:00Z,204-7553228-2684351,6V-EEC1-2S9Z,1,8.01,1.34,6.67,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T11:09:00Z,204-9395592-8498701,Z7-26PV-O9LR,1,8.99,1.50,7.49,,,,,,,,,,,,,-1.92,-0.32,-1.60,-0.86,-0.14,-0.72,-0.05,-0.01,-0.04,,,,,,,,,,,,,GBP order
2026-01-01T11:20:00Z,202-3373455-3385164,SU-5LQH-2DVN,1,8.28,1.38,6.90,,,,,,,,,,,,,-3.02,-0.50,-2.52,-1.29,-0.21,-1.08,-0.08,-0.01,-0.07,,,,,,,,,,,,,GBP order
2026-01-01T11:43:00Z,204-7473730-8647512,6V-EEC1-2S9Z,1,8.01,1.34,6.67,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.24,-0.20,-1.04,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T12:07:00Z,203-5895207-3495524,6V-EEC1-2S9Z,1,8.01,1.34,6.67,,,,,,,,,,,,,-1.95,-0.33,-1.62,-1.25,-0.21,-1.04,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T12:48:00Z,206-7207471-8289903,Z7-26PV-O9LR,1,8.99,1.50,7.49,,,,,,,,,,,,,-1.92,-0.32,-1.60,-0.86,-0.14,-0.72,-0.04,0.00,-0.04,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T12:51:00Z,202-0316846-4033959,Z7-26PV-O9LR,1,8.99,1.50,7.49,,,,,,,,,,,,,-1.92,-0.32,-1.60,-0.87,-0.15,-0.72,-0.05,-0.01,-0.04,,,,,,,,,,,,,GBP order
2026-01-01T12:54:00Z,202-7322617-9563537,TJ-6LOP-OPEU,1,7.08,1.18,5.90,,,,,,,,,,,,,-2.90,-0.48,-2.42,-0.68,-0.11,-0.57,-0.07,-0.01,-0.06,,,,,,,,,,,,,GBP order
2026-01-01T13:22:00Z,026-0698469-9353960,6V-EEC1-2S9Z,1,8.01,1.34,6.67,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T13:35:00Z,026-9424504-4957967,3X-EXDD-TD2K,1,49.99,8.33,41.66,,,,,,,,,,,,,-2.59,-0.43,-2.16,-9.00,-1.50,-7.50,-0.23,-0.04,-0.19,,,,,,,,,,,,,GBP order
2026-01-01T13:56:00Z,026-8563039-1840362,Z7-26PV-O9LR,1,8.99,1.50,7.49,,,,,,,,,,,,,-1.92,-0.32,-1.60,-0.87,-0.15,-0.72,-0.06,-0.02,-0.04,,,,,,,,,,,,,GBP order
2026-01-01T13:59:00Z,204-8509333-1419566,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.83,-0.31,-1.52,-0.92,-0.16,-0.76,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T14:40:00Z,205-7112528-8351519,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.82,-0.30,-1.52,-0.92,-0.16,-0.76,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T14:59:00Z,205-7643303-3324362,6V-EEC1-2S9Z,1,8.03,1.34,6.69,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.24,-0.20,-1.04,-0.05,0.00,-0.05,,,,,,,,,,,,,GBP order; digital services fee tax not listed
2026-01-01T15:12:00Z,202-7815713-6541940,6V-EEC1-2S9Z,1,8.03,1.34,6.69,,,,,,,,,,,,,-1.94,-0.32,-1.62,-1.25,-0.21,-1.04,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T15:41:00Z,203-8381898-2659535,EV-CHU5-XU3G,1,6.73,1.12,5.61,,,,,,,,,,,,,-1.92,-0.32,-1.60,-1.05,-0.18,-0.87,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T15:42:00Z,204-6398425-2686723,WX-L5UA-UB1Q,1,5.87,0.98,4.89,,,,,,,,,,,,,-1.83,-0.31,-1.52,-0.91,-0.15,-0.76,-0.06,-0.01,-0.05,,,,,,,,,,,,,GBP order
2026-01-01T16:04:00Z,026-2835431-4003514,DC-K5WH-R7F5,1,3.00,0.50,2.50,,,,,,,0.00,0.00,0.00,,,,-1.76,-0.30,-1.46,-0.30,-0.05,-0.25,-0.05,-0.01,-0.04,,,,,,,,,,,,,GBP order; promo rebates 0.00
2026-01-01T17:09:00Z,026-5313246-8599533,6V-EEC1-2S9Z,1,8.05,1.34,6.71,,,,,,,,,,,,,-1.95,-0.33,-1.62,-1.26,-0.21,-1.05,-0.07,-0.02,-0.05,,,,,,,,,,,,,GBP order
