"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (EUR)"
"22/1/2026","Order Payment","408-3815763-0897149","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","26.15","0","-9.18","0","16.97"
"22/1/2026","Order Payment","403-1022512-2412300","Myprotein Unisex Adult Mini Bottle Shake...","6.49","0","-4.41","0","2.08"
"22/1/2026","Order Payment","403-4345489-8014711","Free League Publishing MÖRK Borg (Fantas...","35.42","0","-10.41","2","27.01"
"21/1/2026","Order Payment","407-2484036-0784316","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","26.29","0","-9.21","0","17.08"
"19/1/2026","Order Payment","402-3321439-2116336","TEPE INTERDENTAL Travel CASE","2.85","0","-2.03","0","0.82"
"18/1/2026","Inventory Reimbursement","402-7242287-4963533","FBA inventory reimbursement","0","0","0","14.78","14.78"
"12/1/2026","Order Payment","404-7695152-6372339","TEPE INTERDENTAL Travel CASE","2.84","0","-5.35","3.24","0.73"
"11/1/2026","Order Payment","402-6609138-2949105","Dragon Shield ART11105 White (60) Matte ...","7.06","0","-4.23","0","2.83"
"8/1/2026","Order Payment","403-3901352-2638756","Dragon Shield ART11105 White (60) Matte ...","7.07","0","-4.24","0","2.83"
"7/1/2026","Order Payment","402-5348628-3945944","Price's - Time for You Large Jar Candle ...","14.62","0","-4.73","0","9.89"
"6/1/2026","Order Payment","408-7812233-5689168","Dragon Shield ART11105 White (60) Matte ...","7.07","0","-4.24","0","2.83"
"4/1/2026","Order Payment","408-6032581-8743553","TEPE INTERDENTAL Travel CASE","5.66","0","-4.06","0","1.6"
"4/1/2026","Order Payment","408-4381040-9024342","Curaprox CS 12460 Velvet Toothbrush - Se...","7.97","0","-2.61","0","5.36"
"3/1/2026","Order Payment","404-4880052-9365131","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.3","0","-8.76","0","15.54"
"3/1/2026","Refund","402-4363588-5570740","Dragon Shield ART11105 White (60) Matte ...","-7.04","0","1.25","0","-5.79"
"3/1/2026","Order Payment","405-3654800-4548357","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.3","0","-8.77","0","15.53"
"28/12/2025","Order Payment","406-7125557-2967562","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.31","0","-8.78","0","15.53"
"28/12/2025","Order Payment","402-9111771-2845961","Dragon Shield ART11105 White (60) Matte ...","7.04","0","-4.23","0","2.81"
"27/12/2025","Order Payment","402-4363588-5570740","Dragon Shield ART11105 White (60) Matte ...","7.04","0","-4.23","0","2.81"
"20/12/2025","Order Payment","406-2544131-4125144","Price's - Time for You Large Jar Candle ...","14.91","0","-9.97","3.24","8.18"
"19/12/2025","Order Payment","405-4892856-7471528","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.23","0","-8.75","0","15.48"
"18/12/2025","Order Payment","405-7505611-7276337","Yu Gi Oh! Legendary Decks 2 2024 Unlimit...","24.23","0","-8.76","0","15.47"
"17/12/2025","Refund","403-0324237-7264339","Learning Resources Kanoodle 3D Brain Tea...","-12.35","0","5.5","-3.24","-10.09"
"17/12/2025","Order Payment","171-3179836-0069160","Snackles Small Sized 14 cm by ZURU Cuddl...","13.25","0","-6.34","0","6.91"
"14/12/2025","Order Payment","407-3092404-5369142","Dragon Shield Sealable: (100) Cream","7.87","0","-3.62","0","4.25"
