Order ID,SKU,COGS_ExVAT,COGS_Total,Quantity Ordered
026-9424504-4957967,3X-EXDD-TD2K,-41.02,-41.02,1
404-4880052-9365131,TU-8I14-25ZR,-25.34,-25.34,1
405-3654800-4548357,TU-8I14-25ZR,-25.34,-25.34,1
205-0291358-9417951,49-4UKW-G81R,-12.16,-12.16,2
204-9879523-5781124,XE-YPAI-HX9F,-9.16,-9.16,1
204-9658283-5620365,6V-EEC1-2S9Z,-9.0,-9.0,2
202-0316846-4033959,Z7-26PV-O9LR,-8.88,-8.88,1
026-8563039-1840362,Z7-26PV-O9LR,-8.88,-8.88,1
204-5110114-7020348,Z7-26PV-O9LR,-8.88,-8.88,1
204-9395592-8498701,Z7-26PV-O9LR,-8.88,-8.88,1
206-7207471-8289903,Z7-26PV-O9LR,-8.88,-8.88,1
202-0163562-6882721,Z7-26PV-O9LR,-8.88,-8.88,1
206-0647215-7566760,4F-HT42-FD26,-6.66,-6.66,1
026-6913307-1715501,EV-CHU5-XU3G,-5.46,-5.46,1
203-8381898-2659535,EV-CHU5-XU3G,-5.46,-5.46,1
203-4763592-6333920,EV-CHU5-XU3G,-5.46,-5.46,1
205-9979731-9513929,EV-CHU5-XU3G,-5.46,-5.46,1
202-7925719-5142763,D2-8SPY-Q095,-4.84,-4.84,1
204-8122313-4281919,6V-EEC1-2S9Z,-4.5,-4.5,1
204-7473730-8647512,6V-EEC1-2S9Z,-4.5,-4.5,1
203-3784865-8868353,6V-EEC1-2S9Z,-4.5,-4.5,1
205-7643303-3324362,6V-EEC1-2S9Z,-4.5,-4.5,1
206-4495253-2835556,6V-EEC1-2S9Z,-4.5,-4.5,1
203-3755986-8779530,6V-EEC1-2S9Z,-4.5,-4.5,1
204-7553228-2684351,6V-EEC1-2S9Z,-4.5,-4.5,1
202-7815713-6541940,6V-EEC1-2S9Z,-4.5,-4.5,1
026-9762495-0064333,6V-EEC1-2S9Z,-4.5,-4.5,1
203-5895207-3495524,6V-EEC1-2S9Z,-4.5,-4.5,1
202-8895078-2724346,6V-EEC1-2S9Z,-4.5,-4.5,1
202-7434904-0586728,6V-EEC1-2S9Z,-4.5,-4.5,1
026-5313246-8599533,6V-EEC1-2S9Z,-4.5,-4.5,1
026-0698469-9353960,6V-EEC1-2S9Z,-4.5,-4.5,1
202-3373455-3385164,SU-5LQH-2DVN,-4.38,-4.38,1
202-7322617-9563537,TJ-6LOP-OPEU,-4.38,-4.38,1
026-4398509-3197117,SU-5LQH-2DVN,-4.38,-4.38,1
206-4646853-8024367,SU-5LQH-2DVN,-4.38,-4.38,1
203-2356632-3105919,SU-5LQH-2DVN,-4.38,-4.38,1
204-3764574-1853903,SU-5LQH-2DVN,-4.38,-4.38,1
204-6220941-7393909,WX-L5UA-UB1Q,-3.44,-3.44,1
203-5551125-1557926,WX-L5UA-UB1Q,-3.44,-3.44,1
206-9537384-7986709,WX-L5UA-UB1Q,-3.44,-3.44,1
205-4179902-1289924,WX-L5UA-UB1Q,-3.44,-3.44,1
205-9658159-4177914,WX-L5UA-UB1Q,-3.44,-3.44,1
204-6398425-2686723,WX-L5UA-UB1Q,-3.44,-3.44,1
205-7112528-8351519,WX-L5UA-UB1Q,-3.44,-3.44,1
204-8509333-1419566,WX-L5UA-UB1Q,-3.44,-3.44,1
408-6032581-8743553,DC-K5WH-R7F5,-2.72,-2.72,2
026-2835431-4003514,DC-K5WH-R7F5,-1.36,-1.36,1
204-0718203-8947547,WX-L5UA-UB1Q,0.0,0.0,0
026-7958218-8920369,WX-L5UA-UB1Q,0.0,0.0,0
