seller_sku,allocated,available,returned_pending,unsellable,warehouse,order_qty,allocated_qty,unallocated_qty,asin,fnsku,condition,inventory_status,inventory_total_quantity,in_stock_supply_quantity,inbound_working,inventory_inbound_shipped,inventory_inbound_receiving,inventory_available,inventory_unsellable,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,inventory_inbound,refund_events,stock_adjustment_events,token_total,available_tokens,warehouse_tokens,unsellable_tokens,returned_pending_tokens,ready_to_allocate,delta_inbound_vs_tokens,report_ts
02-7AZG-O0CV,1,0,0,0,0,1,0,1,B01N31JDVX,X0022WD3O7,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-10T03:32:48Z,0,0,0,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
0G-JB6S-PN34,25,122,0,0,0,25,0,25,B07H2WXMDJ,X002C5IRB3,NewItem,,122.0,122,0,0.0,0.0,122,0,0,0,0,2026-01-08T14:24:13Z,0,0,5,147,122,0,0,0,True,0,2026-01-20T13:24:57Z
0H-5V53-GPG4,46,0,0,0,0,46,0,46,B0CRRPCT5P,X002AS81FJ,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-13T12:31:16Z,0,0,3,46,0,0,0,0,False,0,2026-01-20T13:24:57Z
0R-GRRH-W0Z9,0,6,0,0,0,0,0,0,B09NQD4S5N,X002AS6LUL,NewItem,,6.0,6,0,0.0,0.0,6,0,0,0,0,2026-01-18T00:12:36Z,0,0,0,6,6,0,0,0,True,0,2026-01-20T13:24:57Z
0Z-Y60V-499R,3,0,0,0,0,3,0,3,B09NQBQW49,X002B1NOS9,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-16T14:29:08Z,0,0,0,3,0,0,0,0,False,0,2026-01-20T13:24:57Z
1U-1W76-M840,1,0,0,0,0,1,0,1,B07V9CRX7Y,X002E19ZX9,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-02T05:57:28Z,0,0,0,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
2G-AYBQ-TUQG,6,9,0,0,0,6,0,6,B002KFZKZ8,X0028QJ2XX,NewItem,,9.0,9,0,0.0,0.0,9,0,0,0,0,2026-01-19T18:31:12Z,0,0,0,15,9,0,0,0,True,0,2026-01-20T13:24:57Z
2L-M26G-560I,3,0,0,0,0,3,0,3,B075WYWJ5L,X002B82M21,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-03T09:50:02Z,0,0,0,3,0,0,0,0,False,0,2026-01-20T13:24:57Z
3B-3H3V-Z93T,13,10,0,0,19,13,0,13,B0CP69JJGG,X002B84QPH,NewItem,,29.0,10,0,0.0,0.0,10,0,19,0,0,2026-01-20T09:26:34Z,0,0,1,42,10,19,0,0,False,19,2026-01-20T13:24:57Z
3E-62Y1-WPYU,1,0,0,0,0,1,0,1,B0DN6KL887,X0028QJ5KN,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-04T18:23:49Z,0,0,0,1,0,0,0,0,False,0,2026-01-20T13:24:57Z
3T-6QPR-E2MV,22,0,0,0,0,22,0,22,B06XGSJS7N,X0025DTPH7,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2026-01-11T21:08:18Z,0,0,0,22,0,0,0,0,False,0,2026-01-20T13:24:57Z
3X-EXDD-TD2K,18,7,1,1,0,19,0,19,B0D6W9DZX4,X0029PJ5CV,NewItem,,9.0,8,0,0.0,0.0,8,1,0,0,0,2026-01-20T02:48:12Z,0,1,6,27,7,0,1,1,False,0,2026-01-20T13:24:57Z
49-4UKW-G81R,50,9,0,0,0,50,0,50,B00WI8O0RG,X001YC1PPF,NewItem,,9.0,9,0,0.0,0.0,9,0,0,0,0,2026-01-20T02:50:06Z,0,0,0,59,9,0,0,0,False,0,2026-01-20T13:24:57Z
4D-BI2L-5PZ8,5,0,0,0,0,5,0,5,B000Q351JG,X0029FM48D,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-26T12:27:44Z,0,0,0,5,0,0,0,0,False,0,2026-01-20T13:24:57Z
4F-HT42-FD26,30,1,0,0,0,30,0,30,B010E25DI2,X0021K11U3,NewItem,,1.0,1,0,0.0,0.0,1,0,0,0,0,2026-01-13T13:51:39Z,0,0,3,31,1,0,0,0,False,0,2026-01-20T13:24:57Z
4U-9ZL6-9G0Y,0,0,0,0,1,0,0,0,B07C8QSSR2,X00208LBW9,NewItem,,1.0,0,0,0.0,0.0,0,0,0,1,0,2025-11-03T13:08:43Z,0,0,3,1,0,1,0,0,True,1,2026-01-20T13:24:57Z
4U-XT39-AMUJ,4,0,0,0,0,4,0,4,B07RRQX71T,X002F8L4ZN,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-11-03T00:34:39Z,0,0,0,4,0,0,0,0,False,0,2026-01-20T13:24:57Z
4W-VS57-BV6A,4,24,0,0,0,4,0,4,B0C9LJNJWZ,X0029NJZVJ,NewItem,,24.0,24,0,0.0,0.0,24,0,0,0,0,2026-01-16T11:59:25Z,0,0,0,28,24,0,0,0,True,0,2026-01-20T13:24:57Z
5M-QO6K-LNH0,3,0,0,0,0,3,0,3,B00ANP09LM,X0028A4RTD,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-17T11:34:00Z,0,0,1,3,0,0,0,0,False,0,2026-01-20T13:24:57Z
5Z-6Z0P-9TQQ,0,12,0,0,0,0,0,0,B08MW8XMNQ,X0022RQT3T,NewItem,,12.0,12,0,0.0,0.0,12,0,0,0,0,2026-01-15T20:36:27Z,0,0,0,12,12,0,0,0,True,0,2026-01-20T13:24:57Z
6P-IWYA-X18B,29,0,0,0,0,29,0,29,B07B8RJDXT,X00259JM6Z,NewItem,,0.0,0,0,0.0,0.0,0,0,0,0,0,2025-12-01T00:54:35Z,0,0,0,29,0,0,0,0,False,0,2026-01-20T13:24:57Z
6Q-9G2A-IKVV,2,59,0,0,0,2,0,2,B000PSB13C,X00201ZDE3,NewItem,,59.0,59,0,0.0,0.0,59,0,0,0,0,2026-01-19T00:48:35Z,0,0,0,61,59,0,0,0,True,0,2026-01-20T13:24:57Z
