order_id,order_date,seller_sku,token_id,token_cost,currency,allocation_date,quantity,source,built_at
205-6786758-2337967,2025-11-01T00:14:17Z,XH-0LAE-FQO5,XH-0LAE-FQO51-0001,3.11,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
206-6632739-7323507,2025-11-01T02:50:36Z,NN-TSZ1-X2RD,NN-TSZ1-X2RD2-0001,3.89,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
204-6330672-9442759,2025-11-01T03:13:17Z,NN-TSZ1-X2RD,NN-TSZ1-X2RD2-0002,3.89,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
204-2701820-1936356,2025-11-01T08:00:50Z,0G-JB6S-PN34,0G-JB6S-PN34-2025-06-19-row760-0001,2.74,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
204-6530222-4673137,2025-11-01T09:32:51Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0001,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
202-8832583-6765967,2025-11-01T09:37:00Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0002,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
206-1452967-8868347,2025-11-01T09:39:04Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0003,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
206-5464336-6193967,2025-11-01T09:46:27Z,0H-5V53-GPG4,0H-5V53-GPG4-2025-07-05-row679-0001,4.85,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
206-4207037-9678747,2025-11-01T10:04:37Z,L5-PF3B-WHU4,L5-PF3B-WHU4-2025-05-20-row700-0001,17.5,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
026-7570691-3164326,2025-11-01T10:12:01Z,JL-VTP2-JF3Q,JL-VTP2-JF3Q1-0001,6.95,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
205-5962801-9713929,2025-11-01T10:17:21Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0004,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
203-2830602-7037915,2025-11-01T10:26:08Z,XH-0LAE-FQO5,XH-0LAE-FQO51-0002,3.11,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
202-8302697-5223512,2025-11-01T10:30:09Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0005,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
203-7653117-9553959,2025-11-01T10:44:59Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0006,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
203-7653117-9553959,2025-11-01T10:44:59Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0007,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
203-6034506-4881958,2025-11-01T10:47:32Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0008,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
204-1268645-6629907,2025-11-01T11:01:33Z,U1-M5BM-8F5W,U1-M5BM-8F5W2-0001,0.0,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
202-2851694-6317151,2025-11-01T11:02:20Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0009,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
026-9940683-5429925,2025-11-01T11:17:26Z,0H-5V53-GPG4,0H-5V53-GPG4-2025-07-05-row679-0002,4.85,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
026-8630322-8608366,2025-11-01T12:07:21Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0010,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
204-2296798-6109936,2025-11-01T12:24:56Z,A9-2Y9G-M2K7,A9-2Y9G-M2K7-2025-06-23-row774-0001,0.0,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
203-9107901-0440369,2025-11-01T12:27:27Z,4U-XT39-AMUJ,4U-XT39-AMUJ-2025-10-06-row889-0001,0.0,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
203-9107901-0440369,2025-11-01T12:27:27Z,4U-XT39-AMUJ,4U-XT39-AMUJ-2025-10-06-row889-0002,0.0,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
204-5631009-0563508,2025-11-01T12:31:40Z,6V-EEC1-2S9Z,6V-EEC1-2S9Z5-0011,2.07,GBP,,1,token_ledger_live,2026-01-24T13:40:21Z
