check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours
orders_all_rows,ok,7020,,,,,
orders_missing_items_window,ok,0,,,,,
order_master_rows,ok,6843,,,,,
order_master_row_drop,ok,0,"prev=6843, current=6843",,,,
order_master_blank_sku,ok,0,,,,,
order_master_blank_date,ok,0,,,,,
order_master_blank_qty,ok,0,,,,,
order_master_date_gap_hours,ok,0.00,orders_all max 2026-02-20 14:26:25+00:00; master max 2026-02-20 14:26:25+00:00,,,,
order_master_blank_cogs_lvl1plus,ok,0,,,,,
l1_keys_missing_in_master,ok,0,ignored_missing_fee_keys=1;held_back_missing_tokens=10;held_back_missing_tokens_dynamic=10,,,,
order_master_orphans_count,ok,0,,,,,
l3_orphans_count,ok,0,scope_start=2025-11-01; missing_dates=0; ignored_orders=635,,,,
token_cogs_rows,ok,7816,,,,,
token_shortages_by_sku,ok,0,,,,,
b_cycle_log_exists,ok,yes,mtime 2026-02-20T14:55:43.378042+00:00; path=out\systems\B\live\B_cycle.log,,,,
b_cycle_recent_fail_lines,ok,0,latest_cycle=2026-02-20T14:52:53Z; raw_fail_count=0; recovered_count=0; unresolved_count=0; ignored_non_actionable=0; path=out\systems\B\live\B_cycle.log,,,,
b_sheet_sync_external_health,ok,0,window_hours=6.0;path=out\b_sheet_sync_status.csv;latest_step=B007_allocate_tokens_live;latest_status=ok;latest_severity=ok,,,,
b_schema_orders_missing_items_window,ok,ok,,,,,
b_schema_unknown_fee_countries,ok,ok,,,,,
b_schema_l3_orphans,ok,ok,,,,,
b_schema_token_allocation_skipped,ok,ok,,,,,
b_schema_orphan_recovery_alerts,ok,ok,,,,,
b_schema_orphan_order_items_recovered,ok,ok,,,,,
b_schema_orphan_order_items_failed,ok,ok,,,,,
