Order ID,SKU,Date,lvl,Quantity Ordered,currency_code
026-4060095-6167511,6V-EEC1-2S9Z,2026-02-20T13:26:55Z,1,1,
026-6616186-1597127,UR-UAT8-4JSI,2026-02-20T12:33:29Z,1,1,
026-6892626-9449916,6V-EEC1-2S9Z,2026-02-20T12:07:46Z,1,1,
203-9330296-2161135,6V-EEC1-2S9Z,2026-02-20T13:58:32Z,1,1,
204-6652219-1322752,GK-YI4S-C158,2026-02-16T12:50:17Z,1,1,
204-8281471-5345117,6V-EEC1-2S9Z,2026-02-20T10:54:10Z,1,3,
205-1771812-5277103,6V-EEC1-2S9Z,2026-02-20T11:20:30Z,1,1,
206-1956296-3610747,6V-EEC1-2S9Z,2026-02-20T14:02:32Z,1,1,
206-4340886-0994769,6V-EEC1-2S9Z,2026-02-19T17:58:05Z,1,1,
S02-6203744-6940028,QM-QAGK-D2UQ,2026-02-16T10:41:57Z,1,1,
