check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours
h_health_alert_snooze_config,ok,expired,until=2026-02-14T23:59:00Z;reason=temporary suppression while focusing on H-cycle blocker gate,,,,
orders_all_rows,ok,6997,,,,,
order_items_all_rows,ok,7016,,,,,
orders_missing_items_window,ok,0,,,,,
order_master_rows,ok,6828,,,,,
order_master_row_drop,ok,0,"prev=6828, current=6828",,,,
order_master_blank_sku,ok,0,,,,,
order_master_blank_date,ok,0,,,,,
order_master_blank_qty,ok,0,,,,,
order_master_date_gap_hours,ok,0.00,orders_all max 2026-02-19 14:07:17+00:00; master max 2026-02-19 14:07:17+00:00,,,,
order_master_blank_cogs_lvl1plus,ok,0,,,,,
l1_keys_missing_in_master,ok,0,ignored_missing_fee_keys=1;held_back_missing_tokens=2;held_back_missing_tokens_dynamic=2,,,,
order_master_orphans_count,ok,0,,,,,
l3_orphans_count,ok,0,scope_start=2025-11-01; missing_dates=0; ignored_orders=635,,,,
level2_duplicate_keys,ok,0,,,,,
tokens_total,ok,9638,,,,,
tokens_available,ok,1824,,,,,
tokens_allocated,ok,7727,,,,,
tokens_stock_receipt_missing_order_key,ok,0,stock_receipt_rows=123,,,,
token_cogs_rows,ok,7800,,,,,
inventory_rows,ok,336,,,,,
token_shortages_by_sku,ok,0,,,,,
b_cycle_log_exists,ok,yes,mtime 2026-02-19T17:50:17.506882+00:00; path=out\systems\B\live\B_cycle.log,,,,
b_cycle_recent_fail_lines,ok,0,latest_cycle=2026-02-19T17:46:54Z; raw_fail_count=0; recovered_count=0; unresolved_count=0; ignored_non_actionable=0; path=out\systems\B\live\B_cycle.log,,,,
b_sheet_sync_external_health,ok,0,window_hours=6.0;path=out\b_sheet_sync_status.csv;latest_step=B007_allocate_tokens_live;latest_status=ok;latest_severity=ok,,,,
a_fees_failed_rows_today,ok,0,path=out\fees_failed.csv;total_rows=0,,,,
b_schema_orders_missing_items_window,ok,ok,,,,,
b_schema_unknown_fee_countries,ok,ok,,,,,
fee_rules_unknown_countries,ok,0,,,,,
c_schema_financial_events_shipments,ok,ok,,,,,
c_schema_financial_events_inbound_summary,ok,ok,,,,,
c_schema_inventory_ledger_raw,ok,ok,,,,,
c_schema_purchase_source,ok,ok,,,,,
b_schema_l3_orphans,ok,ok,,,,,
b_schema_token_allocation_skipped,ok,ok,,,,,
b_schema_orphan_recovery_alerts,ok,ok,,,,,
b_schema_orphan_order_items_recovered,ok,ok,,,,,
b_schema_orphan_order_items_failed,ok,ok,,,,,
c_schema_merchant_listings,ok,ok,,,,,
c_schema_storage_fee_monthly,ok,ok,,,,,
c_schema_long_term_storage_fee_monthly,ok,ok,,,,,
c_schema_inbound_delivery_status,ok,ok,,,,,
c_schema_inbound_missing_units,ok,ok,,,,,
c_schema_inbound_cost_events,ok,ok,,,,,
c_schema_inbound_costs_allocated,ok,ok,,,,,
c_schema_inbound_costs_unallocated,ok,ok,,,,,
c_schema_inbound_costs_allocated_sku,ok,ok,,,,,
c_schema_inbound_costs_unallocated_sku,ok,ok,,,,,
c_schema_inbound_costs_allocation_summary,ok,ok,,,,,
c_schema_vat_country_model,ok,ok,,,,,
c_schema_fee_country_model,ok,ok,,,,,
c_schema_token_maturity_window,ok,ok,,,,,
c_schema_token_maturity_window_sku,ok,ok,,,,,
e_schema_sales_velocity,ok,ok,,,,,
e_schema_roi_snapshot,ok,ok,,,,,
e_schema_roi_snapshot_uk,ok,ok,,,,,
e_schema_roi_snapshot_non_uk,ok,ok,,,,,
e_schema_roi_snapshot_by_country,ok,ok,,,,,
e_schema_restock_signals,ok,ok,,,,,
e_schema_performance_summary,ok,ok,,,,,
e_schema_study_report,ok,ok,,,,,
e_schema_run_log,ok,ok,,,,,
e_schema_decision_log,ok,ok,,,,,
