asin,status,item_name,brand_name,product_type,main_image,upc,ean,gtin,parent_asin,color,size,manufacturer,part_number,model_number,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,bullet_points,keywords,error
B002KFZKZ8,200,"Zyliss E46145 Strongboy 2 Jar Opener, Plastic/Metal, White, Adjustable Grip to Open Opens Jar/Bottle Lids/Caps",,CAN_OPENER,https://m.media-amazon.com/images/I/31F7JfiGRlL.jpg,,5011268893742,05011268911323,,White,29.5cm/11.5in,DkbHouseholdUkLtd,,,0.17,kilograms,4.2,18.9,32.1,centimeters,29.5,10.0,4.0,centimeters,,,
B0D6W9DZX4,200,"OtterBox Symmetry Folio Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black",,PORTABLE_ELECTRONIC_DEVICE_COVER,https://m.media-amazon.com/images/I/81WznDxFpML.jpg,840304766048,0840304766048,,,Black,,Otterbox,,,0.52,kilograms,2.9,19.4,27.9,centimeters,1.19,18.31,25.53,centimeters,,,
B09MWLJFFX,200,"OtterBox Defender Case for iPad Mini 8.3-Inch 7th gen 2024 (A17 Pro) / 6th gen 2021, Shockproof, Ultra-Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black",,PORTABLE_ELECTRONIC_DEVICE_COVER,https://m.media-amazon.com/images/I/71-LySN0i-L.jpg,840262369183,0840262369183,,,black,Pack of 1,Otterbox,,,0.272,kilograms,3.0988,16.4084,21.0058,centimeters,8.6,5.81,0.59,inches,,,
B06WW79DX5,200,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,,BONDING_ADHESIVES,https://m.media-amazon.com/images/I/81tysH80DZL.jpg,,5039164200648,,,Clear,20g,Everbuild,,,0.09,kilograms,0.09,14.3,18.1,centimeters,1.18,1.18,3.54,inches,,,
B001KYTW0O,200,"Fackelmann OPAL Melon Baller, Food & Fruit Scoop, Grapefruit & Potato Scoop, Cutting Scoop Head, Stainless Steel, 16.5x2.3x1.5cm, Silver",,FOOD_MASHER,https://m.media-amazon.com/images/I/61jP94DCp2L.jpg,,4008033404396,04008033404396,,Silver,16.5x2.3x1.5cm,Fackelmann,,,0.05,kilograms,1.8,5.6,16.3,centimeters,6.7,0.78,0.49,inches,,,
B002BX8ZFG,200,"Fackelmann OPAL Pizza Wheel, Pizza Cutter & Slicer, Super Sharp Blade, Stainless Steel, 18.5x5x1.2cm, Silver",,WHEEL_CUTTER,https://m.media-amazon.com/images/I/414DudnlCbL.jpg,,4008033404372,04008033404372,,Silver,18.5x5 x1.2cm,Fackelmann,,,0.28,kilograms,1.7,23.6,31.9,centimeters,7.3,0.49,1.96,inches,,,
9189143051,200,Free League FLF-ALE014 ALIEN RPG Destroyer of Worlds Game,,GAMES,https://m.media-amazon.com/images/I/61qpeYKd65L.jpg,,9789189143050,09789189143050,,Multicolor,Standard,Free League Publishing,,,0.948,kilograms,2.794,23.1902,28.9052,centimeters,8.5,11.0,0.5,inches,,,
B016Y8SWZQ,200,"Easy Cook NS606R Microwave Egg Poacher, red, 2 cup",,COOKING_CONTAINER,https://m.media-amazon.com/images/I/61lW3osNZcL.jpg,,5015826096064,05015826096064,,Red,2 cup,Pendeford Housewares,,,0.14,kilograms,6.4,12.8,22.4,centimeters,6.06,8.82,2.76,inches,,,
B00D1V5FPU,200,"Bosch 2608831003 ""SDS Plus-3"" Hammer Drill Bit, 0 V, Grey, 5 x 100 x 160 mm",,DRILL_BITS,https://m.media-amazon.com/images/I/31A8pqqVwrL.jpg,,6949509209344,06949509209344,,Grey,5 x 100 x 160 mm,Bosch,,,0.04,kilograms,1.4,2.8,25.3,centimeters,25.5,2.7,1.0,centimeters,,,
B0BBHBX72C,200,"OtterBox Defender Case for iPad 10th gen 2022, iPad 11th gen 2025 (A16), Shockproof, Rugged Protective Case with built in Screen Protector, 2x Tested to Military Standard, Black, No Retail Packaging",,PORTABLE_ELECTRONIC_DEVICE_COVER,https://m.media-amazon.com/images/I/61lsa4VKdyL.jpg,840262399692,0840262399692,00840262399692,,Black,Defender Series,Otterbox,,,0.558,kilograms,2.9972,20.701,28.194,centimeters,11.69,8.19,1.13,inches,,,
