order_id,SKU,sb_cogs,our_cogs,delta,orders_back,Order number,Product
206-9703063-3230713,A2-T2AC-TW3L,9.02,17.6,8.580000000000002,71,206-9703063-3230713 / Shipped / COG: 4.51 / FBA,Everbuild Industrial Grade Superglue GP 50 g Pack of 3 / Price: 12.23
206-4858638-6934747,Z7-26PV-O9LR,4.3,8.88,4.580000000000001,9,206-4858638-6934747 / Shipped / COG: 4.3 / FBA,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical) / Price: 9.99
203-2395294-7767569,NN-TSZ1-X2RD,3.99,7.78,3.79,20,203-2395294-7767569 / Shipped / COG: 3.99 / FBA,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland / Price: 7.97"
204-9399799-9013942,YO-EKK2-FRCC,2.38,5.66,3.2800000000000002,1,204-9399799-9013942 / Shipped / COG: 2.38 / FBA,"SPLAT Biocalcium Toothpaste, 100 ml / Price: 6.42"
203-5736872-3706720,49-4UKW-G81R,3.04,6.08,3.04,2,203-5736872-3706720 / Shipped / COG: 3.04 / FBA,100 Ultra Pro Card Protector Sleeves: Pro-Matte - 66 x 91 mm / Price: 8.99
202-7938330-8582755,EV-CHU5-XU3G,2.46,5.46,3.0,21,202-7938330-8582755 / Shipped / COG: 2.46 / FBA,The Army Painter | Hobby: Super Glue / Price: 8.2
202-7194557-3943564,JB-RGB6-LZOJ,2.47,4.94,2.47,10,202-7194557-3943564 / Shipped / COG: 2.47 / FBA,Loctite 319 Rear View Mirror Bonder 0.5ml / Price: 6.2
202-2143388-2542702,WX-L5UA-UB1Q,1.72,3.44,1.72,65,202-2143388-2542702 / Shipped / COG: 1.72 / FBA,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106) / Price: 5.73"
026-6843502-5282752,T8-6UWL-I3E1,1.48,2.96,1.48,3,026-6843502-5282752 / Shipped / COG: 1.48 / FBA,"Solvite SLVTHRIFT Wallpaper & Border Paste, Set of 1 / Price: 4.26"
026-7415208-9362760,DC-K5WH-R7F5,0.68,1.36,0.68,47,026-7415208-9362760 / Shipped / COG: 0.68 / FBA,TEPE INTERDENTAL Travel CASE / Price: 3
