"seller_sku","asin","cpt_status","cpt_gbp","price_reference_gbp","price_reference_source","delta_cpt_minus_reference_gbp","group_ab"
"4W-VS57-BV6A","B0C9LJNJWZ","OK","35.00","126.71","avg_sold_price","-91.71","B"
"6V-EEC1-2S9Z","B06WW79DX5","OK","21.41","8.18","avg_sold_price","13.23","A"
"AX-NKNU-29C1","B08M52B4M5","OK","1.15","6.71","avg_sold_price","-5.56","B"
"JB-RGB6-LZOJ","B0001P0DLU","OK","6.15","6.30","avg_sold_price","-0.15","B"
"RZ-6ZL9-CZ7J","B075XT2J8X","OK","7.47","8.36","avg_sold_price","-0.89","B"
"TJ-6LOP-OPEU","B08P63MSS9","OK","6.49","7.08","avg_sold_price","-0.59","B"
"VF-3T0K-DR5O","B08KFFY86W","OK","5.29","6.13","avg_sold_price","-0.84","B"
"XH-0LAE-FQO5","B00AOES9GE","MISSING","","8.43","avg_sold_price","","UNKNOWN"
"XY-UM2X-TPS3","B003VTZAM0","OK","10.85","11.97","avg_sold_price","-1.12","B"
"YC-3L3M-BV48","B0CTD6Q6KY","MISSING","","130.56","avg_sold_price","","UNKNOWN"
