"sku","asin","cpt_status","cpt_gbp","our_live_price_gbp","delta_cpt_minus_our_live_gbp"
"4W-VS57-BV6A","B0C9LJNJWZ","OK","35.00","35.91","-0.91"
"6V-EEC1-2S9Z","B06WW79DX5","OK","21.41","7.99","13.42"
"AX-NKNU-29C1","B08M52B4M5","OK","1.15","3.98","-2.83"
"JB-RGB6-LZOJ","B0001P0DLU","OK","6.15","9.99","-3.84"
"RZ-6ZL9-CZ7J","B075XT2J8X","OK","7.47","6.97","0.50"
"TJ-6LOP-OPEU","B08P63MSS9","OK","6.49","9.00","-2.51"
"VF-3T0K-DR5O","B08KFFY86W","OK","5.29","5.35","-0.06"
"XH-0LAE-FQO5","B00AOES9GE","MISSING","","6.90",""
"XY-UM2X-TPS3","B003VTZAM0","OK","10.85","11.47","-0.62"
"YC-3L3M-BV48","B0CTD6Q6KY","MISSING","","79.24",""
