asof_utc,seller_sku,asin,cpt_status,cpt_gbp,our_live_price_gbp,last_sold_price_gbp,price_reference_gbp,price_reference_source,delta_cpt_minus_reference_gbp,group_ab,cpt_error_summary
2026-02-14T10:00:23Z,N9-IOWG-NGD9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BF-KVJ0-RUA9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,12-749B-9EB5,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WT-LPJW-NOXR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BF-EX14-XMNB,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WB-6YBC-16X8,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,5B-DQES-2T3E,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BJ-1TEF-1BUZ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2S-T29M-BDIZ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,DY-51D1-CSIX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,09-CZ59-Q6OR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,B2-5FFM-153A,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,XI-DUS3-PXC9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,0T-LQK2-KFCY,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,OL-F41R-EZEF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,NC-MA70-7OJ9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,T7-NZWY-R44R,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,I2-OJSR-TKZ6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9C-ZLCN-WWGK,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,6L-LO0H-2WGF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7C-XI7G-FMUU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,W7-F06R-CW3C,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,D6-Y4EX-C9HL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,NB-UWOU-68PW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,QG-6O1N-7HTR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,E7-LAKI-9FEO,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FQ-DRSZ-XVJI,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WY-Z6LP-JOMV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,IX-E0R5-6P6G,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,J7-QL4P-4SOM,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,UF-8XYI-JUTX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,LG-AZOP-KOUU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,0K-6BX5-D5AH,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Z3-HICR-CPBW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,OO-KLJU-ZBO9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,UL-6G4Z-72JE,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2K-6X85-CXUL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,MF-MNIN-FGXW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FQ-MTRD-YPII,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8N-T5OY-DSW9,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,JE-NHAA-HEYR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,6V-0L0T-OF72,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,IQ-PR7Z-1RKG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,A9-31T9-JF3W,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TT-1DQK-CJFF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,EO-RQ6J-PAPY,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,F9-ETRB-6FVQ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,10-PGVO-YV15,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,LL-NBBZ-I90A,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HJ-6HB4-VVF2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,R7-RF9Q-9AMN,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9I-QC5D-QDT2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,26-E5TZ-WU0I,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,1Q-OTO8-JG8E,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,27-VH0D-TKGK,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2L-4Y1Q-E6OA,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ON-XPCR-TAZW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BH-QYC3-K7VG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,T0-4R2M-4BLV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,46-MOBK-YBS1,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,NY-AI90-84GR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3Z-S01D-H4GA,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2T-07RT-8IMX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,66-6EUM-PSH8,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,CN-NR50-TSFE,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,0C-AOG2-B23Z,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,XB-PLFM-VNLX,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8G-7PJ0-25UD,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,EH-ZRT0-U4YM,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7I-GPVA-PDJ6,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Z7-ZI0R-NWCK,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,M1-UFU0-V1X3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,E0-9FJI-8AD2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TL-AUNR-5YK0,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,JQ-6JZ4-3GJ7,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,GB-RXX5-97UW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,N0-JAU8-SI40,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,MI-J6KS-0097,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,PF-7VUQ-LIUC,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,6E-GK4T-QBFF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,16-5NE0-75DT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7R-DKJR-F0UF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7W-PCZV-CX51,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HI-4CXM-9WVU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,JC-NYJZ-DIWR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FX-3YH6-IF6A,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,PZ-X5VL-NVBR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,AY-LA00-LUJD,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3L-LSBT-PRST,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,PF-9T40-Q7YW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,PQ-SCCQ-7RCR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YM-HLZL-A3XS,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HN-13OB-TAYD,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RF-3X39-FYXB,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,CQ-GZA7-CZBW,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WN-BBR4-67NP,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,6H-ZZN4-I77B,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,V7-HT4G-K9QH,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,C1-4N7O-1LWT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2U-EUMC-7E5P,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,9R-YGAK-KTA0,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,KG-GAQU-OLI0,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,B7-9S5E-KOHG,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,LH-LOUH-H54B,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,ET-D23X-A5I2,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BB-JN90-IUUP,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,BU-H22U-ACK3,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3L-1I88-19GF,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,CJ-DLBW-HKFS,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,0N-JV0B-5UNV,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,8G-JH1T-98X4,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7Y-B7S7-O5OZ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,3K-PWXF-IHKI,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,PT-CVT8-NV21,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,10-JQEP-V8I7,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YD-0TJL-WINU,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,VY-FXRV-DEAT,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,SA-T4GN-HUNR,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,Z4-04O5-E86C,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FY-TQNI-4ZV5,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,4V-OE5G-EJKM,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,7U-508Y-MZAQ,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,55-5RSU-1KG1,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FN-ZANK-PHQO,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,FW-WGL2-H61I,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,HT-LVU9-4F5R,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,YB-8YQ7-X1X8,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,TX-7TYN-NVF4,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,WI-QO7X-YZOL,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,G0-25T9-9YZS,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,2I-R2RY-BZ85,,,,,,,,,UNKNOWN,
2026-02-14T10:00:23Z,RR-0TGC-U4IT,,,,,,,,,UNKNOWN,
