seller_sku,asin,price_reference_gbp,price_reference_source,cpt_gbp,delta_cpt_minus_reference_gbp,group_ab
DV-USYD-8WR2,B0D3JD4FFD,43.60,avg_sold_price,49.99,6.39,A
K5-QUBI-YTWD,B0037B0C66,6.40,our_listing_price,5.00,-1.40,B
4V-19KJ-15J4,B00D2O8936,6.99,our_listing_price,6.79,-0.20,B
RZ-6ZL9-CZ7J,B075XT2J8X,8.36,avg_sold_price,7.47,-0.89,B
SE-IQQJ-EOU3,B004R1ZS64,21.15,our_listing_price,30.91,9.76,A
HS-R5IP-7E1C,B00LXM3PGK,9.99,our_listing_price,3.85,-6.14,B
BM-1O5E-RW8I,B07BC5K5W5,3.96,our_listing_price,12.99,9.03,A
4B-HMJG-PHW4,B00D1V5E5G,8.99,our_listing_price,6.99,-2.00,B
GH-XAAE-HRU7,B072K2PG11,6.65,our_listing_price,7.49,0.84,A
WR-3V7D-BB7Z,B07BBZZ8RC,2.99,our_listing_price,5.89,2.90,A
GW-1ECO-QZA7,B00N5SLQ7A,39.48,our_listing_price,40.50,1.02,A
OW-ONY2-KNM7,B09MTXZY2Y,5.50,our_listing_price,3.00,-2.50,B
8U-QPFH-3EKQ,B07T9WVBZ2,8.81,avg_sold_price,7.29,-1.52,B
5H-EJ59-AZPA,B004ZMXOMA,5.02,our_listing_price,3.30,-1.72,B
8R-E0Y9-0LAU,B0BBHBX72C,92.33,avg_sold_price,94.49,2.16,A
3X-EXDD-TD2K,B0D6W9DZX4,52.73,avg_sold_price,64.49,11.76,A
XJ-2FN3-M9FH,B099FBD93Y,15.63,our_listing_price,11.80,-3.83,B
WX-L5UA-UB1Q,B007R2ICTK,6.14,avg_sold_price,6.58,0.44,A
YO-EKK2-FRCC,B00BWU7MNU,6.42,avg_sold_price,10.44,4.02,A
DC-K5WH-R7F5,B0073FT7FY,3.54,avg_sold_price,3.15,-0.39,B
BD-TLOK-BCEE,B0D3JCG3YJ,38.79,our_listing_price,49.99,11.20,A
5M-QO6K-LNH0,B00ANP09LM,8.40,avg_sold_price,11.36,2.96,A
TA-7DAZ-18PU,B0CNT2Z32S,28.99,our_listing_price,24.72,-4.27,B
V1-ON8D-S6WQ,B06XY4DS8H,35.99,our_listing_price,56.38,20.39,A
TE-Y18U-S2O1,B08X1WM596,10.19,avg_sold_price,9.44,-0.75,B
HO-LSOY-8R05,B0BVZZDW1W,34.99,avg_sold_price,34.99,0.00,A
1W-8WI9-7AUU,B0BLQRDTLL,9.49,our_listing_price,12.49,3.00,A
TJ-6LOP-OPEU,B08P63MSS9,7.08,avg_sold_price,6.49,-0.59,B
3Z-45IC-N1H4,B07QPB3T1J,7.06,our_listing_price,9.75,2.69,A
MR-727N-ZG8K,B07T2PV79R,4.82,our_listing_price,4.89,0.07,A
7H-7G2P-ONWJ,B081Q9CFGC,5.83,avg_sold_price,4.74,-1.09,B
EV-CHU5-XU3G,B07QQDMJ6M,8.36,avg_sold_price,10.45,2.09,A
