asof_utc,seller_sku,asin,cpt_status,cpt_gbp,our_live_price_gbp,last_sold_price_gbp,price_reference_gbp,price_reference_source,delta_cpt_minus_reference_gbp,group_ab,cpt_error_summary
2026-02-14T10:36:14Z,DV-USYD-8WR2,B0D3JD4FFD,OK,49.99,37.00,43.60,43.60,avg_sold_price,6.39,A,
2026-02-14T10:36:14Z,K5-QUBI-YTWD,B0037B0C66,OK,5.00,6.40,,6.40,our_listing_price,-1.40,B,
2026-02-14T10:36:14Z,4V-19KJ-15J4,B00D2O8936,OK,6.79,6.99,,6.99,our_listing_price,-0.20,B,
2026-02-14T10:36:14Z,RZ-6ZL9-CZ7J,B075XT2J8X,OK,7.47,6.97,8.36,8.36,avg_sold_price,-0.89,B,
2026-02-14T10:36:14Z,SE-IQQJ-EOU3,B004R1ZS64,OK,30.91,21.15,,21.15,our_listing_price,9.76,A,
2026-02-14T10:36:14Z,HS-R5IP-7E1C,B00LXM3PGK,OK,3.85,9.99,,9.99,our_listing_price,-6.14,B,
2026-02-14T10:36:14Z,BM-1O5E-RW8I,B07BC5K5W5,OK,12.99,3.96,,3.96,our_listing_price,9.03,A,
2026-02-14T10:36:14Z,4B-HMJG-PHW4,B00D1V5E5G,OK,6.99,8.99,,8.99,our_listing_price,-2.00,B,
2026-02-14T10:36:14Z,GH-XAAE-HRU7,B072K2PG11,OK,7.49,6.65,,6.65,our_listing_price,0.84,A,
2026-02-14T10:36:14Z,WR-3V7D-BB7Z,B07BBZZ8RC,OK,5.89,2.99,,2.99,our_listing_price,2.90,A,
2026-02-14T10:36:14Z,GW-1ECO-QZA7,B00N5SLQ7A,OK,40.50,39.48,,39.48,our_listing_price,1.02,A,
2026-02-14T10:36:14Z,OW-ONY2-KNM7,B09MTXZY2Y,OK,3.00,5.50,,5.50,our_listing_price,-2.50,B,
2026-02-14T10:36:14Z,8U-QPFH-3EKQ,B07T9WVBZ2,OK,7.29,6.46,8.81,8.81,avg_sold_price,-1.52,B,
2026-02-14T10:36:14Z,5H-EJ59-AZPA,B004ZMXOMA,OK,3.30,5.02,,5.02,our_listing_price,-1.72,B,
2026-02-14T10:36:14Z,8R-E0Y9-0LAU,B0BBHBX72C,OK,94.49,79.99,92.33,92.33,avg_sold_price,2.16,A,
2026-02-14T10:36:14Z,3X-EXDD-TD2K,B0D6W9DZX4,OK,64.49,49.99,52.73,52.73,avg_sold_price,11.76,A,
2026-02-14T10:36:14Z,XJ-2FN3-M9FH,B099FBD93Y,OK,11.80,15.63,,15.63,our_listing_price,-3.83,B,
2026-02-14T10:36:14Z,WX-L5UA-UB1Q,B007R2ICTK,OK,6.58,5.55,6.14,6.14,avg_sold_price,0.44,A,
2026-02-14T10:36:14Z,YO-EKK2-FRCC,B00BWU7MNU,OK,10.44,6.42,6.42,6.42,avg_sold_price,4.02,A,
2026-02-14T10:36:14Z,DC-K5WH-R7F5,B0073FT7FY,OK,3.15,3.00,3.54,3.54,avg_sold_price,-0.39,B,
2026-02-14T10:36:14Z,BD-TLOK-BCEE,B0D3JCG3YJ,OK,49.99,38.79,,38.79,our_listing_price,11.20,A,
2026-02-14T10:36:14Z,5M-QO6K-LNH0,B00ANP09LM,OK,11.36,8.86,8.40,8.40,avg_sold_price,2.96,A,
2026-02-14T10:36:14Z,TA-7DAZ-18PU,B0CNT2Z32S,OK,24.72,28.99,,28.99,our_listing_price,-4.27,B,
2026-02-14T10:36:14Z,V1-ON8D-S6WQ,B06XY4DS8H,OK,56.38,35.99,,35.99,our_listing_price,20.39,A,
2026-02-14T10:36:14Z,TE-Y18U-S2O1,B08X1WM596,OK,9.44,9.99,10.19,10.19,avg_sold_price,-0.75,B,
2026-02-14T10:36:14Z,HO-LSOY-8R05,B0BVZZDW1W,OK,34.99,34.99,34.99,34.99,avg_sold_price,0.00,A,
2026-02-14T10:36:14Z,1W-8WI9-7AUU,B0BLQRDTLL,OK,12.49,9.49,,9.49,our_listing_price,3.00,A,
2026-02-14T10:36:14Z,TJ-6LOP-OPEU,B08P63MSS9,OK,6.49,9.00,7.08,7.08,avg_sold_price,-0.59,B,
2026-02-14T10:36:14Z,3Z-45IC-N1H4,B07QPB3T1J,OK,9.75,7.06,,7.06,our_listing_price,2.69,A,
2026-02-14T10:36:14Z,MR-727N-ZG8K,B07T2PV79R,OK,4.89,4.82,,4.82,our_listing_price,0.07,A,
2026-02-14T10:36:14Z,7H-7G2P-ONWJ,B081Q9CFGC,OK,4.74,3.65,5.83,5.83,avg_sold_price,-1.09,B,
2026-02-14T10:36:14Z,EV-CHU5-XU3G,B07QQDMJ6M,OK,10.45,7.49,8.36,8.36,avg_sold_price,2.09,A,
