check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours
orders_all_rows,ok,7975,,,,,
orders_missing_items_window,ok,0,,,,,
order_master_rows,ok,7762,,,,,
order_master_row_drop,ok,0,"prev=7762, current=7762",,,,
order_master_blank_sku,ok,0,,,,,
order_master_blank_date,ok,0,,,,,
order_master_blank_qty,ok,0,,,,,
order_master_date_gap_hours,ok,0.00,l1_token_eligible max 2026-03-17 15:27:26+00:00; master max 2026-03-17 15:27:26+00:00,,,,
order_master_blank_cogs_lvl1plus,ok,0,,,,,
l1_keys_missing_in_master,ok,0,held_back_missing_tokens=10;held_back_missing_tokens_dynamic=10,,,,
order_master_orphans_count,ok,0,,,,,
l3_orphans_count,ok,0,scope_start=2025-11-01; missing_dates=0; ignored_orders=634,,,,
token_cogs_rows,ok,9057,,,,,
token_shortages_by_sku,ok,0,,,,,
b_cycle_log_exists,ok,yes,mtime 2026-03-17T16:02:33.590499+00:00; path=out\systems\B\live\B_cycle.log,,,,
b_cycle_recent_fail_lines,ok,0,latest_cycle=2026-03-17T15:55:29Z; raw_fail_count=0; recovered_count=0; unresolved_count=0; ignored_non_actionable=0; path=out\systems\B\live\B_cycle.log,,,,
b_listing_offer_collection,ok,0,status=ok;timestamp_utc=2026-03-17T15:58:21Z;notes=dataset=listing_offer,,,,
b_sheet_sync_external_health,ok,0,window_hours=6.0;path=out\b_sheet_sync_status.csv;latest_step=B007_allocate_tokens_live;latest_status=ok;latest_severity=ok,,,,
b_token_source_single_truth,ok,0,"window_hours=6.0;path=out\b_sheet_sync_status.csv;unsafe_mode=local_fallback|sheet_sync_skipped_local_newer;unsafe_status=degraded_local|hard_fail;latest_step_modes=B007_allocate_tokens_live:local_master:ok,B030_sync_token_allocations_from_sheet:local_master:ok",,,,
b_schema_orders_missing_items_window,ok,ok,,,,,
b_schema_unknown_fee_countries,ok,ok,,,,,
b_schema_l3_orphans,ok,ok,,,,,
b_schema_token_allocation_skipped,ok,ok,,,,,
b_schema_orphan_recovery_alerts,ok,ok,,,,,
b_schema_orphan_order_items_recovered,ok,ok,,,,,
b_schema_orphan_order_items_failed,ok,ok,,,,,
