check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours,cycle
c_schema_financial_events_shipments,ok,ok,,,,,,C
c_schema_financial_events_inbound_summary,ok,ok,,,,,,C
c_schema_inventory_ledger_raw,ok,ok,,,,,,C
c_schema_purchase_source,ok,ok,,,,,,C
c_schema_merchant_listings,ok,ok,,,,,,C
c_schema_storage_fee_monthly,ok,ok,,,,,,C
c_schema_long_term_storage_fee_monthly,ok,ok,,,,,,C
c_schema_inbound_delivery_status,ok,ok,,,,,,C
c_schema_inbound_missing_units,ok,ok,,,,,,C
c_schema_inbound_cost_events,ok,ok,,,,,,C
c_schema_inbound_costs_allocated,ok,ok,,,,,,C
c_schema_inbound_costs_unallocated,ok,ok,,,,,,C
c_schema_inbound_costs_allocated_sku,ok,ok,,,,,,C
c_schema_inbound_costs_unallocated_sku,ok,ok,,,,,,C
c_schema_inbound_costs_allocation_summary,ok,ok,,,,,,C
c_schema_vat_country_model,ok,ok,,,,,,C
c_schema_fee_country_model,ok,ok,,,,,,C
c_schema_token_maturity_window,ok,ok,,,,,,C
c_schema_token_maturity_window_sku,ok,ok,,,,,,C
