check,status,value,notes,alert_first_seen_utc,alert_last_seen_utc,alert_consecutive_runs,alert_age_hours,cycle
h_health_alert_snooze_config,ok,expired,until=2026-02-14T23:59:00Z;reason=temporary suppression while focusing on H-cycle blocker gate,,,,,H
orders_all_rows,ok,7972,,,,,,B
order_items_all_rows,ok,7992,,,,,,shared
orders_missing_items_window,ok,0,,,,,,B
order_master_rows,ok,7758,,,,,,B
order_master_row_drop,ok,0,"prev=7758, current=7758",,,,,B
order_master_blank_sku,ok,0,,,,,,B
order_master_blank_date,ok,0,,,,,,B
order_master_blank_qty,ok,0,,,,,,B
order_master_date_gap_hours,ok,0.00,l1_token_eligible max 2026-03-17 14:34:37+00:00; master max 2026-03-17 14:34:37+00:00,,,,,B
order_master_blank_cogs_lvl1plus,ok,0,,,,,,B
l1_keys_missing_in_master,ok,0,held_back_missing_tokens=11;held_back_missing_tokens_dynamic=11,,,,,B
order_master_orphans_count,ok,0,,,,,,B
l3_orphans_count,ok,0,scope_start=2025-11-01; missing_dates=0; ignored_orders=634,,,,,B
level2_duplicate_keys,ok,0,,,,,,shared
tokens_total,ok,11110,,,,,,shared
tokens_available,ok,2665,,,,,,shared
tokens_allocated,ok,8355,,,,,,shared
tokens_stock_receipt_missing_order_key,ok,0,stock_receipt_rows=1595,,,,,shared
token_cogs_rows,ok,9053,,,,,,B
inventory_rows,ok,337,,,,,,shared
token_shortages_by_sku,ok,0,,,,,,B
b_cycle_log_exists,ok,yes,mtime 2026-03-17T15:09:48.483011+00:00; path=out\systems\B\live\B_cycle.log,,,,,B
b_cycle_recent_fail_lines,ok,0,latest_cycle=2026-03-17T15:03:23Z; raw_fail_count=0; recovered_count=0; unresolved_count=0; ignored_non_actionable=0; path=out\systems\B\live\B_cycle.log,,,,,B
b_listing_offer_collection,ok,130,status=info;timestamp_utc=2026-03-17T15:07:11Z;notes=system_exit_nonfatal code=130;classified_nonfatal_130=1,,,,,B
b_sheet_sync_external_health,ok,0,window_hours=6.0;path=out\b_sheet_sync_status.csv;latest_step=B007_allocate_tokens_live;latest_status=ok;latest_severity=ok,,,,,B
b_token_source_single_truth,ok,0,"window_hours=6.0;path=out\b_sheet_sync_status.csv;unsafe_mode=local_fallback|sheet_sync_skipped_local_newer;unsafe_status=degraded_local|hard_fail;latest_step_modes=B007_allocate_tokens_live:local_master:ok,B030_sync_token_allocations_from_sheet:local_master:ok",,,,,B
a_fees_failed_rows_today,ok,0,path=out\fees_failed.csv;total_rows=0,,,,,A
a_stock_receipts_collection_health,ok,0,path=out\manifests\A\2026-03-17\20260317T111601Z.json;run_id=20260317T111601Z;end_time=2026-03-17T11:33:13Z;age_hours=3.62;final_state=completed;recorded_step_count=13;configured_step_count=13;health_status=current;current_cycle_evidence=1;step_status=completed;step_notes=elapsed=10.7s;fresh_outputs=1,,,,,A
b_schema_orders_missing_items_window,ok,ok,,,,,,B
b_schema_unknown_fee_countries,ok,ok,,,,,,B
fee_rules_unknown_countries,ok,0,,,,,,shared
c_schema_financial_events_shipments,ok,ok,,,,,,C
c_schema_financial_events_inbound_summary,ok,ok,,,,,,C
c_schema_inventory_ledger_raw,ok,ok,,,,,,C
c_schema_purchase_source,ok,ok,,,,,,C
b_schema_l3_orphans,ok,ok,,,,,,B
b_schema_token_allocation_skipped,ok,ok,,,,,,B
b_schema_orphan_recovery_alerts,ok,ok,,,,,,B
b_schema_orphan_order_items_recovered,ok,ok,,,,,,B
b_schema_orphan_order_items_failed,ok,ok,,,,,,B
c_schema_merchant_listings,ok,ok,,,,,,C
c_schema_storage_fee_monthly,ok,ok,,,,,,C
c_schema_long_term_storage_fee_monthly,ok,ok,,,,,,C
c_schema_inbound_delivery_status,ok,ok,,,,,,C
c_schema_inbound_missing_units,ok,ok,,,,,,C
c_schema_inbound_cost_events,ok,ok,,,,,,C
c_schema_inbound_costs_allocated,ok,ok,,,,,,C
c_schema_inbound_costs_unallocated,ok,ok,,,,,,C
c_schema_inbound_costs_allocated_sku,ok,ok,,,,,,C
c_schema_inbound_costs_unallocated_sku,ok,ok,,,,,,C
c_schema_inbound_costs_allocation_summary,ok,ok,,,,,,C
c_schema_vat_country_model,ok,ok,,,,,,C
c_schema_fee_country_model,ok,ok,,,,,,C
c_schema_token_maturity_window,ok,ok,,,,,,C
c_schema_token_maturity_window_sku,ok,ok,,,,,,C
e_schema_sales_velocity,ok,ok,,,,,,E
e_schema_roi_snapshot,ok,ok,,,,,,E
e_schema_roi_snapshot_uk,ok,ok,,,,,,E
e_schema_roi_snapshot_non_uk,ok,ok,,,,,,E
e_schema_roi_snapshot_by_country,ok,ok,,,,,,E
e_schema_restock_signals,ok,ok,,,,,,E
e_schema_performance_summary,ok,ok,,,,,,E
e_schema_study_report,ok,ok,,,,,,E
e_schema_run_log,ok,ok,,,,,,E
e_schema_decision_log,ok,ok,,,,,,E
h_e_inputs_fresh,ok,0,asof_date=2026-03-17; max_age_days=1,,,,,H
h_e_outputs_latest_asof,ok,0,"run_log_path=out\systems\E\live\e_run_log.jsonl; chosen_run_id=20260317T105928968816Z; chosen_output_asof=2026-03-17; today_utc=2026-03-17; expected_any=2026-03-16,2026-03-17",,,,,H
z_schema_health_status,ok,ok,,,,,,Z
f_schema_training_set,ok,ok,,,,,,F
h_schema_lab_cohort,ok,ok,,,,,,H
h_schema_head_boundaries,ok,ok,,,,,,H
h_schema_supervisor_tactical_rules,ok,ok,,,,,,H
h_lab_cohort_active_rows,ok,12,expected_at_least=1,,,,,H
h_head_boundaries_active_rows,ok,2,expected_at_least=1,,,,,H
h_head_boundary_pilot_present,ok,1,expected_active_sku=L1-54EX-56YC,,,,,H
h_head_boundaries_numeric_valid,ok,0,"rules=ceiling>=floor,max_move>0,max_daily_down>=max_move,cooldown>=1,max_probes>=0,max_active_probe_skus>=1",,,,,H
h_supervisor_tactical_active_rows,ok,8,expected_at_least=1,,,,,H
h_supervisor_tactical_pilot_coverage,ok,1,expected_active_sku=L1-54EX-56YC,,,,,H
h_supervisor_tactical_rules_valid,ok,0,"rules=state_enum,probe_enum,target_adjustment>=0,cooldown>=1,expiry>=1,priority>=1",,,,,H
h_schema_worker_probe_event_log,ok,ok,,,,,,H
h_schema_worker_probe_response_log,ok,ok,,,,,,H
h_schema_executioner_action_log,ok,ok,,,,,,H
h_schema_seller_profiles,ok,ok,,,,,,H
h_schema_seller_soi,ok,ok,,,,,,H
h_seller_soi_active_coverage,ok,0,all_active_skus_have_soi,,,,,H
h_worker_probe_event_idempotent,ok,0,key=probe_event_id,,,,,H
h_worker_probe_event_numeric_valid,ok,0,"rules=target_in_floor_ceiling,move_within_max,cooldown>=1,state_enum,probe_enum,valid_timestamps",,,,,H
h_safe_mode_pilot_event_present,ok,0,no recent safe mode rows;window_hours=48.0,,,,,H
h_safe_mode_pilot_scope_pilot_only,ok,0,no recent safe mode rows;window_hours=48.0,,,,,H
h_safe_mode_pilot_actions_allowed,ok,0,no recent safe mode rows;window_hours=48.0,,,,,H
h_executioner_action_log_idempotent,ok,0,key=probe_event_id,,,,,H
h_executioner_live_write_guardrails,ok,0,"rules=bool_flags_valid,numeric_prices_present,attempt_scope_pilot_only,attempt_source=run_H_pricing_cycle",,,,,H
h_worker_probe_response_idempotent,ok,0,key=probe_event_id+response_window_minutes,,,,,H
h_worker_probe_response_types_valid,ok,0,"rules=window_enum,moved_flag_binary,direction_enum,move_size>=0,reaction_lag>=0,valid_timestamps",,,,,H
h_schema_listing_offer_history,ok,ok,,,,,,H
h_schema_listing_offer_seller_history,ok,ok,,,,,,H
h_schema_phase1_seller_history,ok,ok,,,,,,H
