study_rank,sku,asof_date,reorder_flag,days_of_stock_left,suggested_reorder_qty,velocity_30d,units_sold_30d,units_sold_truth_30d,units_sold_velocity_30d,units_sold_source,revenue_exvat_gbp_30d,profit_exvat_gbp_30d,roi_exvat_30d,profit_per_unit_gbp_30d,value_velocity_gbp_per_day,missing_cogs_units,fx_missing_units,current_token_cost_gbp,break_even_price_gbp,expected_refund_cost_per_unit_gbp,roi_at_our_price_pct,roi_at_buy_box_price_pct,latest_price_confidence,b_money_confidence_state,b_bridge_values_safe_for_live_roi,profit_confidence,sales_truth_state,stock_signal,restock_business_ready,restock_decision_state,restock_readiness_confidence,restock_missing_proof,restock_evidence_role,missing_reason,missing_roi_reason,missing_roi_reason_detail,latest_daily_truth_date,latest_daily_truth_state,latest_daily_truth_units,latest_daily_truth_profit_gbp
1,6V-EEC1-2S9Z,2026-06-10,yes,7.83,323,14.566667,423.0,423.0,437.0,roi,2597.5,534.66,0.561765,1.263972,18.411854,0,0,2.25,5.618855,0.028392,8.421273,8.421273,listing_price_current,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-06-09,finalized_ledger,2.0,1.96
2,A2-T2AC-TW3L,2026-06-10,yes,0.0,329,10.961538,261.0,261.0,285.0,roi,2432.56,200.16,0.170044,0.766897,8.406366,0,0,4.51,8.961883,0.008463,2.323359,0.845163,listing_price_fallback,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-06-05,finalized_ledger,22.0,12.09
3,5Q-LUQ1-L14K,2026-06-10,yes,10.0,20,1.0,1.0,1.0,1.0,roi,44.16,6.09,0.203271,6.09,6.09,0,0,29.96,40.83,0.0,11.109257,11.164887,listing_price_current,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-05-13,finalized_ledger,1.0,6.09
4,WX-L5UA-UB1Q,2026-06-10,yes,1.33,172,6.0,36.0,36.0,36.0,roi,181.62,33.62,0.542959,0.933889,5.603333,0,0,1.72,4.251765,0.0,43.017556,35.265618,listing_price_fallback,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-05-18,finalized_ledger,3.0,2.22
5,MW-9K5M-VKW8,2026-06-10,yes,0.0,49,1.625,39.0,39.0,39.0,roi,895.78,85.75,0.161078,2.198718,3.572917,0,0,13.65,23.392222,2.598889,-6.536427,-6.536427,listing_price_current,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-06-08,finalized_ledger,6.0,14.66
6,T8-6UWL-I3E1,2026-06-10,yes,0.0,30,1.0,1.0,1.0,1.0,roi,7.67,3.18,2.148649,3.18,3.18,0,0,1.48,4.64,0.0,,,listing_price_unproven,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,blocked_missing_current_price,blocked,missing_current_price;bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,missing_current_price_proof,2026-05-31,finalized_ledger,1.0,3.18
7,GH-XAAE-HRU7,2026-06-10,yes,0.0,25,0.846154,11.0,11.0,11.0,roi,89.9088,39.0622,1.498356,3.551109,3.004785,0,0,2.37,18.6,0.0,-517.580872,-582.630098,listing_price_fallback,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-06-04,finalized_ledger,3.0,12.873567
8,NN-TSZ1-X2RD,2026-06-10,yes,13.86,50,3.103448,87.0,87.0,90.0,roi,546.8283,62.1113,0.204562,0.713923,2.215623,0,0,3.49,6.086296,0.04929,-3.404475,-5.035151,listing_price_current,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-06-08,finalized_ledger,4.0,5.44
9,XE-YPAI-HX9F,2026-06-10,yes,0.0,100,3.333333,5.0,5.0,10.0,roi,37.96,2.65,0.110647,0.53,1.766666,0,0,4.79,7.117123,0.045772,8.51517,25.216631,listing_price_fallback,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-05-13,finalized_ledger,4.0,2.18
10,L1-54EX-56YC,2026-06-10,yes,2.0,28,1.0,6.0,6.0,6.0,roi,68.06,10.32,0.321495,1.72,1.72,0,0,5.35,10.478,0.0,5.707165,36.859813,listing_price_fallback,not_yet_proven,0,profit_clean,roi_sales_truth,yes,no,warning_bridge_labelled_money,warning,bridge_labelled_money,evidence_only_not_buy_instruction,,roi_clean,,2026-05-23,finalized_ledger,1.0,1.2
