asin,fnsku,product_name,fulfillment_center,country_code,longest_side,median_side,shortest_side,measurement_units,weight,weight_units,item_volume,volume_units,product_size_tier,average_quantity_on_hand,average_quantity_pending_removal,estimated_total_item_volume,month_of_charge,storage_utilization_ratio,storage_utilization_ratio_units,base_rate,utilization_surcharge_rate,avg_qty_for_sus,est_vol_for_sus,est_base_msf,est_sus,currency,estimated_monthly_storage_fee,category,eligible_for_inventory_discount,qualifies_for_inventory_discount,total_incentive_fee_amount,breakdown_incentive_fee_amount,average_quantity_customer_orders
B08W25WKTN,X0024EBXZJ,LEXIBOOK - Paw Patrol - Cordless Mini Bedside Lamp and Nightlight Paw Patrol - Blue - MLT10PA,'MAN1',GB,19.1,10.2,10.0,centimeters,0.16,kilograms,0.0688,cubic feet,Standard-Size,1.0,0.0,0.0688,2025-12,8.5,weeks,1.37,0.0,1.0,0.0688,0.0943,0.0,GBP,0.0943,Others,N,N,0.0,--,0.0
B00F4LA0K0,X0028A4KS1,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",'MAN1',GB,14.6,8.9,1.4,centimeters,0.04,kilograms,0.0064,cubic feet,Standard-Size,1.0,0.0,0.0064,2025-12,8.5,weeks,1.37,0.0,1.0,0.0064,0.0088,0.0,GBP,0.0088,Others,N,N,0.0,--,0.0
B093FQYQJH,X00293I5FB,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",'MAN1',GB,22.4,5.9,2.4,centimeters,0.03,kilograms,0.0112,cubic feet,Standard-Size,0.13,0.0,0.0011,2025-12,8.5,weeks,1.37,0.0,0.03,4.0E-4,0.0015,0.0,GBP,0.0015,Others,N,N,0.0,--,0.03
B08WPCW7TH,X0029FM4IN,"Moo Free White Chocolate Bars - Dairy Free, Gluten Free & Vegan (20g)",'MAN1',GB,14.0,4.0,0.5,centimeters,0.02,kilograms,0.001,cubic feet,Standard-Size,4.0,0.0,0.004,2025-12,8.5,weeks,1.37,0.0,4.0,0.004,0.0054,0.0,GBP,0.0054,Others,N,N,0.0,--,0.0
9188805646,X0029FM6EP,"Free League Publishing MÖRK Borg (Fantasy OSR RPG, Hardback, Full Color",'MAN1',GB,21.7,15.6,1.4,centimeters,0.39,kilograms,0.0167,cubic feet,Standard-Size,0.94,0.0,0.0146,2025-12,8.5,weeks,1.37,0.0,0.45,0.0076,0.02,0.0,GBP,0.02,Others,N,N,0.0,--,0.06
B005F5TRBI,X002AFJNZT,"Croydex White Button Shower Curtain Rings 12pk, 75g, 34F",'MAN1',GB,18.0,8.2,4.5,centimeters,0.04,kilograms,0.0235,cubic feet,Standard-Size,1.0,0.0,0.0235,2025-12,8.5,weeks,1.37,0.0,1.0,0.0235,0.0321,0.0,GBP,0.0321,Others,N,N,0.0,--,0.0
B09445GL1C,X002BA017H,"Price's - Time for You Large Jar Candle - Sweet, Delicious Fragrance - Long Lasting Scent - Up to 100 Hour Burn Time - Ideal for All Occasions",'MAN1',GB,23.2,16.6,11.9,centimeters,1.01,kilograms,0.1618,cubic feet,Standard-Size,7.58,0.0,1.2217,2025-12,8.5,weeks,1.37,0.0,7.55,1.2217,1.6695,0.0,GBP,1.6695,Others,N,N,0.0,--,0.03
B002BX8ZFG,X002DZYN47,"Fackelmann OPAL Pizza Wheel, Pizza Cutter & Slicer, Super Sharp Blade, Stainless Steel, 18.5x5x1.2cm, Silver",'MAN1',GB,17.2,11.9,1.5,centimeters,0.07,kilograms,0.0108,cubic feet,Standard-Size,3.0,0.0,0.0325,2025-12,8.5,weeks,1.37,0.0,3.0,0.0325,0.0446,0.0,GBP,0.0446,Others,N,N,0.0,--,0.0
B07RZBBG14,X002F5VV0T,"Dragon Shield AT-13201 Standard Size Perfect Fit Sealable (100 Sleeves), clear",'MAN1',GB,24.7,8.5,1.2,centimeters,0.08,kilograms,0.0089,cubic feet,Standard-Size,1.84,0.0,0.0164,2025-12,8.5,weeks,0.75,0.0,1.84,0.0164,0.01,0.0,GBP,0.01,shoes & bags,N,N,0.0,--,0.0
B007R2ICTK,X002057DE7,"HG Stain Away 7, Removes Rust Stains from Clothing & Textiles, Concentrated Rusty Mark Remover for Surfaces & Tiles, Fabric & Natural Stone Safe – 50m (426005106)",'MAN2',GB,14.0,4.2,2.4,centimeters,0.06,kilograms,0.005,cubic feet,Standard-Size,4.39,0.0,0.0217,2025-12,--,--,1.18,0.0,0.0,0.0,0.0,0.0,GBP,0.03,Others,N,N,0.0,--,0.03
B07BC1CMDK,X00218D0YF,"Amtech V4075 P240 Hook and Loop Orbital Sanding Sheets, 10 Piece Set, 115mm Diameter Sanding Paper",'MAN2',GB,15.9,12.0,1.0,centimeters,0.06,kilograms,0.0067,cubic feet,Standard-Size,1.0,0.0,0.0067,2025-12,8.5,weeks,1.37,0.0,1.0,0.0067,0.0093,0.0,GBP,0.0093,Others,N,N,0.0,--,0.0
B001Q77TI2,X0021O4AW5,"Ultra Pro 81181 3"" x 4"" Clear Thick 55PT Toploaders (25ct)",'MAN2',GB,10.8,8.2,5.5,centimeters,0.2,kilograms,0.0172,cubic feet,Standard-Size,0.52,0.0,0.0083,2025-12,8.5,weeks,1.37,0.0,0.23,0.0039,0.0115,0.0,GBP,0.0115,Others,N,N,0.0,--,0.03
B07J9JGZZV,X0022RICEN,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),'MAN2',GB,18.0,5.0,2.4,centimeters,0.04,kilograms,0.0076,cubic feet,Standard-Size,1.1,0.0,0.0084,2025-12,8.5,weeks,1.37,0.0,1.1,0.0084,0.0115,0.0,GBP,0.0115,Others,N,N,0.0,--,0.0
B08MW8XMNQ,X0022RQT3T,Piksters Eco Charcoal 30 Floss Picks - Pack of 1,'MAN2',GB,9.6,6.6,1.9,centimeters,0.04,kilograms,0.0043,cubic feet,Standard-Size,1.0,0.0,0.0043,2025-12,8.5,weeks,1.37,0.0,1.0,0.0043,0.0059,0.0,GBP,0.0059,Others,N,N,0.0,--,0.0
B0073TTHBY,X0022WK51L,Casio Gents 43.00mm Quartz Watch with Black Analogue dial and Black Rubber Strap Strap MRW-200H-1BVES,'MAN2',GB,9.4,9.2,6.4,centimeters,0.1,kilograms,0.0195,cubic feet,Standard-Size,1.0,0.0,0.0195,2025-12,8.5,weeks,1.37,0.0,1.0,0.0195,0.027,0.0,GBP,0.027,Others,N,N,0.0,--,0.0
B002HY4YSQ,X0023ISNDV,Kitchen Devils Lifestyle Peeler Parer Knife 602001,'MAN2',GB,27.2,8.4,1.7,centimeters,0.06,kilograms,0.0137,cubic feet,Standard-Size,0.26,0.0,0.0035,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0049,0.0,GBP,0.0049,Others,N,N,0.0,--,0.0
B00F4LA0K0,X0028A4KS1,"Chef Aid Cocktail Sticks, Pack of 200 Stick perfect for Buffets and Cocktails use, The Skewer design helps hold sweet and savoury foods, Each cocktails stick measures 8 cm",'MAN2',GB,14.6,8.9,1.4,centimeters,0.04,kilograms,0.0064,cubic feet,Standard-Size,1.0,0.0,0.0064,2025-12,8.5,weeks,1.37,0.0,1.0,0.0064,0.0089,0.0,GBP,0.0089,Others,N,N,0.0,--,0.0
B002KFZKZ8,X0028QJ2XX,"Zyliss E46145 Strongboy 2 Jar Opener, Plastic/Metal, White, Adjustable Grip to Open Opens Jar/Bottle Lids/Caps",'MAN2',GB,30.1,8.8,4.1,centimeters,0.17,kilograms,0.0384,cubic feet,Standard-Size,12.0,0.0,0.4602,2025-12,8.5,weeks,1.37,0.0,12.0,0.4602,0.6325,0.0,GBP,0.6325,Others,N,N,0.0,--,0.0
B093FQYQJH,X00293I5FB,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",'MAN2',GB,22.4,5.9,2.4,centimeters,0.03,kilograms,0.0112,cubic feet,Standard-Size,0.1,0.0,0.0011,2025-12,8.5,weeks,1.37,0.0,0.0,0.0,0.0015,0.0,GBP,0.0015,Others,N,N,0.0,--,0.0
B005F5TRBI,X002AFJNZT,"Croydex White Button Shower Curtain Rings 12pk, 75g, 34F",'MAN2',GB,18.0,8.2,4.5,centimeters,0.04,kilograms,0.0235,cubic feet,Standard-Size,1.0,0.0,0.0235,2025-12,8.5,weeks,1.37,0.0,1.0,0.0235,0.0324,0.0,GBP,0.0324,Others,N,N,0.0,--,0.0
B07F1MFWV1,X002BG3AK1,"Skinny Food Co Salted Caramel Zero Calorie Syrup 425ml - Sugar Free Salted Caramel Syrup For Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Caramel Syrup - Salted Caramel Syrup",'MAN2',GB,16.4,9.0,5.4,centimeters,0.47,kilograms,0.0281,cubic feet,Standard-Size,1.0,0.0,0.0281,2025-12,8.5,weeks,1.37,0.0,1.0,0.0281,0.0388,0.0,GBP,0.0388,Others,N,N,0.0,--,0.0
B07H2WXMDJ,X002C5IRB3,"Skinny Food Co Sugar Free Maple Syrup 425ml - Zero Calorie Syrup For Breakfast, Snacks, Drinks & Desserts - Vegan, Gluten-free, Keto & Paleo Friendly Maple Syrup - Sugar Free Maple Syrup UK",'MAN2',GB,16.3,9.0,5.4,centimeters,0.47,kilograms,0.028,cubic feet,Standard-Size,1.0,0.0,0.028,2025-12,8.5,weeks,1.37,0.0,0.35,0.0099,0.0386,0.0,GBP,0.0386,Others,N,N,0.0,--,0.0
B0012B80HG,X002CJPDFR,"Kitchen Devils S8602003 Lifestyle Kitchen Knife, Black, 30x8.5x2 cm",'MAN2',GB,28.1,7.4,1.7,centimeters,0.05,kilograms,0.0125,cubic feet,Standard-Size,1.0,0.0,0.0125,2025-12,8.5,weeks,1.37,0.0,1.0,0.0125,0.0172,0.0,GBP,0.0172,Others,N,N,0.0,--,0.0
B0D3J9M2H8,X002E028OX,"OtterBox Symmetry Folio Case for iPad Air 13-Inch (2024 M2, 2025 M3), Shockproof, Drop proof, Slim Protective Folio Case, Tested to Military Standard, Black",'MAN2',GB,31.6,22.4,1.8,centimeters,0.55,kilograms,0.045,cubic feet,Standard-Size,0.29,0.0,0.0116,2025-12,8.5,weeks,0.75,0.0,0.26,0.0116,0.0085,0.0,GBP,0.0085,shoes & bags,N,N,0.0,--,0.03
