country_code,marketplace_id,currency,sample_orders,fba_avg_ex_per_unit,fba_taxable_pct,fba_vat_rate,commission_pct_avg,commission_taxable_pct,commission_vat_rate,dsf_pct,dsf_vat_rate,last_order_date,built_at
,A1F83G8C2ARO7P,GBP,10,1.8785,0.0,0.0,0.1413,0.0,0.0,0.9,0.0,2026-05-30,2026-06-10T05:23:30Z
AE,A2VIGQ35RCS4UG,AED,10,25.195,0.0,0.0,0.133,0.0,0.0,0.0,0.0,2026-06-05,2026-06-10T05:23:30Z
BE,A1F83G8C2ARO7P,GBP,1,2.7,0.0,0.0,0.1788,0.0,0.0,1.0,0.0,2026-03-02,2026-06-10T05:23:30Z
CA,A1F83G8C2ARO7P,GBP,1,2.47,0.0,0.0,0.2158,0.0,0.0,1.0,0.0,2026-01-30,2026-06-10T05:23:30Z
DK,A1F83G8C2ARO7P,GBP,1,3.1,0.0,0.0,0.1722,0.0,0.0,1.0,0.0,2025-12-22,2026-06-10T05:23:30Z
ES,A1F83G8C2ARO7P,GBP,1,3.15,0.0,0.0,0.1786,0.0,0.0,1.0,0.0,2025-12-20,2026-06-10T05:23:30Z
FR,A1F83G8C2ARO7P,GBP,1,1.6,0.0,0.0,0.0966,0.0,0.0,1.0,0.0,2026-02-01,2026-06-10T05:23:30Z
GB,A1F83G8C2ARO7P,GBP,10,2.132,0.0,0.0,0.1402,0.0,0.0,0.9,0.0,2026-06-10,2026-06-10T05:23:30Z
GG,A1F83G8C2ARO7P,GBP,6,2.28,0.0,0.0,0.1474,0.0,0.0,1.0,0.0,2026-05-18,2026-06-10T05:23:30Z
IE,A1F83G8C2ARO7P,GBP,10,1.7681,0.0,0.0,0.1144,0.0,0.0,1.0,0.0,2026-06-09,2026-06-10T05:23:30Z
IE,A28R8C7NBKEWEA,EUR,10,1.847,0.0,0.0,0.1212,0.0,0.0,0.0,0.0,2026-06-07,2026-06-10T05:23:30Z
JE,A1F83G8C2ARO7P,GBP,1,1.46,0.0,0.0,0.1141,0.0,0.0,1.0,0.0,2026-01-22,2026-06-10T05:23:30Z
NO,A1F83G8C2ARO7P,GBP,1,0.0,0.0,0.0,0.1729,0.0,0.0,1.0,0.0,2025-11-26,2026-06-10T05:23:30Z
PT,A1F83G8C2ARO7P,GBP,1,2.72,0.0,0.0,0.1756,0.0,0.0,1.0,0.0,2026-02-12,2026-06-10T05:23:30Z
QA,A1F83G8C2ARO7P,GBP,1,1.46,0.0,0.0,0.0966,0.0,0.0,1.0,0.0,2026-02-15,2026-06-10T05:23:30Z
SA,A17E79C6D8DWNP,SAR,1,26.44,0.0,0.0,0.11,0.0,0.0,0.0,0.0,2026-01-11,2026-06-10T05:23:30Z
TW,A1F83G8C2ARO7P,GBP,1,3.878,0.0,0.0,0.2156,0.0,0.0,1.0,0.0,2026-01-09,2026-06-10T05:23:30Z
nan,nan,AED,4,0.0,0.0,0.0,0.1425,0.0,0.0,0.0,0.0,2026-05-18,2026-06-10T05:23:30Z
nan,nan,EUR,1,0.0,0.0,0.0,0.1801,0.0,0.0,0.0,0.0,2025-11-02,2026-06-10T05:23:30Z
nan,nan,GBP,10,0.0,0.0,0.0,0.1579,0.0,0.0,0.0,0.0,2026-01-02,2026-06-10T05:23:30Z
