date,transaction_type,order_id,fee_type,product_details,amount_total,amount_exvat,amount_vat,currency,vat_source,source
2026-01-22,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.31,-4.42,-0.89,GBP,derived_20pct_transactions,Transactions_90D
2026-01-21,Service Fees,---,FBA Long-Term Storage Fee,FBA Long-Term Storage Fee,-17.18,-14.32,-2.86,GBP,derived_20pct_transactions,Transactions_90D
2026-01-19,Service Fees,HyfSIB+92K,FBA Return Fee,FBA Return Fee,-2.17,-1.81,-0.36,GBP,derived_20pct_transactions,Transactions_90D
2026-01-15,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-13.13,-10.94,-2.19,GBP,derived_20pct_transactions,Transactions_90D
2026-01-14,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.3,-4.42,-0.88,GBP,derived_20pct_transactions,Transactions_90D
2026-01-13,Service Fees,P0euF3lbpS,FBA Return Fee,FBA Return Fee,-0.59,-0.49,-0.1,GBP,derived_20pct_transactions,Transactions_90D
2026-01-10,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.31,-4.42,-0.89,GBP,derived_20pct_transactions,Transactions_90D
2026-01-08,Service Fees,202-6491875-1714709,FBA Disposal Fee,FBA Disposal Fee,-0.89,-0.74,-0.15,GBP,derived_20pct_transactions,Transactions_90D
2026-01-08,Service Fees,---,FBA storage fee,FBA storage fee,-123.34,-102.78,-20.56,GBP,derived_20pct_transactions,Transactions_90D
2026-01-07,Service Fees,IZK0Z1eiqh,FBA Return Fee,FBA Return Fee,-2.36,-1.97,-0.39,GBP,derived_20pct_transactions,Transactions_90D
2026-01-07,Service Fees,---,FBA Customer Returns Fee (Non-Apparel an...,FBA Customer Returns Fee (Non-Apparel an...,-5.64,-4.7,-0.94,GBP,derived_20pct_transactions,Transactions_90D
2026-01-06,Service Fees,q/ErBcvq40,FBA Return Fee,FBA Return Fee,-9.65,-8.04,-1.61,GBP,derived_20pct_transactions,Transactions_90D
2026-01-01,Service Fees,---,Subscription:,Subscription:,-30.0,-25.0,-5.0,GBP,derived_20pct_transactions,Transactions_90D
2025-12-20,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-11.91,-9.93,-1.98,GBP,derived_20pct_transactions,Transactions_90D
2025-12-20,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-3.33,-2.78,-0.55,GBP,derived_20pct_transactions,Transactions_90D
2025-12-20,Service Fees,---,FBA Long-Term Storage Fee,FBA Long-Term Storage Fee,-10.55,-8.79,-1.76,GBP,derived_20pct_transactions,Transactions_90D
2025-12-17,Service Fees,atN0qUazeS,FBA Return Fee,FBA Return Fee,-5.91,-4.93,-0.98,GBP,derived_20pct_transactions,Transactions_90D
2025-12-17,Service Fees,atN0qUazeS,FBA Return Fee,FBA Return Fee,-6.04,-5.03,-1.01,GBP,derived_20pct_transactions,Transactions_90D
2025-12-17,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-4.42,-3.68,-0.74,GBP,derived_20pct_transactions,Transactions_90D
2025-12-17,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.32,-4.43,-0.89,GBP,derived_20pct_transactions,Transactions_90D
2025-12-13,Service Fees,026-1858953-4773144,FBA Disposal Fee,FBA Disposal Fee,-0.88,-0.73,-0.15,GBP,derived_20pct_transactions,Transactions_90D
2025-12-11,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.33,-4.44,-0.89,GBP,derived_20pct_transactions,Transactions_90D
2025-12-10,Service Fees,202-3648857-7183536,FBA Disposal Fee,FBA Disposal Fee,-2.74,-2.28,-0.46,GBP,derived_20pct_transactions,Transactions_90D
2025-12-07,Service Fees,---,FBA storage fee,FBA storage fee,-156.95,-130.79,-26.16,GBP,derived_20pct_transactions,Transactions_90D
2025-12-06,Service Fees,205-2833159-2653949,FBA Disposal Fee,FBA Disposal Fee,-1.38,-1.15,-0.23,GBP,derived_20pct_transactions,Transactions_90D
2025-12-05,Service Fees,7owGxgsYdF,FBA Return Fee,FBA Return Fee,-0.58,-0.48,-0.1,GBP,derived_20pct_transactions,Transactions_90D
2025-12-01,Service Fees,---,Subscription:,Subscription:,-30.0,-25.0,-5.0,GBP,derived_20pct_transactions,Transactions_90D
2025-11-29,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.3,-4.42,-0.88,GBP,derived_20pct_transactions,Transactions_90D
2025-11-24,Service Fees,026-5806548-2347519,FBA Disposal Fee,FBA Disposal Fee,-0.88,-0.73,-0.15,GBP,derived_20pct_transactions,Transactions_90D
2025-11-21,Service Fees,---,Inbound Transportation Fee,Inbound Transportation Fee,-5.3,-4.42,-0.88,GBP,derived_20pct_transactions,Transactions_90D
2025-11-21,Service Fees,---,FBA Long-Term Storage Fee,FBA Long-Term Storage Fee,-18.25,-15.21,-3.04,GBP,derived_20pct_transactions,Transactions_90D
2025-11-20,Service Fees,3AeydfN+Vc,FBA Return Fee,FBA Return Fee,-5.91,-4.93,-0.98,GBP,derived_20pct_transactions,Transactions_90D
