date,currency,vat_source,amount_vat,amount_total
2025-10-27,GBP,derived_20pct_transactions,-0.13,-0.79
2025-10-29,GBP,derived_20pct_transactions,-3.49,-20.94
2025-11-01,GBP,derived_20pct_transactions,-5.0,-30.0
2025-11-02,GBP,derived_20pct_transactions,-0.56,-3.34
2025-11-05,GBP,derived_20pct_transactions,-2.11,-12.65
2025-11-07,GBP,derived_20pct_transactions,-25.689999999999998,-154.11
2025-11-11,GBP,derived_20pct_transactions,-2.1,-12.61
2025-11-14,GBP,derived_20pct_transactions,-4.75,-28.48
2025-11-15,GBP,derived_20pct_transactions,-1.97,-11.81
2025-11-16,GBP,derived_20pct_transactions,-2.77,-16.64
2025-11-18,GBP,derived_20pct_transactions,-0.89,-5.31
2025-11-20,GBP,derived_20pct_transactions,-0.98,-5.91
2025-11-21,GBP,derived_20pct_transactions,-3.92,-23.55
2025-11-24,GBP,derived_20pct_transactions,-0.15,-0.88
2025-11-29,GBP,derived_20pct_transactions,-0.88,-5.3
2025-12-01,GBP,derived_20pct_transactions,-5.0,-30.0
2025-12-05,GBP,derived_20pct_transactions,-0.1,-0.58
2025-12-06,GBP,derived_20pct_transactions,-0.23,-1.38
2025-12-07,GBP,derived_20pct_transactions,-26.16,-156.95
2025-12-10,GBP,derived_20pct_transactions,-0.46,-2.74
2025-12-11,GBP,derived_20pct_transactions,-0.89,-5.33
2025-12-13,GBP,derived_20pct_transactions,-0.15,-0.88
2025-12-17,GBP,derived_20pct_transactions,-3.62,-21.69
2025-12-20,GBP,derived_20pct_transactions,-4.29,-25.79
2026-01-01,GBP,derived_20pct_transactions,-5.0,-30.0
2026-01-06,GBP,derived_20pct_transactions,-1.61,-9.65
2026-01-07,GBP,derived_20pct_transactions,-1.33,-8.0
2026-01-08,GBP,derived_20pct_transactions,-20.709999999999997,-124.23
2026-01-10,GBP,derived_20pct_transactions,-0.89,-5.31
2026-01-13,GBP,derived_20pct_transactions,-0.1,-0.59
2026-01-14,GBP,derived_20pct_transactions,-0.88,-5.3
2026-01-15,GBP,derived_20pct_transactions,-2.19,-13.13
2026-01-19,GBP,derived_20pct_transactions,-0.36,-2.17
2026-01-21,GBP,derived_20pct_transactions,-2.86,-17.18
2026-01-22,GBP,derived_20pct_transactions,-0.89,-5.31
,EUR,non_gbp,0.0,-1.48
,GBP,derived_20pct,-177.69,-1067.64
