seller_sku,fba_fee_10,fba_fee_100,referral_fee_10,referral_fee_100,error_10,error_100,attempt_count_10,attempt_count_100,requeue_passes_used,failed_price_points,failure_recorded_utc
0G-JB6S-PN34,2.65,2.94,5.0,15.0,,,1,1,0,,2026-02-18T06:09:09.560178+00:00
0R-GRRH-W0Z9,2.42,1.87,15.0,15.0,,,1,1,0,,2026-02-18T06:09:09.560178+00:00
GA-9DTN-9O1E,2.65,2.94,15.0,15.0,,,2,1,1,,2026-02-18T06:09:09.560178+00:00
AX-NKNU-29C1,1.46,1.83,5.0,15.0,,,1,1,0,,2026-02-18T06:09:09.560178+00:00
ZT-QPY3-P24I,2.42,2.72,15.0,15.0,,,1,1,0,,2026-02-18T06:09:09.560178+00:00
R4-0AXZ-ZZ9D,2.67,3.0,13.0,13.0,,,2,1,1,,2026-02-18T06:09:09.560178+00:00
VO-A6AR-18YS,1.46,1.83,15.0,15.0,,,1,2,1,,2026-02-18T06:09:09.560178+00:00
2G-AYBQ-TUQG,2.42,2.72,15.0,15.0,,,2,1,1,,2026-02-18T06:09:09.560178+00:00
RZ-6ZL9-CZ7J,2.65,2.72,8.0,15.0,,,2,1,1,,2026-02-18T06:09:09.560178+00:00
D8-1A3E-I37F,3.05,3.05,8.0,15.0,,,1,1,0,,2026-02-18T06:09:09.560178+00:00
US-AK96-YFSB,1.67,2.07,15.0,15.0,,,1,2,1,,2026-02-18T06:09:09.560178+00:00
Z7-26PV-O9LR,1.6,1.99,8.0,15.0,,,1,2,1,,2026-02-18T06:09:09.560178+00:00
HS-R5IP-7E1C,2.65,2.94,8.0,15.0,,,3,1,2,,2026-02-18T06:09:09.560178+00:00
XE-YPAI-HX9F,1.46,1.83,8.0,15.0,,,2,1,1,,2026-02-18T06:09:09.560178+00:00
R7-98IN-2PW8,1.5,1.87,8.0,15.0,,,1,1,0,,2026-02-18T06:09:09.560178+00:00
6V-EEC1-2S9Z,2.52,2.82,13.0,13.0,,,2,1,1,,2026-02-18T06:09:09.560178+00:00
