posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id
,ServiceFee,Subscription,True,-30.0,GBP,,,,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,vwmUNvUL1+,,,,,
,ServiceFee,FBARemovalFee,True,-0.58,GBP,,,vwmUNvUL1+,,,,,
,ServiceFee,FBARemovalFee,True,-0.58,GBP,,,vwmUNvUL1+,,,,,
,ServiceFee,FBARemovalFee,True,-0.8,GBP,,,vwmUNvUL1+,,,,,
,ServiceFee,FBARemovalFee,True,-0.59,GBP,,,vwmUNvUL1+,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-12.05,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.6,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.52,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.76,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.54,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.04,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.51,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.93,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-5.7,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-11.58,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.21,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-6.9,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.64,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.28,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.91,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.74,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-8.56,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-8.67,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.81,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.42,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.15,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.08,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.85,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.07,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-8.15,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.21,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.07,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.51,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.49,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-6.33,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.97,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.78,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.48,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.37,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.89,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.14,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.97,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.11,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-13.05,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.56,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-9.27,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.4,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,EUR,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,EUR,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,EUR,,,,,,,,
,ServiceFee,FBAStorageFee,True,,EUR,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-18.5,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.92,GBP,,,,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,xLWN6RFf4H,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-11.25,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.57,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.06,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.05,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-17.01,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.86,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-11.25,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.56,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-10.8,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.54,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.05,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.05,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.26,GBP,,,,,,,,
,ServiceFee,FBARemovalFee,True,-1.17,GBP,,,3AeydfN+Vc,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,3AeydfN+Vc,,,,,
,ServiceFee,FBARemovalFee,True,-0.59,GBP,,,3AeydfN+Vc,,,,,
,ServiceFee,FBARemovalFee,True,-0.8,GBP,,,3AeydfN+Vc,,,,,
,ServiceFee,FBARemovalFee,True,-1.77,GBP,,,3AeydfN+Vc,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,3AeydfN+Vc,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.11,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-9.11,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.22,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.53,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.52,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.17,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.21,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.47,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-2.11,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.21,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.46,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.13,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.14,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.04,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.47,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.15,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.13,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.13,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.42,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.13,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.76,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.47,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.05,EUR,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.07,EUR,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,,EUR,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.05,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,FBADisposalFee,True,-0.88,GBP,,,026-5806548-2347519,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.05,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,Subscription,True,-30.0,GBP,,,,,,,,
,ServiceFee,FBARemovalFee,True,-0.58,GBP,,,7owGxgsYdF,,,,,
,ServiceFee,FBADisposalFee,True,-1.38,GBP,,,205-2833159-2653949,,,,,
,ServiceFee,FBAStorageFee,True,-3.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-5.35,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.52,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.83,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.2,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.19,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.39,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.76,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-9.66,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.08,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.27,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-9.09,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.24,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-6.07,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.15,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.64,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.0,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-5.46,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.07,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-8.89,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.14,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.23,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-8.83,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.79,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.3,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.7,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.04,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.23,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.48,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.28,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-7.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.15,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.2,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-5.44,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.15,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-8.4,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.42,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.04,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.1,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.04,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.44,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.65,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.74,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.2,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.24,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-1.01,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.53,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-4.29,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.78,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.14,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.84,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-13.7,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.08,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-3.18,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.96,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-7.27,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.69,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-2.36,GBP,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.05,EUR,,,,,,,,
,ServiceFee,FBAStorageFee,True,-0.02,EUR,,,,,,,,
,ServiceFee,FBAStorageFee,True,,EUR,,,,,,,,
,ServiceFee,FBADisposalFee,True,-2.74,GBP,,,202-3648857-7183536,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.07,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.26,GBP,,,,,,,,
,ServiceFee,FBADisposalFee,True,-0.88,GBP,,,026-1858953-4773144,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-5.07,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.25,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationFee,True,-4.2,GBP,,,,,,,,
,ServiceFee,FBAInboundTransportationProgramFee,True,-0.22,GBP,,,,,,,,
,ServiceFee,FBARemovalFee,True,-6.04,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBARemovalFee,True,-0.59,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBARemovalFee,True,-1.18,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBARemovalFee,True,-0.79,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBARemovalFee,True,-1.77,GBP,,,atN0qUazeS,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.28,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.1,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.12,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.6,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.01,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.43,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.09,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.53,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.47,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.06,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.02,GBP,,,,,,,,
,ServiceFee,FBALongTermStorageFee,True,-0.03,GBP,,,,,,,,
