date,date_source,transaction_type,amount_type,currency,total_amount
2026-02-18,estimated,ServiceFee,CustomerReturnHRRUnitFee,GBP,-5.64
2026-02-18,estimated,ServiceFee,FBADisposalFee,GBP,-6.77
2026-02-18,estimated,ServiceFee,FBAInboundTransportationFee,GBP,-131.98000000000002
2026-02-18,estimated,ServiceFee,FBAInboundTransportationProgramFee,GBP,-5.57
2026-02-18,estimated,ServiceFee,FBALongTermStorageFee,EUR,-0.42
2026-02-18,estimated,ServiceFee,FBALongTermStorageFee,GBP,-34.62
2026-02-18,estimated,ServiceFee,FBARemovalFee,GBP,-34.22
2026-02-18,estimated,ServiceFee,FBAStorageFee,EUR,-0.07
2026-02-18,estimated,ServiceFee,FBAStorageFee,GBP,-416.49
2026-02-18,estimated,ServiceFee,Subscription,GBP,-30.0
