Date,Order ID,marketplace_id,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-01T00:14:17Z,205-6786758-2337967,A1F83G8C2ARO7P,XH-0LAE-FQO5,1,7.30,1.22,6.08,0.94,,0.94,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.75,0.29,1.46,0.70,0.12,0.58,-0.05,-0.01,-0.04,,
2025-11-01T02:50:36Z,206-6632739-7323507,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,9.99,1.67,8.32,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.50,0.25,1.25,0.96,0.16,0.80,-0.05,-0.01,-0.04,,
2025-11-01T03:13:17Z,204-6330672-9442759,A1F83G8C2ARO7P,NN-TSZ1-X2RD,1,9.99,1.67,8.32,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.50,0.25,1.25,0.96,0.16,0.80,-0.05,-0.01,-0.04,,
2025-11-01T08:00:50Z,204-2701820-1936356,A1F83G8C2ARO7P,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.18,0.53,2.65,0.68,0.11,0.57,-0.07,-0.01,-0.06,,
2025-11-01T09:32:51Z,204-6530222-4673137,A1F83G8C2ARO7P,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.94,0.32,1.62,1.06,0.18,0.88,-0.06,-0.01,-0.05,,
2025-11-01T09:37:00Z,202-8832583-6765967,A1F83G8C2ARO7P,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.94,0.32,1.62,1.06,0.18,0.88,-0.06,-0.01,-0.05,,
2025-11-01T09:39:04Z,206-1452967-8868347,A1F83G8C2ARO7P,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,1.94,0.32,1.62,1.06,0.18,0.88,-0.06,-0.01,-0.05,,
2025-11-01T09:46:27Z,206-5464336-6193967,A1F83G8C2ARO7P,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.60,0.60,3.00,2.16,0.36,1.80,-0.12,-0.02,-0.10,,
2025-11-01T10:04:37Z,206-4207037-9678747,A1F83G8C2ARO7P,L5-PF3B-WHU4,1,39.99,6.67,33.32,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.86,0.64,3.22,7.20,1.20,6.00,-0.22,-0.04,-0.18,,
2025-11-01T10:12:01Z,026-7570691-3164326,A1F83G8C2ARO7P,JL-VTP2-JF3Q,1,17.99,3.00,14.99,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,3.71,0.62,3.09,2.81,0.47,2.34,-0.13,-0.02,-0.11,,
