Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT
2025-11-01T00:14:17Z,205-6786758-2337967,XH-0LAE-FQO5,1,7.30,1.22,6.08,0.94,0.00,0.94,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T02:50:36Z,206-6632739-7323507,NN-TSZ1-X2RD,1,9.99,1.67,8.32,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T03:13:17Z,204-6330672-9442759,NN-TSZ1-X2RD,1,9.99,1.67,8.32,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T08:00:50Z,204-2701820-1936356,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T09:32:51Z,204-6530222-4673137,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T09:37:00Z,202-8832583-6765967,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T09:39:04Z,206-1452967-8868347,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T09:46:27Z,206-5464336-6193967,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:04:37Z,206-4207037-9678747,L5-PF3B-WHU4,1,39.99,6.67,33.32,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:12:01Z,026-7570691-3164326,JL-VTP2-JF3Q,1,17.99,3.00,14.99,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:17:21Z,205-5962801-9713929,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:26:08Z,203-2830602-7037915,XH-0LAE-FQO5,1,7.30,1.22,6.08,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:30:09Z,202-8302697-5223512,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:44:59Z,203-7653117-9553959,6V-EEC1-2S9Z,2,13.60,2.26,11.34,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T10:47:32Z,203-6034506-4881958,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T11:01:33Z,204-1268645-6629907,U1-M5BM-8F5W,1,22.91,3.82,19.09,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T11:02:20Z,202-2851694-6317151,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T11:17:26Z,026-9940683-5429925,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T12:07:21Z,026-8630322-8608366,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T12:24:56Z,204-2296798-6109936,A9-2Y9G-M2K7,1,6.49,1.08,5.41,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T12:27:27Z,203-9107901-0440369,4U-XT39-AMUJ,2,9.24,1.54,7.70,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T12:31:40Z,204-5631009-0563508,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T12:46:46Z,202-9174843-2210736,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T13:25:37Z,203-9179979-1612360,6V-EEC1-2S9Z,1,6.80,1.13,5.67,0.53,0.00,0.53,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T13:45:09Z,026-7881615-4941948,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T14:02:48Z,202-2066967-7744304,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T14:14:42Z,206-4765283-5792367,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T14:27:28Z,204-9435079-5182759,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T14:46:50Z,202-9805135-0966758,VU-8KRA-QP5M,1,11.60,1.93,9.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T15:38:26Z,205-1996442-0765905,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T16:27:27Z,205-0259148-0913934,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T16:38:37Z,026-4251811-1901942,SR-6OBB-WC03,1,8.73,1.46,7.27,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T17:11:51Z,204-3347048-3557958,U1-M5BM-8F5W,1,22.91,3.82,19.09,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T17:39:20Z,204-1580853-8077947,6V-EEC1-2S9Z,1,6.80,1.13,5.67,1.87,0.00,1.87,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T17:41:33Z,203-6526894-8569166,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T17:55:56Z,204-1722562-7973926,SR-6OBB-WC03,1,8.73,1.46,7.27,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T18:03:48Z,205-0355472-4818707,SR-6OBB-WC03,1,8.73,1.46,7.27,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T18:33:47Z,206-9900255-5833114,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T18:42:26Z,203-7996372-9631537,1U-1W76-M840,1,4.02,0.67,3.35,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T18:57:35Z,026-3416213-8447542,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T19:50:58Z,206-9690806-3549165,JL-VTP2-JF3Q,1,17.99,3.00,14.99,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T19:57:08Z,203-4261182-0704305,SR-6OBB-WC03,3,26.19,4.38,21.81,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T20:26:54Z,026-0076055-3531566,2L-M26G-560I,1,25.04,4.17,20.87,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T20:37:36Z,026-1971348-1056326,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T20:48:09Z,204-7019900-5073966,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T21:08:18Z,026-0489894-9867506,F7-PMJ2-SG6A,1,7.90,1.32,6.58,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T21:19:02Z,204-6860649-8119507,3T-6QPR-E2MV,1,11.94,1.99,9.95,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T21:35:27Z,026-1107466-8660304,IM-AYXV-79NJ,1,5.52,0.92,4.60,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T21:58:30Z,202-3329949-5709911,0G-JB6S-PN34,1,7.15,0.00,7.15,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T22:11:23Z,203-3039276-7911525,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T22:46:54Z,026-9768498-2872319,0H-5V53-GPG4,1,12.00,2.00,10.00,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T23:56:29Z,203-4127436-9879567,IM-AYXV-79NJ,1,5.52,0.92,4.60,0.24,0.00,0.24,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-01T23:57:17Z,204-5246150-8874754,F7-PMJ2-SG6A,1,7.90,1.32,6.58,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T00:01:19Z,204-8811768-0865106,F7-PMJ2-SG6A,1,7.90,1.32,6.58,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T08:46:41Z,205-5082853-5597136,R7-98IN-2PW8,1,5.83,0.97,4.86,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T08:54:34Z,202-6903917-7276314,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T09:01:17Z,026-4227895-0148335,6V-EEC1-2S9Z,2,13.60,2.26,11.34,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T09:10:49Z,206-9217188-5696363,3T-6QPR-E2MV,1,11.94,1.99,9.95,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T09:16:39Z,206-2293414-1543504,6V-EEC1-2S9Z,1,6.80,1.13,5.67,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T10:41:11Z,026-0384917-4230710,2L-M26G-560I,1,25.04,4.17,20.87,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T10:42:22Z,202-1897564-7767561,0G-JB6S-PN34,1,6.99,0.00,6.99,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T10:52:09Z,203-6356880-2223517,NN-TSZ1-X2RD,3,29.97,5.01,24.96,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T11:18:59Z,204-4286071-0857128,IB-U5FA-BO2Y,1,49.99,8.33,41.66,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T11:19:09Z,202-4764492-0246747,0G-JB6S-PN34,1,6.99,0.00,6.99,,,,,,,0.00,0.00,0.00,,,,,,,,,
2025-11-02T11:54:54Z,202-5558603-8929930,4U-XT39-AMUJ,2,9.24,1.54,7.70,,,,,,,0.00,0.00,0.00,,,,,,,,,
