order_id,amount_type,is_fee,total_amount,tax_present,currency,derived_ex_vat,derived_vat
026-0009940-5149166,Commission,True,-1.01,False,GBP,-0.84,-0.17
026-0009940-5149166,DigitalServicesFee,True,-0.03,False,GBP,-0.03,0.0
026-0009940-5149166,FBAPerUnitFulfillmentFee,True,0.0,False,GBP,0.0,0.0
026-0009940-5149166,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0009940-5149166,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0009940-5149166,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0009940-5149166,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0009940-5149166,Principal,False,5.67,False,GBP,4.73,0.94
026-0009940-5149166,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0009940-5149166,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0009940-5149166,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0009940-5149166,Tax,False,1.13,False,GBP,0.94,0.19
026-0009940-5149166,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0016519-4857923,Commission,True,-1.16,False,GBP,-0.97,-0.19
026-0016519-4857923,DigitalServicesFee,True,-0.06,False,GBP,-0.05,-0.01
026-0016519-4857923,FBAPerUnitFulfillmentFee,True,-1.92,False,GBP,-1.6,-0.32
026-0016519-4857923,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0016519-4857923,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0016519-4857923,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0016519-4857923,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0016519-4857923,Principal,False,6.21,False,GBP,5.17,1.04
026-0016519-4857923,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0016519-4857923,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0016519-4857923,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0016519-4857923,Tax,False,1.24,False,GBP,1.03,0.21
026-0016519-4857923,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0017416-5297920,Commission,True,-2.5,False,GBP,-2.08,-0.42
026-0017416-5297920,FBAPerUnitFulfillmentFee,True,-3.88,False,GBP,-3.23,-0.65
026-0017416-5297920,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0017416-5297920,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0017416-5297920,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0017416-5297920,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0017416-5297920,Principal,False,13.32,False,GBP,11.1,2.22
026-0017416-5297920,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0017416-5297920,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0017416-5297920,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0017416-5297920,Tax,False,2.66,False,GBP,2.22,0.44
026-0017416-5297920,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0021592-4683540,Refund_Commission,True,1.06,False,GBP,0.88,0.18
026-0021592-4683540,Refund_DigitalServicesFee,True,0.03,False,GBP,0.03,0.0
026-0021592-4683540,Refund_FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0021592-4683540,Refund_GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0021592-4683540,Refund_Principal,False,-5.67,False,GBP,-4.73,-0.94
026-0021592-4683540,Refund_RefundCommission,True,-0.22,False,GBP,-0.18,-0.04
026-0021592-4683540,Refund_ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0021592-4683540,Refund_Tax,False,-1.13,False,GBP,-0.94,-0.19
026-0021592-4683540,Refund_VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0022560-1589108,Commission,True,-2.4,False,GBP,-2.0,-0.4
026-0022560-1589108,DigitalServicesFee,True,-0.11,False,GBP,-0.09,-0.02
026-0022560-1589108,FBAPerUnitFulfillmentFee,True,-3.24,False,GBP,-2.7,-0.54
026-0022560-1589108,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0022560-1589108,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0022560-1589108,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0022560-1589108,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0022560-1589108,Principal,False,12.81,False,GBP,10.68,2.13
026-0022560-1589108,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0022560-1589108,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0022560-1589108,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0022560-1589108,Tax,False,2.56,False,GBP,2.13,0.43
026-0022560-1589108,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Commission,True,-0.67,False,GBP,-0.56,-0.11
026-0026748-2325970,DigitalServicesFee,True,-0.04,False,GBP,-0.03,-0.01
026-0026748-2325970,FBAPerUnitFulfillmentFee,True,-2.04,False,GBP,-1.7,-0.34
026-0026748-2325970,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0026748-2325970,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0026748-2325970,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Principal,False,3.57,False,GBP,2.98,0.59
026-0026748-2325970,Refund_Commission,True,0.67,False,GBP,0.56,0.11
026-0026748-2325970,Refund_DigitalServicesFee,True,0.01,False,GBP,0.01,0.0
026-0026748-2325970,Refund_FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Refund_GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Refund_Principal,False,-3.57,False,GBP,-2.98,-0.59
026-0026748-2325970,Refund_RefundCommission,True,-0.13,False,GBP,-0.11,-0.02
026-0026748-2325970,Refund_ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Refund_Tax,False,-0.71,False,GBP,-0.59,-0.12
026-0026748-2325970,Refund_VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0026748-2325970,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0026748-2325970,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0026748-2325970,Tax,False,0.71,False,GBP,0.59,0.12
026-0026748-2325970,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,Commission,True,-2.28,False,GBP,-1.9,-0.38
026-0028000-2969919,DigitalServicesFee,True,-0.12,False,GBP,-0.1,-0.02
026-0028000-2969919,FBAPerUnitFulfillmentFee,True,-3.89,False,GBP,-3.24,-0.65
026-0028000-2969919,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,GiftWrap,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,GiftWrapTax,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,GiftwrapChargeback,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,Principal,False,12.12,False,GBP,10.1,2.02
026-0028000-2969919,ShippingCharge,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,ShippingChargeback,True,0.0,False,GBP,0.0,0.0
026-0028000-2969919,ShippingTax,False,0.0,False,GBP,0.0,0.0
026-0028000-2969919,Tax,False,2.42,False,GBP,2.02,0.4
026-0028000-2969919,VariableClosingFee,True,0.0,False,GBP,0.0,0.0
026-0035193-8613121,Commission,True,-1.05,False,GBP,-0.88,-0.17
026-0035193-8613121,DigitalServicesFee,True,-0.05,False,GBP,-0.04,-0.01
026-0035193-8613121,FBAPerUnitFulfillmentFee,True,-1.95,False,GBP,-1.62,-0.33
026-0035193-8613121,FixedClosingFee,True,0.0,False,GBP,0.0,0.0
