Date,Order ID,SKU,Quantity Ordered,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT
2025-11-01T19:25:14Z,202-9161761-3589947,6V-EEC1-2S9Z,,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.84,0.14,0.70,0.02,0.00,0.02,,,
2025-11-02T21:21:02Z,202-9194939-8106743,7L-OT45-7LYB,,-4.34,-0.72,-3.62,-0.83,-0.14,-0.69,,,,,,,,,,0.54,0.09,0.45,0.02,0.00,0.02,,,
2025-11-02T21:41:29Z,206-2015210-6721901,ZT-QPY3-P24I,,-75.09,-12.52,-62.57,,,,,,,,,,,,,10.81,1.80,9.01,0.28,0.05,0.23,,,
2025-11-03T13:36:44Z,202-9236233-7222710,R7-98IN-2PW8,,-5.83,-0.97,-4.86,,,,,,,,,,,,,0.45,0.07,0.38,0.01,0.00,0.01,,,
2025-11-03T18:00:51Z,204-1242078-2734749,R7-98IN-2PW8,,-5.83,-0.97,-4.86,,,,,,,,,,,,,0.45,0.07,0.38,0.01,0.00,0.01,,,
2025-11-03T20:04:25Z,205-6954559-0446754,G8-L8EI-INMK,,-5.99,-1.00,-4.99,,,,,,,,,,,,,0.46,0.08,0.38,0.01,0.00,0.01,,,
2025-11-03T20:18:12Z,203-8557342-7817112,1U-1W76-M840,,-4.02,-0.67,-3.35,,,,,,,,,,,,,0.58,0.10,0.48,0.02,0.00,0.02,,,
2025-11-03T21:47:54Z,205-1837362-3849904,0H-5V53-GPG4,,-12.01,-2.00,-10.01,,,,,,,,,,,,,1.73,0.29,1.44,0.05,0.01,0.04,,,
2025-11-04T16:58:28Z,202-5193970-3101912,F7-PMJ2-SG6A,,-7.90,-1.32,-6.58,,,,,,,,,,,,,1.14,0.19,0.95,0.02,0.00,0.02,,,
2025-11-04T19:24:49Z,026-3568305-7635556,G8-L8EI-INMK,,-5.99,-1.00,-4.99,,,,,,,,,,,,,0.45,0.07,0.38,0.01,0.00,0.01,,,
2025-11-06T20:20:13Z,026-6701783-5260316,3X-EXDD-TD2K,,-44.97,-7.50,-37.47,-0.75,-0.13,-0.62,,,,,,,,,,6.48,1.08,5.40,0.16,0.03,0.13,,,
2025-11-07T02:22:48Z,206-9193877-3592366,XE-YPAI-HX9F,,-10.00,-1.67,-8.33,,,,,,,,,,,,,0.77,0.13,0.64,0.02,0.00,0.02,,,
2025-11-07T15:49:55Z,205-1327653-0650741,6V-EEC1-2S9Z,,-6.80,-1.13,-5.67,,,,,,,,,,,,,0.83,0.14,0.69,0.02,0.00,0.02,,,
2025-11-07T18:07:27Z,026-3857615-1189920,R7-98IN-2PW8,,-5.83,-0.97,-4.86,-1.00,-0.17,-0.83,,,,,,,,,,0.46,0.08,0.38,0.02,0.00,0.02,,,
2025-11-08T20:30:15Z,203-5166987-1078708,0H-5V53-GPG4,,-12.00,-2.00,-10.00,,,,,,,,,,,,,1.73,0.29,1.44,0.04,0.01,0.03,,,
2025-11-08T21:18:48Z,205-9848080-5999567,6V-EEC1-2S9Z,,-6.80,-1.13,-5.67,-1.66,-0.28,-1.38,,,,,,,,,,0.84,0.14,0.70,0.07,0.01,0.06,,,
2025-11-09T16:40:50Z,204-2296798-6109936,A9-2Y9G-M2K7,1,-6.49,-1.08,-5.41,,,,,,,,,,,,,0.81,0.13,0.68,0.02,0.00,0.02,,,
2025-11-09T20:01:32Z,205-0145944-5920303,LV-425G-BY4X,,-34.29,0.00,-34.29,,,,,,,,,,,,,4.93,0.82,4.11,0.12,0.02,0.10,,,
2025-11-10T17:00:50Z,206-7154400-1240327,MW-9K5M-VKW8,,-27.00,-4.50,-22.50,,,,,,,,,,,,,3.89,0.65,3.24,0.10,0.02,0.08,,,
2025-11-10T18:21:09Z,026-8466930-0174730,G8-L8EI-INMK,1,-5.99,-1.00,-4.99,,,,,,,,,,,,,0.46,0.08,0.38,0.01,0.00,0.01,,,
2025-11-11T14:56:01Z,205-0539489-8746700,OT-3LZR-3R6K,,-29.99,-5.00,-24.99,,,,,,,,,,,,,4.32,0.72,3.60,0.11,0.02,0.09,,,
2025-11-11T20:47:09Z,026-5123361-5591520,0H-5V53-GPG4,1,-12.00,-2.00,-10.00,,,,,,,,,,,,,1.73,0.29,1.44,0.05,0.01,0.04,,,
