posted_date,transaction_type,amount_type,is_fee,amount,currency,tax_amount,tax_currency,order_id,shipment_id,inbound_shipment_id,fee_reason,fee_description,parsed_fba_shipment_id,date,date_source
,ServiceFee,FBAStorageFee,True,-0.52,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.76,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.54,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.04,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.51,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.1,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.93,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-5.7,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.05,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-11.58,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.18,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.01,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.21,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.9,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.64,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.28,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,0.0,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.91,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.06,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.74,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-8.56,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.03,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-8.67,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.81,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.42,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.02,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.15,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.08,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.85,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.07,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-8.15,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.21,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.51,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.12,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.49,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-6.33,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.02,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.97,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.78,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.48,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.09,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-1.37,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.89,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-3.14,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.97,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-4.12,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.11,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-13.05,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.25,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.56,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-9.27,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-2.4,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,0.0,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.05,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBAStorageFee,True,-0.02,EUR,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.11,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-9.11,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.22,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.53,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.06,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.03,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.02,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.52,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.17,GBP,,,,,,,,,2026-06-10,estimated
,ServiceFee,FBALongTermStorageFee,True,-0.21,GBP,,,,,,,,,2026-06-10,estimated
