order_id,currency,principal,shipping,giftwrap,tax,shipping_tax,giftwrap_tax,referral_fee,referral_fee_tax,fba_fee,fba_fee_tax,dsf_fee,dsf_fee_tax,fixed_fee,other_fee,posted_date,settlement_id
026-0075070-1777135,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:20:49Z,026-0075070-1777135
026-0610074-2942711,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T18:35:10Z,026-0610074-2942711
026-1199560-7160348,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-12T10:21:04Z,026-1199560-7160348
026-2131436-8962709,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:30:38Z,026-2131436-8962709
026-2583937-0325139,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:22:43Z,026-2583937-0325139
026-3062289-9282726,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:54:40Z,026-3062289-9282726
026-3682016-4743517,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T17:38:56Z,026-3682016-4743517
026-4647431-9127565,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T19:25:28Z,026-4647431-9127565
026-5884991-1923544,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T21:37:19Z,026-5884991-1923544
026-6229365-6067533,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T20:30:44Z,026-6229365-6067533
026-6542197-3223501,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T22:47:32Z,026-6542197-3223501
026-7802097-4705940,GBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-11T23:14:12Z,026-7802097-4705940
