posted_date,transaction_type,transaction_id,description,total_amount,currency,status,marketplace_id,inbound_shipment_id,related_identifiers,breakdowns
2026-02-17T23:06:18Z,Shipment,A9CikRUu45KYpgJ4Pv-0KNht1tnLPc_RiPL2_Yq-_bY,Order Payment,241.46,AED,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""RJqRwSkVA8qCWvZ-f1MGr-P4xlUXC9-XOhsVMZse0uo""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106027382459302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""25156480342""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""171-6761932-8864308""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""J72-fynIC5DL03rg73pPSbTMdxRIbI67pIXmIOFlGvo""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":347.2,""currencyCode"":""AED""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":347.2,""currencyCode"":""AED""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-105.74,""currencyCode"":""AED""},""breakdowns"":[{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-105.74,""currencyCode"":""AED""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-53.66,""currencyCode"":""AED""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-53.66,""currencyCode"":""AED""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-52.08,""currencyCode"":""AED""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-52.08,""currencyCode"":""AED""},""breakdowns"":[]}]}]}]}]"
2026-02-17T13:49:03Z,Shipment,UOjvP-zYFX6VM5d-SNSDrdu2cmaW71sLyZTiOXB1BrQ,Order Payment,4.81,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""519693398491001""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""203-1207427-5506736""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""okF98BumSU6VwqVyf1j-UuCwmQbInzQYcFCPiJBgKlo""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":7.99,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":6.66,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":1.33,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-3.18,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-3.18,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-1.94,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.62,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.32,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-1.24,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.04,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.2,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T15:13:02Z,ServiceFee,AlQKa5AiXoNrzMdu3k1kpXAyN9bqtPmUmk2UG0M3Tc4,FBAPostInboundTransportation,-5.33,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":0.0,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-5.33,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""InboundTransportationFee"",""breakdownAmount"":{""currencyAmount"":-5.33,""currencyCode"":""GBP""},""breakdowns"":null}]}]"
2026-02-17T15:45:19Z,Shipment,Uy7qORlIKet7VhAp70u16qMq1OWN6H1fpyngESAeT9o,Order Payment,0.6,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106201565960302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""205-5646527-8879517""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""OZnez-cbXGRVBixngWGt_a8GpT1E1DZXpiCZLlXcgrM""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":4.21,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":3.51,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":0.7,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-3.61,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.07,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.07,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.06,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.01,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-3.54,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-2.88,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-2.4,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.48,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-0.66,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.55,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.11,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T16:02:14Z,Shipment,BPGzlbvko2F9KXDqr9XYYtnFtBTMtJZ4oEeAaRhgXUQ,Order Payment,4.35,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106191969965302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""204-7618537-0957949""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""DHMbWiMNb0_Ovq-u7itBD378j5x4AXpcnn7gjyL94N8""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":7.51,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":6.26,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":1.25,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-3.16,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.06,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.06,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.05,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.01,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-3.1,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-1.92,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.6,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.32,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-1.18,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.98,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.2,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T16:08:21Z,Shipment,1muYuwgZF6anuKWdR0cCqpDPbofMk8il_zEPfmy9E1M,Order Payment,3.82,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106140081351302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""202-9631656-4589142""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""ueUZ8tvhSW8bHoE8NnkVWsGZyvrGUr8J5veRLmYmh38""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":6.08,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":6.08,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-2.26,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.06,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.06,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.04,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.02,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-2.2,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-1.5,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.5,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-0.7,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.58,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.12,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T16:10:35Z,Shipment,edr-gRRJO222wqFLaZsyvmhsbOQ8wakmouaIh4suq6A,Order Payment,6.57,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106191364120302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""202-4699214-4105919""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""l-2XdvqGx4JJ1Orfg2edhIX17CzGiWJAnjx_42Cpcuw""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":11.48,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":9.57,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":1.91,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-4.91,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.1,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.1,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.08,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.02,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-4.81,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-3.02,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-2.52,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.5,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-1.79,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.49,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.3,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T16:12:15Z,Shipment,XOe24F3f79xCXcPNLvLhRWFa-sLbrRH6MHtldcDJHnI,Order Payment,0.91,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106203109720302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""204-4212724-4045102""},{""relatedIdentifierName"":""DEFERRED_TRANSACTION_ID"",""relatedIdentifierValue"":""n5fbP9Jrx-FgM9NBqs9WOZHdVWkoSeKep95h6lUNjpQ""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":3.0,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":2.5,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":0.5,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-2.09,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.04,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.04,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.04,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-2.05,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":-1.75,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.46,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.29,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-0.3,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.25,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.05,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T16:14:34Z,Shipment,jfE-Rxa9rne7nMTs31LYsCSvGrUvA85b01vcLK_AdAs,Order Payment,8.16,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106476860934302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""204-6652219-1322752""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":9.99,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":8.32,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":1.67,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-1.83,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.03,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.03,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.03,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-1.8,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":0.0,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-2.67,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Promo"",""breakdownAmount"":{""currencyAmount"":2.67,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-1.8,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.5,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.3,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
2026-02-17T16:15:02Z,Shipment,MlBtPs6j00hXFaoJVr2Uvk9kZ38wAo8PCphZm_yTGWg,Order Payment,4.66,GBP,,,,"[{""relatedIdentifierName"":""FINANCIAL_EVENT_GROUP_ID"",""relatedIdentifierValue"":""Jr2fK4Tgr1HBu7ZEcSpKoeDGNYcOWciBhr-kQ1aLFJU""},{""relatedIdentifierName"":""SHIPMENT_ID"",""relatedIdentifierValue"":""106481356555302""},{""relatedIdentifierName"":""SETTLEMENT_ID"",""relatedIdentifierValue"":""26434792582""},{""relatedIdentifierName"":""ORDER_ID"",""relatedIdentifierValue"":""202-5155395-1129131""}]","[{""breakdownType"":""Sales"",""breakdownAmount"":{""currencyAmount"":6.8,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""ProductCharges"",""breakdownAmount"":{""currencyAmount"":4.62,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":0.93,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""Shipping"",""breakdownAmount"":{""currencyAmount"":1.25,""currencyCode"":""GBP""},""breakdowns"":null}]},{""breakdownType"":""Expenses"",""breakdownAmount"":{""currencyAmount"":-2.14,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""PromoRebates"",""breakdownAmount"":{""currencyAmount"":-1.25,""currencyCode"":""GBP""},""breakdowns"":null},{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.02,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""DigitalServicesFee"",""breakdownAmount"":{""currencyAmount"":-0.02,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.01,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.01,""currencyCode"":""GBP""},""breakdowns"":[]}]}]},{""breakdownType"":""AmazonFees"",""breakdownAmount"":{""currencyAmount"":-0.87,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""FBAPerUnitFulfillmentFee"",""breakdownAmount"":{""currencyAmount"":0.0,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-1.52,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Promo"",""breakdownAmount"":{""currencyAmount"":1.52,""currencyCode"":""GBP""},""breakdowns"":[]}]},{""breakdownType"":""Commission"",""breakdownAmount"":{""currencyAmount"":-0.87,""currencyCode"":""GBP""},""breakdowns"":[{""breakdownType"":""Base"",""breakdownAmount"":{""currencyAmount"":-0.72,""currencyCode"":""GBP""},""breakdowns"":[]},{""breakdownType"":""Tax"",""breakdownAmount"":{""currencyAmount"":-0.15,""currencyCode"":""GBP""},""breakdowns"":[]}]}]}]}]"
