snapshot_file,asof_date,marketplace,sku,seller_id,offers_seen,rank_by_landed_price,best_landed_price_gbp,seller_landed_price_latest_gbp,seller_landed_price_min_gbp,seller_landed_price_max_gbp,seller_landed_price_median_gbp,gap_to_best_landed_gbp,min_delivery_days,prime_seen_flag,tier,tier_reason,source
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,4W-VS57-BV6A,A23VLR5KYFT1PR,1,1,34.99,34.99,34.99,34.99,34.99,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,4W-VS57-BV6A,A3P5ROKL5A1OLE,2,2,34.99,35.00,35.00,35.00,35.00,0.01,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,4W-VS57-BV6A,A2UD95CFO7TBZQ,2,3,34.99,35.96,35.95,35.96,35.95,0.97,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,4W-VS57-BV6A,A16ZATMMFE8J3Y,1,4,34.99,35.99,35.99,35.99,35.99,1.00,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,6V-EEC1-2S9Z,A11RGASXV3EWM4,3,1,7.98,8.99,8.40,8.99,8.99,1.01,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,6V-EEC1-2S9Z,AM6QF58KGUUM9,2,2,7.98,9.17,8.41,9.17,8.79,1.19,,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,AX-NKNU-29C1,AUGCSEQQV3XYY,1,1,4.99,4.99,4.99,4.99,4.99,,1.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,AX-NKNU-29C1,A2JJBX08NHT52K,1,2,4.99,5.35,5.35,5.35,5.35,0.36,1.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,AX-NKNU-29C1,A24VQX7LPBJ2BC,1,3,4.99,5.98,5.98,5.98,5.98,0.99,9.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,JB-RGB6-LZOJ,A2FYX6NJ6MUB8R,1,1,5.95,5.95,5.95,5.95,5.95,,,1,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,JB-RGB6-LZOJ,A39VTM0CZSRJZA,1,2,5.95,6.75,6.75,6.75,6.75,0.80,,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
listing_offer_seller_snapshot_2026-02-18.csv,2026-02-18,UK,JB-RGB6-LZOJ,AKBY7ZMYYJKZC,1,3,5.95,6.90,6.90,6.90,6.90,0.95,1.00,0,seller_of_interest,rank_and_gap_gate,run_H_pricing_cycle
