inbound_shipment_id,sku,quantity
FBA15J8S81WD,SU-5LQH-2DVN,1
FBA15KTYHQ71,DC-K5WH-R7F5,1
FBA15L0T2PY1,D7-MGBX-RX2P,0
FBA15L0T2PY1,LV-425G-BY4X,0
FBA15L0T2PY1,XH-0LAE-FQO5,0
FBA15L1PWF0V,VF-3T0K-DR5O,796
FBA15L21ZCFP,WX-L5UA-UB1Q,802
FBA15L2G25DF,714776,5
FBA15L2G25DF,7L-OT45-7LYB,58
FBA15L2G25DF,I2-6YKQ-CIBP,8
FBA15L2G25DF,JV-D1TI-6UF6,34
FBA15L2G25DF,PY-XV78-3OG5,1
FBA15L2G25DF,US-AK96-YFSB,3
FBA15L2G25DF,VL-48KZ-J3F2,46
FBA15L2G25DF,WX-L5UA-UB1Q,2
FBA15L2G25DF,X7-MY4W-H2I4,13
FBA15L2G25DF,ZT-QPY3-P24I,1
FBA15L2G25DF,ZU-PFDN-JSYV,14
FBA15L2YYRFD,6V-EEC1-2S9Z,250
FBA15L2Z8DHC,A2-T2AC-TW3L,120
FBA15L309F94,0G-JB6S-PN34,110
FBA15L34VWBX,8R-E0Y9-0LAU,24
FBA15L34VWBX,EE-KTDC-KCFY,30
FBA15L34VWBX,L5-PF3B-WHU4,6
FBA15L34VWBX,NN-TSZ1-X2RD,64
FBA15L36T2CC,DC-K5WH-R7F5,520
FBA15L36ZJC2,6V-EEC1-2S9Z,250
FBA15L3D36GB,A2-T2AC-TW3L,120
FBA15L3Y5R44,6V-EEC1-2S9Z,250
FBA15L509V4S,A2-T2AC-TW3L,120
FBA15L6K9B1T,6V-EEC1-2S9Z,250
FBA15L78M9QR,6V-EEC1-2S9Z,250
FBA15L79JTG7,A2-T2AC-TW3L,94
FBA15L7SCQ0S,SU-5LQH-2DVN,75
FBA15L7T1K53,3X-EXDD-TD2K,13
FBA15L7T1K53,8U-QPFH-3EKQ,4
FBA15L7T1K53,DV-USYD-8WR2,1
FBA15L7T1K53,IB-U5FA-BO2Y,4
FBA15L7T1K53,NN-TSZ1-X2RD,94
FBA15L7T1K53,XE-YPAI-HX9F,24
FBA15L7T1K53,ZT-QPY3-P24I,1
FBA15L9X1VDD,6V-EEC1-2S9Z,250
FBA15LB9GJMB,A2-T2AC-TW3L,120
FBA15LBGBK4F,3B-3H3V-Z93T,30
FBA15LBGBK4F,3X-EXDD-TD2K,2
FBA15LBGBK4F,8R-E0Y9-0LAU,10
FBA15LBGBK4F,DV-USYD-8WR2,1
FBA15LBGBK4F,GA-9DTN-9O1E,1
FBA15LBGBK4F,GJ-2OZK-0GCA,14
FBA15LBGBK4F,H4-86XG-NLX6,1
FBA15LBGBK4F,HO-LSOY-8R05,3
FBA15LBGBK4F,L5-PF3B-WHU4,15
FBA15LBGBK4F,LV-425G-BY4X,1
FBA15LBGBK4F,ZT-QPY3-P24I,1
FBA15LCBT9DP,A2-T2AC-TW3L,120
FBA15LCY2JPY,8U-QPFH-3EKQ,8
FBA15LCY2JPY,C6-XGZB-J6QA,26
FBA15LCY2JPY,LP-QMNJ-J49G,9
FBA15LCY2JPY,NN-TSZ1-X2RD,41
FBA15LCY2JPY,W3-8FN7-FSP0,9
FBA15LCY2JPY,XE-YPAI-HX9F,68
FBA15LCY2JPY,Z7-26PV-O9LR,39
