Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
06/09/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",WhseTransfers,,-2,MME2,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",WhseTransfers,,2,LCY3,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X002HW0DTF,B0083HIM7U,C6-XGZB-J6QA,"Curaprox CS 1560 Soft Toothbrush – Firmer Brushing Experience | Gentle Plaque Removal for Adults | Single Pack, Random Color | Made in Switzerland",Shipments,,-1,EUK5,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X00293I5FB,B093FQYQJH,NN-TSZ1-X2RD,"Curaprox CS 12460 Velvet Soft Toothbrush – Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",Shipments,,-2,MAN1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0025DXO79,B00BUY54DI,FA-LRV6-YRFW,Funko POP! Vinyl Alien,Shipments,,-1,MAN3,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
06/09/2026,X0024FWWTJ,B06WW79DX5,6V-EEC1-2S9Z,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,Shipments,,-1,XLP1,SELLABLE,,GB,,,2026-06-09T01:00:00+0100
