asin,seller_sku,total_quantity,available,unsellable,researching,inbound_working,inbound_shipped,inbound_receiving,reserved_transfers,reserved_processing,reserved_customer,last_updated_time
B01N31JDVX,02-7AZG-O0CV,0,0,0,0,0,0,0,0,0,0,2025-12-10T03:32:48Z
B08C34199M,03-7TNF-U2A1,0,0,0,0,0,0,0,0,0,0,2025-05-29T13:07:18Z
B001JYLJB0,04-FYSA-YCV0,0,0,0,0,0,0,0,0,0,0,
B009NST7AY,04-PU0K-EVHU,0,0,0,0,0,0,0,0,0,0,
B006R5Z7DC,05-CH74-4EW3,0,0,0,0,0,0,0,0,0,0,2023-07-04T15:17:27Z
B004YJLV6K,06-6WC0-UGFH,0,0,0,0,0,0,0,0,0,0,
B01N58L3PP,08-3ABG-PL11,0,0,0,0,0,0,0,0,0,0,2024-12-08T02:22:18Z
B09BR88BPW,09-CZ59-Q6OR,0,0,0,0,0,0,0,0,0,0,2025-01-12T13:39:34Z
B0993N4XMC,0A-HHXO-QF32,0,0,0,0,0,0,0,0,0,0,2024-07-23T08:09:59Z
B00ICS6JWK,0B-IC3D-6S96,0,0,0,0,0,0,0,0,0,0,
B07Y5KYLQ8,0B-KZD0-FZB1,0,0,0,0,0,0,0,0,0,0,
B01N4LH1PN,0B-OUCV-UQE9,0,0,0,0,0,0,0,0,0,0,
B003TYWR5K,0C-AOG2-B23Z,0,0,0,0,0,0,0,0,0,0,2025-02-12T01:00:34Z
B09V8GFY8C,0D-0039-WEPJ,0,0,0,0,0,0,0,0,0,0,
B00RO5R4JE,0F-MLCO-206G,0,0,0,0,0,0,0,0,0,0,
B08J1X9VVF,0G-0234-E9NG,0,0,0,0,0,0,0,0,0,0,2024-02-18T18:02:55Z
B07H2WXMDJ,0G-JB6S-PN34,122,122,0,0,0,0,0,0,0,0,2026-02-14T19:23:33Z
B0CRRPCT5P,0H-5V53-GPG4,0,0,0,0,0,0,0,0,0,0,2025-12-13T12:31:16Z
B093WHTJL7,0K-6BX5-D5AH,0,0,0,0,0,0,0,0,0,0,2024-07-15T10:34:24Z
B009L12MLO,0N-JV0B-5UNV,0,0,0,0,0,0,0,0,0,0,2024-10-07T18:56:56Z
B0CJMMYYCJ,0N-VZG5-JH06,0,0,0,0,0,0,0,0,0,0,2025-06-26T03:59:18Z
B09M3RB8R1,0N-X5KF-213D,0,0,0,0,0,0,0,0,0,0,2025-08-12T16:30:11Z
B00GI299M4,0O-KL3Z-ZTQ9,0,0,0,0,0,0,0,0,0,0,
1848450486,0Q-F5R3-333E,0,0,0,0,0,0,0,0,0,0,2023-05-09T23:24:06Z
B07B4NQSYS,0R-31MX-8MNY,0,0,0,0,0,0,0,0,0,0,2023-12-05T11:27:49Z
B09NQD4S5N,0R-GRRH-W0Z9,6,6,0,0,0,0,0,0,0,0,2026-02-09T12:21:15Z
B0B8T9L8RY,0T-2B9X-7G65,0,0,0,0,0,0,0,0,0,0,
B0CBNNKLYJ,0T-LQK2-KFCY,0,0,0,0,0,0,0,0,0,0,2024-12-22T20:46:45Z
B00M9UFVGM,0W-VJRK-9VCG,0,0,0,0,0,0,0,0,0,0,2025-06-12T16:29:13Z
B0BWFT5RGN,0X-VJWI-4OT8,0,0,0,0,0,0,0,0,0,0,2025-09-18T04:41:25Z
B09NQBQW49,0Z-Y60V-499R,0,0,0,0,0,0,0,0,0,0,2025-11-16T14:29:08Z
B00CRGM45O,10-JQEP-V8I7,0,0,0,0,0,0,0,0,0,0,2025-02-18T02:31:13Z
B002GZJUQ2,10-KNVB-4BRI,0,0,0,0,0,0,0,0,0,0,2024-08-31T22:39:31Z
B01H8QOUTA,10-PGVO-YV15,0,0,0,0,0,0,0,0,0,0,2025-01-31T23:21:24Z
9189143078,12-3VTE-5T3Z,0,0,0,0,0,0,0,0,0,0,2025-10-18T01:15:41Z
B084HZRR8G,12-749B-9EB5,0,0,0,0,0,0,0,0,0,0,2025-02-02T17:50:14Z
B097F7QHFF,16-5NE0-75DT,0,0,0,0,0,0,0,0,0,0,2024-09-09T18:15:21Z
B0B32365PH,18-WD7G-J8U4,0,0,0,0,0,0,0,0,0,0,
B002ZTVMDI,1A-S381-J09C,0,0,0,0,0,0,0,0,0,0,2024-12-31T01:16:03Z
B00SH4QZIM,1B-X7OV-DC22,0,0,0,0,0,0,0,0,0,0,
B00YPA854Y,1C-WYGV-IW8O,0,0,0,0,0,0,0,0,0,0,2024-12-14T16:29:18Z
B00O3XUG5E,1D-E3I8-TUK8,0,0,0,0,0,0,0,0,0,0,2025-01-09T22:57:18Z
B095ZY4PCG,1I-68NK-QBN0,0,0,0,0,0,0,0,0,0,0,
B09S5RXYKR,1L-X5VM-8E2W,0,0,0,0,0,0,0,0,0,0,
B07QGGFKYK,1P-BRGG-P0N6,0,0,0,0,0,0,0,0,0,0,2024-08-28T23:11:25Z
B01G263L1K,1Q-OTO8-JG8E,0,0,0,0,0,0,0,0,0,0,2025-03-27T07:34:52Z
B0032NGZII,1S-ZFUI-RE1A,0,0,0,0,0,0,0,0,0,0,
B07V9CRX7Y,1U-1W76-M840,0,0,0,0,0,0,0,0,0,0,2025-11-02T05:57:28Z
B082BVCQMQ,1U-YF3T-TR74,0,0,0,0,0,0,0,0,0,0,2025-06-07T12:06:19Z
B000FPU2SK,1V-9D9W-WOZP,0,0,0,0,0,0,0,0,0,0,
B002KFZKZ8,2G-AYBQ-TUQG,7,7,0,0,0,0,0,0,0,0,2026-02-12T08:40:58Z
B0D6W9DZX4,3X-EXDD-TD2K,5,5,0,0,0,0,0,0,0,0,2026-02-10T00:40:27Z
B0C9LJNJWZ,4W-VS57-BV6A,16,16,0,0,0,0,0,0,0,0,2026-02-16T06:40:50Z
B08MW8XMNQ,5Z-6Z0P-9TQQ,12,12,0,0,0,0,0,0,0,0,2026-02-16T12:49:15Z
B000PSB13C,6Q-9G2A-IKVV,59,59,0,0,0,0,0,0,0,0,2026-02-06T03:18:22Z
B06WW79DX5,6V-EEC1-2S9Z,285,31,0,0,0,250,0,0,2,2,2026-02-18T04:45:19Z
B002BX8ZFG,714810,10,10,0,0,0,0,0,0,0,0,2026-02-18T06:08:01Z
B004GFPFBO,7M-48OU-23X3,1,1,0,0,0,0,0,0,0,0,2026-02-14T05:03:34Z
B00D1V5FPU,8M-LM6B-F2Q5,1,1,0,0,0,0,0,0,0,0,2026-02-16T17:29:42Z
B0B2RBG672,8M-NHB7-T8TR,3,3,0,0,0,0,0,0,0,0,2026-02-14T00:20:33Z
B07T9WVBZ2,8U-QPFH-3EKQ,10,10,0,0,0,0,0,0,0,0,2026-02-16T23:02:56Z
B00BEUFYE2,9X-HL62-83C7,6,6,0,0,0,0,0,0,0,0,2026-02-11T12:06:31Z
B07BC1CMDK,A1-KSU1-GZMS,17,17,0,0,0,0,0,0,0,0,2026-02-09T12:30:26Z
B006PFN3BW,A2-T2AC-TW3L,89,89,0,0,0,0,0,0,0,0,2026-02-17T03:19:41Z
B0001P15T4,AF-KIHX-ANYY,60,60,0,0,0,0,0,0,0,0,2026-02-10T20:32:18Z
B08M52B4M5,AX-NKNU-29C1,134,134,0,0,0,0,0,0,0,0,2026-01-26T23:33:25Z
B0897VHKW6,BL-WX51-KQOK,6,6,0,0,0,0,0,0,0,0,2026-02-03T18:13:18Z
B0CG234KW1,CJ-X0SS-QOUW,9,9,0,0,0,0,0,0,0,0,2026-02-13T13:39:25Z
B0012B80HG,CX-SMCH-4DYA,7,7,0,0,0,0,0,0,0,0,2026-02-10T19:39:23Z
B07F1MFWV1,D0-C7C0-H6LN,11,11,0,0,0,0,0,0,0,0,2026-02-11T00:05:49Z
B001ET78RY,D8-1A3E-I37F,7,7,0,0,0,0,0,0,0,0,2026-02-05T14:30:23Z
