asin,fnsku,seller_sku,condition,inventory_status,total_quantity,in_stock_supply_quantity,inbound_working,inbound_shipped,inbound_receiving,available,unsellable,researching,reserved_transfers,reserved_processing,reserved_customer,last_updated_time,row_last_updated_age_hours,row_last_updated_status,row_last_updated_is_stale,row_stock_truth_adjustment,row_stock_truth_source,row_token_available_units,row_token_total_effective_units
B01N31JDVX,X0022WD3O7,02-7AZG-O0CV,NewItem,,1,0,0,0,0,0,0,0,0,0,0,2025-12-10T03:32:48Z,4369.62,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,1
B08C34199M,X00288BZRR,03-7TNF-U2A1,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-05-29T13:07:18Z,9040.04,STALE,1,,SPAPI_STALE,0,0
B001JYLJB0,B001JYLJB0,04-FYSA-YCV0,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B009NST7AY,X001S2VP3N,04-PU0K-EVHU,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B006R5Z7DC,X001SSH7L1,05-CH74-4EW3,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2023-07-04T15:17:27Z,25717.88,STALE,1,,SPAPI,0,0
B004YJLV6K,X002FS8DCP,06-6WC0-UGFH,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B01N58L3PP,X00205CAB3,08-3ABG-PL11,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-12-08T02:22:18Z,13178.79,STALE,1,,SPAPI,0,0
B09BR88BPW,X0023IZ4LF,09-CZ59-Q6OR,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-01-12T13:39:34Z,12327.51,STALE,1,,SPAPI,0,0
B0993N4XMC,X001UMWQRZ,0A-HHXO-QF32,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-07-23T08:09:59Z,16485.00,STALE,1,,SPAPI,0,0
B00ICS6JWK,X002EDYK2N,0B-IC3D-6S96,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI_STALE,0,0
B07Y5KYLQ8,X001T2U0BF,0B-KZD0-FZB1,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B01N4LH1PN,X001YO4K6J,0B-OUCV-UQE9,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B003TYWR5K,X0020MCF7Z,0C-AOG2-B23Z,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-02-12T01:00:34Z,11596.16,STALE,1,,SPAPI,0,0
B09V8GFY8C,X001T0KKM1,0D-0039-WEPJ,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B00RO5R4JE,B00RO5R4JE,0F-MLCO-206G,NewItem,,0,0,0,0,0,0,0,0,0,0,0,,,UNKNOWN,1,,SPAPI,0,0
B08J1X9VVF,X001YBF5CZ,0G-0234-E9NG,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-02-18T18:02:55Z,20219.12,STALE,1,,SPAPI,0,0
B07H2WXMDJ,X002C5IRB3,0G-JB6S-PN34,NewItem,,82,0,0,0,0,0,82,0,0,0,0,2026-06-10T03:25:28Z,1.74,FRESH,0,,SPAPI,0,148
B0CRRPCT5P,X002AS81FJ,0H-5V53-GPG4,NewItem,,47,0,0,0,0,0,0,0,0,0,0,2025-12-13T12:31:16Z,4288.64,STALE,1,TOKEN_FLOOR,SPAPI_TOKEN_FLOOR,0,47
B093WHTJL7,X0020MCNLX,0K-6BX5-D5AH,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-07-15T10:34:24Z,16674.59,STALE,1,,SPAPI,0,0
B009L12MLO,X0021LUMLB,0N-JV0B-5UNV,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2024-10-07T18:56:56Z,14650.22,STALE,1,,SPAPI,0,0
B0CJMMYYCJ,X00259JNGT,0N-VZG5-JH06,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-06-26T03:59:18Z,8377.18,STALE,1,,SPAPI_STALE,0,0
B09M3RB8R1,X00293IG55,0N-X5KF-213D,NewItem,,0,0,0,0,0,0,0,0,0,0,0,2025-08-12T16:30:11Z,7236.66,STALE,1,,SPAPI_STALE,0,0
