order_id_norm,sb_cogs,sb_cogs_abs,Order ID,our_cogs_abs,diff
408-0871798-9145933,0.0,0.0,408-0871798-9145933,4.65,4.65
204-6787984-9785122,0.0,0.0,204-6787984-9785122,4.65,4.65
204-6860649-8119507,0.0,0.0,204-6860649-8119507,4.65,4.65
206-5772431-0012355,0.0,0.0,206-5772431-0012355,4.65,4.65
205-1160098-0494766,0.0,0.0,205-1160098-0494766,4.65,4.65
203-7527545-7609907,0.0,0.0,203-7527545-7609907,4.65,4.65
026-8413011-0490719,0.0,0.0,026-8413011-0490719,4.65,4.65
026-9393414-9414751,0.0,0.0,026-9393414-9414751,4.65,4.65
203-4620317-0933954,0.0,0.0,203-4620317-0933954,4.65,4.65
203-9215222-3108300,0.0,0.0,203-9215222-3108300,4.65,4.65
026-1371011-5523539,0.0,0.0,026-1371011-5523539,4.65,4.65
205-9117039-6242767,0.0,0.0,205-9117039-6242767,4.65,4.65
202-0097675-6388311,0.0,0.0,202-0097675-6388311,4.65,4.65
202-5878837-5845156,0.0,0.0,202-5878837-5845156,4.65,4.65
171-4317183-9003554,0.0,0.0,171-4317183-9003554,4.65,4.65
205-3889277-6832367,0.0,0.0,205-3889277-6832367,4.65,4.65
205-4303498-7904337,0.0,0.0,205-4303498-7904337,4.65,4.65
203-2232439-0153141,0.0,0.0,203-2232439-0153141,4.65,4.65
203-5323608-7025906,0.0,0.0,203-5323608-7025906,4.65,4.65
206-9217188-5696363,0.0,0.0,206-9217188-5696363,4.65,4.65
202-6459401-0978741,0.0,0.0,202-6459401-0978741,4.65,4.65
202-2858033-9019534,0.0,0.0,202-2858033-9019534,4.65,4.65
203-0826015-6932354,-15.26,15.26,203-0826015-6932354,11.57,-3.69
026-5666387-1677108,-15.26,15.26,026-5666387-1677108,11.57,-3.69
203-9107901-0440369,0.0,0.0,203-9107901-0440369,3.32,3.32
202-5558603-8929930,0.0,0.0,202-5558603-8929930,3.32,3.32
203-1932142-6560346,-2.46,2.46,203-1932142-6560346,0.0,-2.46
202-4503256-5035533,-15.96,15.96,202-4503256-5035533,13.96,-2.0
202-1074363-6024329,-275.2,275.2,202-1074363-6024329,277.2,2.0
206-7447666-8515551,-15.96,15.96,206-7447666-8515551,13.96,-2.0
204-6084835-1481119,-11.97,11.97,204-6084835-1481119,10.47,-1.5
206-7674021-1046764,-11.97,11.97,206-7674021-1046764,10.47,-1.5
205-4703677-2518721,-14.8,14.8,205-4703677-2518721,13.6,-1.2
202-3957464-3540338,-3.76,3.76,202-3957464-3540338,4.89,1.13
205-7022899-6254728,-3.76,3.76,205-7022899-6254728,4.89,1.13
203-9277652-6003518,-3.76,3.76,203-9277652-6003518,4.89,1.13
026-7409534-1563501,-3.76,3.76,026-7409534-1563501,4.89,1.13
206-6403975-7341164,-3.76,3.76,206-6403975-7341164,4.89,1.13
026-6212463-3961146,-3.76,3.76,026-6212463-3961146,4.89,1.13
026-3902811-6077938,-3.76,3.76,026-3902811-6077938,4.89,1.13
204-2056243-2287546,-3.76,3.76,204-2056243-2287546,4.89,1.13
026-3772662-9482731,-3.76,3.76,026-3772662-9482731,4.89,1.13
206-0945447-0327544,-3.76,3.76,206-0945447-0327544,4.89,1.13
203-1082671-3592364,-3.76,3.76,203-1082671-3592364,4.89,1.13
205-3824241-1921937,-3.76,3.76,205-3824241-1921937,4.89,1.13
204-6166171-1948303,-3.76,3.76,204-6166171-1948303,4.89,1.13
203-8155860-5518717,-3.76,3.76,203-8155860-5518717,4.89,1.13
202-4291071-2529109,-7.98,7.98,202-4291071-2529109,6.98,-1.0
202-8851004-4707529,-7.98,7.98,202-8851004-4707529,6.98,-1.0
205-2149173-1556352,-7.98,7.98,205-2149173-1556352,6.98,-1.0
203-3488192-0776348,-11.1,11.1,203-3488192-0776348,10.2,-0.9
205-8921333-6637941,-2.38,2.38,205-8921333-6637941,3.28,0.9
206-8735889-1111533,-2.38,2.38,206-8735889-1111533,3.28,0.9
204-2981618-3047555,-7.38,7.38,204-2981618-3047555,8.19,0.81
203-4454323-6669964,-7.38,7.38,203-4454323-6669964,8.19,0.81
204-6062508-4437951,-8.46,8.46,204-6062508-4437951,9.14,0.68
206-5262143-0326708,-7.4,7.4,206-5262143-0326708,6.8,-0.6
206-7344782-7361103,-7.4,7.4,206-7344782-7361103,6.8,-0.6
204-4437502-7855542,-8.22,8.22,204-4437502-7855542,8.79,0.57
205-8184394-8473956,-17.2,17.2,205-8184394-8473956,17.76,0.56
205-3475637-9472332,-4.92,4.92,205-3475637-9472332,5.46,0.54
202-4382977-7822735,-4.92,4.92,202-4382977-7822735,5.46,0.54
204-3067692-8456359,-4.92,4.92,204-3067692-8456359,5.46,0.54
205-6114468-5975524,-4.92,4.92,205-6114468-5975524,5.46,0.54
206-2209822-0691547,-4.92,4.92,206-2209822-0691547,5.46,0.54
203-2885614-0189156,-4.92,4.92,203-2885614-0189156,5.46,0.54
204-5981954-1160347,-4.92,4.92,204-5981954-1160347,5.46,0.54
203-6705361-3289923,-4.92,4.92,203-6705361-3289923,5.46,0.54
203-4773404-6938748,-3.99,3.99,203-4773404-6938748,3.49,-0.5
026-7053984-7719536,-3.99,3.99,026-7053984-7719536,3.49,-0.5
204-5962837-2700343,-3.99,3.99,204-5962837-2700343,3.49,-0.5
203-8126961-6969906,-3.99,3.99,203-8126961-6969906,3.49,-0.5
206-6643336-5106750,-3.99,3.99,206-6643336-5106750,3.49,-0.5
026-4185531-5281932,-3.99,3.99,026-4185531-5281932,3.49,-0.5
202-3580891-4812316,-3.99,3.99,202-3580891-4812316,3.49,-0.5
206-1014640-1119520,-3.99,3.99,206-1014640-1119520,3.49,-0.5
171-7058771-8651521,-3.99,3.99,171-7058771-8651521,3.49,-0.5
205-5403856-5588336,-3.99,3.99,205-5403856-5588336,3.49,-0.5
202-6003219-1276326,-3.99,3.99,202-6003219-1276326,3.49,-0.5
202-0831272-8343526,-3.99,3.99,202-0831272-8343526,3.49,-0.5
202-3897935-9593152,-3.99,3.99,202-3897935-9593152,3.49,-0.5
204-7456430-3541956,-3.99,3.99,204-7456430-3541956,3.49,-0.5
204-0282064-4905953,-3.99,3.99,204-0282064-4905953,3.49,-0.5
206-8458534-3435505,-3.99,3.99,206-8458534-3435505,3.49,-0.5
205-7660883-7449122,-3.99,3.99,205-7660883-7449122,3.49,-0.5
026-2349205-3699538,-3.99,3.99,026-2349205-3699538,3.49,-0.5
202-7413630-5241152,-3.99,3.99,202-7413630-5241152,3.49,-0.5
205-7197698-8681116,-3.99,3.99,205-7197698-8681116,3.49,-0.5
205-7015714-7217148,-9.16,9.16,205-7015714-7217148,9.58,0.42
205-0930141-1812360,-3.96,3.96,205-0930141-1812360,3.57,-0.39
204-0781194-2087538,-3.96,3.96,204-0781194-2087538,3.57,-0.39
026-8573775-4654734,-3.96,3.96,026-8573775-4654734,3.57,-0.39
026-3887505-8169937,-5.48,5.48,026-3887505-8169937,5.86,0.38
026-6021230-7917926,-4.23,4.23,026-6021230-7917926,4.57,0.34
026-1351865-0726754,-4.23,4.23,026-1351865-0726754,4.57,0.34
204-7160528-2225144,-4.23,4.23,204-7160528-2225144,4.57,0.34
204-7588108-3049168,-4.23,4.23,204-7588108-3049168,4.57,0.34
204-9174868-8287545,-4.23,4.23,204-9174868-8287545,4.57,0.34
026-5801182-9937111,-4.23,4.23,026-5801182-9937111,4.57,0.34
205-1863365-1711521,-4.23,4.23,205-1863365-1711521,4.57,0.34
203-6985665-0113148,-4.23,4.23,203-6985665-0113148,4.57,0.34
026-8111877-1058724,-4.23,4.23,026-8111877-1058724,4.57,0.34
204-9211586-5438724,-4.23,4.23,204-9211586-5438724,4.57,0.34
