amazon_order_id,asin,seller_sku,order_item_id,title,quantity_ordered,quantity_shipped,item_price_amount,item_price_currency,item_tax_amount,item_tax_currency,shipping_price_amount,shipping_price_currency,shipping_tax_amount,shipping_tax_currency,giftwrap_price_amount,giftwrap_price_currency,giftwrap_tax_amount,giftwrap_tax_currency,promotion_discount_amount,promotion_discount_currency,promotion_discount_tax_amount,promotion_discount_tax_currency,is_gift,is_transparency,condition_id,condition_subtype_id
S02-4918752-6300634,B004R1ZS64,SE-IQQJ-EOU3,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
S02-9372918-5165068,B00AOES9GE,XH-0LAE-FQO5,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
S02-1904146-9043566,B0073FT7FY,DC-K5WH-R7F5,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
S02-9647055-0892309,B0CRRPCT5P,0H-5V53-GPG4,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
S02-7692407-2752619,B00AOES9GE,XH-0LAE-FQO5,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
S02-2580542-2256648,B000FGECAI,Z3-ORV9-K8XD,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
S02-5076825-8968703,B09ST7SSLW,SU-JM8R-2U82,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
203-3109324-4178751,B07J9JGZZV,Z7-26PV-O9LR,59031006139482,Plaque Glo Plaque Disclosing Toothpaste and Torch System (Tropical),1,1,8.70,GBP,1.45,GBP,,,,,,,,,0.00,GBP,0.00,GBP,false,False,,
S02-8021764-4477330,B000FGECAI,Z3-ORV9-K8XD,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
205-5028901-8756344,B08KFFY86W,VF-3T0K-DR5O,59131235039322,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1,1,5.35,GBP,0.89,GBP,,,,,,,,,0.00,GBP,0.00,GBP,false,False,,
205-5028901-8756344,B08KFFY86W,VF-3T0K-DR5O,59141686587482,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",0,0,,,,,,,,,,,,,,,,,false,False,,
203-4903160-7199558,B06WW79DX5,6V-EEC1-2S9Z,59127889778322,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,2,2,15.73,GBP,2.51,GBP,,,,,,,,,0.66,GBP,0.00,GBP,false,False,,
204-5473246-3082763,B004I2N5AS,L3-ZQ8U-A7LQ,59391421893642,Sandisk SDCZ50-016G-B35 USB 2.0 Flash Drive 16GB Black/Red,1,0,,,,,,,,,,,,,,,,,false,False,,
203-9480730-0753955,B08KFFY86W,VF-3T0K-DR5O,59131448584722,"TePe EasyPick Toothpicks, Purple, ISO XL, 36pcs, Plaque Remover, efficient Clean Between The Teeth, Durable Dental Picks for Wide Gaps, Travel case Included",1,1,5.35,GBP,0.89,GBP,,,,,,,,,0.00,GBP,0.00,GBP,false,False,,
205-5811548-1960350,B00AOES9GE,XH-0LAE-FQO5,59137980644442,Curaprox CS 1006 Single Toothbrush - Targeted Cleaning for Gumline and Braces | Ultra-Soft Single Tuft | for Sensitive Teeth and Implants | Designed in Switzerland,1,1,6.90,GBP,1.15,GBP,,,,,,,,,0.00,GBP,0.00,GBP,false,False,,
204-1857344-4593161,B01CKK8CU2,BQ-O3OI-FTJU,59443728826802,5 Ultra Pro 130pt Magnetic One Touch Card Holders (5 Total) 81721 - Fits Cards Up to 130 Point in Thickness,1,1,24.99,GBP,4.17,GBP,,,,,,,,,0.00,GBP,0.00,GBP,false,False,,
203-0225527-3617179,B06WW79DX5,6V-EEC1-2S9Z,59456065441082,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,1,1,7.91,GBP,1.32,GBP,0.53,GBP,0.00,GBP,,,,,0.00,GBP,0.00,GBP,false,False,,
203-6531871-1766764,B06WW79DX5,6V-EEC1-2S9Z,59134071381242,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,0,0,,,,,,,,,,,,,,,,,false,False,,
S02-1884425-2747759,B0CJ8TNZ67,RB-82FL-T88J,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
408-0036689-3441978,B0844ZRHS9,R4-0AXZ-ZZ9D,59635371614242,"Paladone Minecraft Zombie Icon Light BDP Mini-Nachtlampe mit lustigem Pixel, superhell, plastik, Mehrfarbig",1,0,,,,,,,,,,,,,,,,,false,False,,
S02-7627262-2851065,B0D3JC45CK,IB-U5FA-BO2Y,0,-,1,1,,,,,,,,,,,,,,,,,,False,,
202-8019874-5733104,B093FQYQJH,NN-TSZ1-X2RD,60041669623162,"Curaprox CS 12460 Velvet Soft Toothbrush - Sensitive Gum Care | Ultra-Gentle Cleaning with 12,460 Filaments | Single Pack, Random Color | Made in Switzerland",1,0,,,,,,,,,,,,,,,,,false,False,,
S02-0884376-6363056,B0073TTHBY,MW-9K5M-VKW8,0,-,3,0,,,,,,,,,,,,,,,,,,False,,
203-3169545-1759506,B06WW79DX5,6V-EEC1-2S9Z,60190449254162,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,2,0,,,,,,,,,,,,,,,,,false,False,,
S02-6203744-6940028,B07RX3FCV7,QM-QAGK-D2UQ,0,-,1,0,,,,,,,,,,,,,,,,,,False,,
204-0105344-3915555,B06WW79DX5,6V-EEC1-2S9Z,60403310582122,3 X Everbuild CYN20 20g General Purpose Industrial Superglue,1,0,,,,,,,,,,,,,,,,,false,False,,
