Date,Order ID,lvl,country_code,SKU,Quantity Ordered,currency_code,Price_Total,Price_VAT,Price_ExVAT,Shipping_Total,Shipping_VAT,Shipping_ExVAT,Gift_Total,Gift_VAT,Gift_ExVAT,Promotion_Total,Promotion_VAT,Promotion_ExVAT,COGS_Total,COGS_VAT,COGS_ExVAT,FBA_Fee_Total,FBA_Fee_VAT,FBA_Fee_ExVAT,Commission_Total,Commission_VAT,Commission_ExVAT,Digital_Fee_Total,Digital_Fee_VAT,Digital_Fee_ExVAT,FixedClosingFee_Total,FixedClosingFee_VAT,FixedClosingFee_ExVAT,Margin_ExVAT,Margin_Pct
2025-11-01T00:14:17Z,205-6786758-2337967,3,GB,XH-0LAE-FQO5,1,GBP,7.30,1.22,6.08,1.13,0.19,0.94,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,-0.29,-1.46,-0.7,-0.12,-0.58,-0.05,-0.01,-0.04,,,,4.94,70.37037037037037
2025-11-01T02:50:36Z,206-6632739-7323507,3,GB,NN-TSZ1-X2RD,1,GBP,9.99,1.67,8.32,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-0.3,-1.5,-0.96,-0.16,-0.8,-0.05,-0.01,-0.04,,,,5.98,71.875
2025-11-01T03:13:17Z,204-6330672-9442759,3,GB,NN-TSZ1-X2RD,1,GBP,9.99,1.67,8.32,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.96,-0.16,-0.8,-0.02,0.0,-0.02,,,,7.5,90.14423076923077
2025-11-01T09:32:51Z,204-6530222-4673137,3,GB,6V-EEC1-2S9Z,1,GBP,6.80,1.13,5.67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.06,-0.18,-0.88,-0.07,-0.01,-0.06,,,,3.11,54.85008818342152
2025-11-01T09:37:00Z,202-8832583-6765967,3,GB,6V-EEC1-2S9Z,1,GBP,6.80,1.13,5.67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,-0.33,-1.62,-1.05,-0.17,-0.88,-0.06,-0.01,-0.05,,,,3.12,55.02645502645503
2025-11-01T09:39:04Z,206-1452967-8868347,3,GB,6V-EEC1-2S9Z,1,GBP,6.80,1.13,5.67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.06,-0.18,-0.88,-0.07,-0.01,-0.06,,,,3.11,54.85008818342152
2025-11-01T09:46:27Z,206-5464336-6193967,3,GB,0H-5V53-GPG4,1,GBP,12.00,2.00,10.00,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.6,-0.6,-3.0,-2.16,-0.36,-1.8,-0.12,-0.02,-0.1,,,,5.1,51.0
2025-11-01T10:12:01Z,026-7570691-3164326,3,GB,JL-VTP2-JF3Q,1,GBP,17.99,3.00,14.99,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-3.71,-0.62,-3.09,-2.81,-0.47,-2.34,-0.14,-0.02,-0.12,,,,9.44,62.975316877918615
2025-11-01T10:17:21Z,205-5962801-9713929,3,GB,6V-EEC1-2S9Z,1,GBP,6.80,1.13,5.67,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.94,-0.32,-1.62,-1.05,-0.17,-0.88,-0.06,-0.01,-0.05,,,,3.12,55.02645502645503
2025-11-01T10:26:08Z,203-2830602-7037915,3,GB,XH-0LAE-FQO5,1,GBP,7.30,1.22,6.08,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-1.75,-0.29,-1.46,-0.7,-0.12,-0.58,-0.05,-0.01,-0.04,,,,4.0,65.78947368421053
