Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
026-0009940-5149166,6.8,0.0,-0.34,6.46,026-0009940-5149166,6.8,0.0,0.0,-0.28,6.52,0.06
026-0016519-4857923,7.45,0.0,0.0,7.45,026-0016519-4857923,7.45,0.0,0.0,0.0,7.45,0.0
026-0017416-5297920,15.98,0.0,0.0,15.98,026-0017416-5297920,15.98,0.0,0.0,0.0,15.98,0.0
026-0039744-2632363,7.94,0.0,0.0,7.94,026-0039744-2632363,7.94,0.0,0.0,0.0,7.94,0.0
026-0064468-5546719,26.07,0.0,0.0,26.07,026-0064468-5546719,26.07,0.0,0.0,0.0,26.07,0.0
026-0065117-1664370,8.41,0.0,0.0,8.41,026-0065117-1664370,8.41,0.0,0.0,0.0,8.41,0.0
026-0073185-5189967,14.03,0.0,0.0,14.03,026-0073185-5189967,14.03,0.0,0.0,0.0,14.03,0.0
026-0075070-1777135,4.98,0.0,0.0,4.98,026-0075070-1777135,4.98,0.0,0.0,0.0,4.98,0.0
026-0076055-3531566,25.04,0.0,0.0,25.04,026-0076055-3531566,25.04,0.0,0.0,0.0,25.04,0.0
026-0090907-3049146,6.94,0.0,0.0,6.94,026-0090907-3049146,6.94,0.0,0.0,0.0,6.94,0.0
026-0091939-0537175,29.93,0.0,0.0,29.93,026-0091939-0537175,29.93,0.0,0.0,0.0,29.93,0.0
026-0115868-9345116,10.9,0.0,0.0,10.9,026-0115868-9345116,10.9,0.0,0.0,0.0,10.9,0.0
026-0121291-4221946,8.45,0.0,0.0,8.45,026-0121291-4221946,8.45,0.0,0.0,0.0,8.45,0.0
026-0159943-8621117,16.48,-4.15,0.0,12.33,026-0159943-8621117,11.49,4.99,0.0,0.0,16.48,4.15
026-0162739-7538756,6.8,0.0,0.0,6.8,026-0162739-7538756,6.8,0.0,0.0,0.0,6.8,0.0
026-0171523-9579567,7.9,0.0,0.0,7.9,026-0171523-9579567,7.9,0.0,0.0,0.0,7.9,0.0
026-0177850-1952301,5.88,0.0,0.0,5.88,026-0177850-1952301,5.88,0.0,0.0,0.0,5.88,0.0
026-0183541-5427529,13.99,0.0,0.0,13.99,026-0183541-5427529,13.99,0.0,0.0,0.0,13.99,0.0
026-0188579-8210746,24.99,0.0,0.0,24.99,026-0188579-8210746,24.99,0.0,0.0,0.0,24.99,0.0
026-0198726-2724350,27.0,0.0,0.0,27.0,026-0198726-2724350,27.0,0.0,0.0,0.0,27.0,0.0
026-0201591-1053910,7.49,0.0,0.0,7.49,026-0201591-1053910,7.49,0.0,0.0,0.0,7.49,0.0
026-0207133-4775569,47.6,0.0,0.0,47.6,026-0207133-4775569,47.6,0.0,0.0,0.0,47.6,0.0
026-0223229-5763543,23.53,0.0,0.0,23.53,026-0223229-5763543,23.53,0.0,0.0,0.0,23.53,0.0
026-0225329-3072307,9.0,0.0,0.0,9.0,026-0225329-3072307,9.0,3.22,0.0,0.0,12.22,3.22
026-0226520-9150768,11.89,0.0,0.0,11.89,026-0226520-9150768,11.89,0.0,0.0,0.0,11.89,0.0
026-0233761-3638722,11.98,0.0,0.0,11.98,026-0233761-3638722,11.98,0.0,0.0,0.0,11.98,0.0
026-0246156-1560326,14.03,0.0,0.0,14.03,026-0246156-1560326,14.03,0.0,0.0,0.0,14.03,0.0
026-0255109-8910770,5.98,0.0,0.0,5.98,026-0255109-8910770,5.98,0.0,0.0,0.0,5.98,0.0
