Order number_norm,sales,ship_x,promo_x,sb_total,Order ID,price,ship_y,gift,promo_y,our_total,diff
026-0159943-8621117,16.48,-4.15,0.0,12.33,026-0159943-8621117,11.49,4.99,0.0,0.0,16.48,4.15
026-0225329-3072307,9.0,0.0,0.0,9.0,026-0225329-3072307,6.0,1.07,0.0,0.0,7.07,-1.93
026-0367564-7559568,8.9,-0.84,0.0,8.06,026-0367564-7559568,7.9,1.0,0.0,0.0,8.9,0.84
026-0692888-7313968,5.98,0.0,0.0,5.98,026-0692888-7313968,5.98,0.42,0.0,0.0,6.4,0.42
026-0725125-5007568,7.23,0.0,0.0,7.23,026-0725125-5007568,7.23,0.56,0.0,0.0,7.790000000000001,0.56
026-0825436-2789169,78.71,-11.8,0.0,66.91,026-0825436-2789169,51.64,11.33,0.0,0.0,62.97,-3.94
026-0866038-1812338,11.91,-1.66,0.0,10.25,026-0866038-1812338,9.92,1.99,0.0,0.0,11.91,1.66
026-0941249-2529160,159.98,0.0,0.0,159.98,026-0941249-2529160,159.98,4.49,0.0,0.0,164.47,4.49
026-0991071-2289140,19.54,-0.46,0.0,19.08,026-0991071-2289140,18.99,0.55,0.0,0.0,19.54,0.46
026-0998029-8336301,13.8,0.0,0.0,13.8,026-0998029-8336301,13.8,0.57,0.0,0.0,14.370000000000001,0.57
026-1011308-0911533,6.8,0.0,0.0,6.8,026-1011308-0911533,6.8,0.62,0.0,0.0,7.42,0.62
026-1119607-9196322,3.0,0.0,0.0,3.0,026-1119607-9196322,3.0,0.75,0.0,0.0,3.75,0.75
026-1160344-3358730,9.95,0.0,0.0,9.95,026-1160344-3358730,9.95,0.75,0.0,0.0,10.7,0.75
026-1199560-7160348,6.95,0.0,0.0,6.95,026-1199560-7160348,6.95,0.82,0.0,0.0,7.7700000000000005,0.82
026-1222963-2019531,5.98,0.0,0.0,5.98,026-1222963-2019531,5.98,0.42,0.0,0.0,6.4,0.42
026-1260449-1718723,17.31,0.0,0.0,17.31,026-1260449-1718723,17.31,0.33,0.0,0.0,17.639999999999997,0.33
026-1514710-9263554,9.94,0.0,0.0,9.94,026-1514710-9263554,9.94,0.56,0.0,0.0,10.5,0.56
026-1545490-8169963,6.8,0.0,0.0,6.8,026-1545490-8169963,6.8,0.62,0.0,0.0,7.42,0.62
026-1644812-4202728,13.99,0.0,0.0,13.99,026-1644812-4202728,13.99,0.75,0.0,0.0,14.74,0.75
026-1841301-4656314,3.0,0.0,0.0,3.0,026-1841301-4656314,3.0,0.5,0.0,0.0,3.5,0.5
026-2010782-6370725,11.79,-4.15,0.0,7.639999999999999,026-2010782-6370725,6.8,4.99,0.0,0.0,11.79,4.15
026-2068431-2910750,19.97,-1.66,0.0,18.31,026-2068431-2910750,17.98,1.99,0.0,0.0,19.97,1.66
026-2146713-2501948,15.57,-4.16,0.0,11.41,026-2146713-2501948,10.58,4.99,0.0,0.0,15.57,4.16
026-2176896-4563567,8.92,-1.66,0.0,7.26,026-2176896-4563567,6.93,1.99,0.0,0.0,8.92,1.66
026-2566539-3894716,7.02,0.0,0.0,7.02,026-2566539-3894716,7.02,0.17,0.0,0.0,7.1899999999999995,0.17
026-2623304-4301159,8.67,0.0,0.0,8.67,026-2623304-4301159,8.67,0.42,0.0,0.0,9.09,0.42
026-2836477-2882745,9.95,-1.04,0.0,8.91,026-2836477-2882745,8.7,1.25,0.0,0.0,9.95,1.04
026-2975432-0635524,13.61,-1.38,0.0,12.23,026-2975432-0635524,11.95,1.66,0.0,0.0,13.61,1.38
026-3103371-9724327,43.98,-4.15,0.0,39.83,026-3103371-9724327,38.99,4.99,0.0,0.0,43.980000000000004,4.15
026-3133013-3296316,2.97,0.0,0.0,2.97,026-3133013-3296316,2.97,0.42,0.0,0.0,3.39,0.42
