sku,merchant_qty,fba_qty,total_qty,asof_utc,source_cycle_run_id,reason_code,stock_source
0G-JB6S-PN34,0,113,113,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
2G-AYBQ-TUQG,0,4,4,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
3X-EXDD-TD2K,0,1,1,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
49-4UKW-G81R,0,27,27,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
4F-HT42-FD26,0,30,30,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
6Q-9G2A-IKVV,0,59,59,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
6V-EEC1-2S9Z,0,243,243,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
714810,0,10,10,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
8U-QPFH-3EKQ,0,10,10,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
9X-HL62-83C7,0,5,5,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
A1-KSU1-GZMS,0,17,17,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
A2-T2AC-TW3L,0,262,262,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
AF-KIHX-ANYY,0,51,51,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
AX-NKNU-29C1,0,124,124,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
BB-ZT14-1QQA,0,8,8,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
BL-WX51-KQOK,0,5,5,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
CJ-X0SS-QOUW,0,5,5,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
CX-SMCH-4DYA,0,7,7,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
D8-1A3E-I37F,0,6,6,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
DC-K5WH-R7F5,0,78,78,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
EV-CHU5-XU3G,0,146,146,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
FA-LRV6-YRFW,0,72,72,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
FB-6FW0-Z82Q,0,7,7,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
H6-E7MP-EBPD,0,24,24,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
HL-03ZR-QPHH,0,3,3,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
HS-R5IP-7E1C,0,2,2,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
IJ-V0PQ-4CZ4,0,1,1,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
JB-RGB6-LZOJ,0,60,60,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
JE-D4LO-O2JD,0,27,27,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
L5-PF3B-WHU4,0,3,3,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
LP-QMNJ-J49G,0,8,8,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
LR-7GM6-1RCH,0,2,2,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
LV-425G-BY4X,0,60,60,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
NN-TSZ1-X2RD,0,1,1,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
OV-LVEL-DQL6,0,8,8,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
OZ-3NKR-VLYG,0,1,1,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
Q1-00D7-5IQF,0,2,2,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
R4-0AXZ-ZZ9D,0,3,3,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
R7-98IN-2PW8,0,22,22,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
RI-VSUS-0YTD,0,8,8,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
RZ-6ZL9-CZ7J,0,47,47,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
SZ-UL4K-SE7W,0,95,95,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
TJ-6LOP-OPEU,0,16,16,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
TK-E7QE-T40G,0,19,19,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
US-AK96-YFSB,0,3,3,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
VF-3T0K-DR5O,0,484,484,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
VU-8KRA-QP5M,0,19,19,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
W3-8FN7-FSP0,0,10,10,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
WE-1Z7L-SA2I,0,39,39,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
WJ-YHKC-EES5,0,33,33,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
X7-MY4W-H2I4,0,1,1,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
XE-YPAI-HX9F,0,66,66,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
XH-0LAE-FQO5,0,2,2,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
YC-3L3M-BV48,0,5,5,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
YO-EKK2-FRCC,0,5,5,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
Z7-26PV-O9LR,0,7,7,2026-03-17T16:05:12Z,B_20260317T160301Z,OK,inventory_summaries.csv
