snapshot_utc,sku,execution_event_ts_utc,execution_state,execution_write_status,execution_write_error,execution_old_price_gbp,execution_new_price_gbp,execution_hard_floor_gbp,execution_final_ceiling_landed_gbp,execution_binding_ceiling_type,execution_reason_codes_json,suppression_last_event_ts_utc,suppression_buy_box_state,suppression_strategy_state,suppression_write_status,suppression_target_price_gbp,suppression_target_source,suppression_reactivation_target_landed_gbp,suppression_threshold_upper_bound_gbp,suppression_ceiling_landed_temp,suppression_ceiling_expiry_utc,suppression_anchor_floor_gbp,suppression_memory_updated_utc,suppression_last_validated_utc,suppression_active_flag,suppression_resolved_flag,observed_our_price_gbp,observed_our_price_ts_utc,unified_buy_box_state,unified_strategy_state,unified_writer_outcome,write_attempted_flag,write_applied_flag,true_binding_ceiling_gbp,true_binding_ceiling_type,truth_status,current_cycle_decision_ts_utc,current_cycle_run_id,current_cycle_market_data_present,current_cycle_decision,current_cycle_decision_reason_code,current_cycle_blocker_code,current_cycle_blocker_reason_codes_json,stale_execution_context_cleared_flag,stale_execution_event_ts_utc,stale_execution_state,stale_execution_write_status,stale_execution_write_error,stale_execution_old_price_gbp,stale_execution_new_price_gbp,stale_execution_hard_floor_gbp,stale_execution_final_ceiling_landed_gbp,stale_execution_binding_ceiling_type,stale_execution_reason_codes_json,trace_asof_utc,trace_source_script,trace_candidate_price_gbp,trace_floor_total_gbp,trace_break_even_total_gbp,trace_cogs_exvat_gbp,trace_fba_exvat_gbp,trace_referral_amount_gbp,trace_band_bucket,trace_reason_codes_csv,floor_reconcile_delta_gbp
2026-06-10T07:40:03Z,RB-1O77-8969,2026-06-10T07:40:03Z,RAISE_FIND_LOSS,NO_WRITE_REQUIRED,,7.38,7.38,6.60,17.99,,"[""BUY_BOX_STATE_NORMAL"",""DAILY_INTEL_REFRESH_ATTEMPTED"",""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_SECOND_LOWEST"",""RAISE_MULTI_SELLER_CEILING_CAPPED_TO_LADDER"",""RAISE_MULTI_SELLER_NO_HEADROOM"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_INPUTS_MISSING"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_SKIPPED_NOT_IN_COHORT"",""PHASE_LIVE_WRITE_ALLOWED""]",2026-06-07T07:26:47Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,APPLIED,7.70,INFERRED_UPPER_BOUND,7.90,,7.90,2026-06-10T07:43:44Z,6.60,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,,7.38,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,RAISE_FIND_LOSS,NO_WRITE_REQUIRED,0,0,17.99,,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,6.60,6.60,6.29,2.600,1.730,0.860,10,VAT_RATE_MISSING_FALLBACK_USED,0.00
2026-06-10T07:40:03Z,RB-82FL-T88J,2026-06-10T07:40:03Z,REGAIN,NO_WRITE_REQUIRED,,28.85,28.85,28.85,28.85,,"[""BUY_BOX_STATE_LOST_TO_COMPETITOR"",""DAILY_INTEL_REFRESH_ATTEMPTED"",""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_MULTI_SELLER_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_CEILING_CLAMP"",""REGAIN_MULTI_SELLER_NO_DOWNWARD_HEADROOM"",""LADDER_DEPTH_THREE_PLUS"",""UNDERCUT_NO_DOWNWARD_HEADROOM"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RAW_BELOW_HARD_FLOOR"",""CEILING_EFFECTIVE_CLAMPED_TO_HARD_FLOOR"",""CEILING_RULE_INPUTS_MISSING"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_SKIPPED_NOT_IN_COHORT"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",2026-04-01T15:24:10Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,28.85,CPT,28.85,,28.85,2026-06-10T07:44:58Z,28.85,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,,28.85,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,REGAIN,NO_WRITE_REQUIRED,0,0,28.85,HARD_FLOOR_CLAMP,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,28.85,28.85,27.06,14.950,3.120,4.330,100,,0.00
2026-06-10T07:40:03Z,RZ-6ZL9-CZ7J,2026-06-10T07:40:03Z,REGAIN,NO_WRITE_REQUIRED,,6.83,6.83,6.83,7.99,,"[""BUY_BOX_STATE_LOST_TO_COMPETITOR"",""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_MULTI_SELLER_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_CLUSTER_EDGE"",""LADDER_DEPTH_THREE_PLUS"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""REGAIN_MULTI_SELLER_NO_DOWNWARD_HEADROOM"",""UNDERCUT_NO_DOWNWARD_HEADROOM"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_APPLIED"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",,LOST_TO_COMPETITOR,,,,,,,7.99,2026-06-10T07:45:35Z,,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,0,,6.83,2026-06-10T06:33:44Z,LOST_TO_COMPETITOR,REGAIN,NO_WRITE_REQUIRED,0,0,7.99,,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,6.83,6.83,6.54,2.420,2.420,0.550,10,,0.00
2026-06-10T07:40:03Z,TJ-6LOP-OPEU,2026-06-10T07:40:03Z,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,,6.49,6.49,6.49,6.49,,"[""BUY_BOX_STATE_SUPPRESSED_ASIN"",""BUY_BOX_STATE_SUPPRESSED_ASIN"",""SUPPRESSION_DIRECT_TARGET"",""SUPPRESSION_DIRECT_TARGET_NO_MOVE"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RAW_BELOW_HARD_FLOOR"",""CEILING_EFFECTIVE_CLAMPED_TO_HARD_FLOOR"",""CEILING_RULE_SOURCE_MIN_BBP_CPTX1_2"",""CEILING_RULE_BBP_CPT_APPLIED"",""SUPPRESSION_TARGET_CPT_USED"",""SUPPRESSION_TARGET_CLAMPED_TO_ANCHOR_OR_HARD_FLOOR"",""SUPPRESSION_CEILING_CLAMPED_TO_EXISTING_FINAL"",""PHASE_BEHAVIOR_APPLIED"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",2026-06-10T07:40:03Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,6.49,CPT,6.49,6.49,5.69,2026-06-13T07:40:03Z,6.49,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,0,6.49,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,0,0,6.49,SUPPRESSION_TEMP_CLAMPED,SUPPRESSED,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,6.49,6.49,6.23,2.190,2.420,0.520,10,,0.00
2026-06-10T07:40:03Z,U1-M5BM-8F5W,2026-06-10T07:40:03Z,REGAIN,APPLIED,,22.03,21.90,21.90,21.90,,"[""BUY_BOX_STATE_LOST_TO_COMPETITOR"",""DAILY_INTEL_REFRESH_ATTEMPTED"",""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_MULTI_SELLER_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_CEILING_CLAMP"",""LADDER_DEPTH_THREE_PLUS"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RAW_BELOW_HARD_FLOOR"",""CEILING_EFFECTIVE_CLAMPED_TO_HARD_FLOOR"",""CEILING_RULE_INPUTS_MISSING"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_SKIPPED_NOT_IN_COHORT"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN"",""WRITE_VERIFY_PENDING_SPAPI_ACCEPTED""]",2026-06-03T03:12:11Z,SUPPRESSED_ASIN,SELLER_DETAIL_HOLD,READ_ONLY_NO_WRITE,22.07,SELLER_DETAIL_GATE,22.07,,22.07,2026-06-10T07:47:04Z,21.90,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,,22.03,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,REGAIN,APPLIED,1,1,21.90,HARD_FLOOR_CLAMP,WRITE_APPLIED,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,21.90,21.90,20.40,12.500,2.880,1.530,100,,0.00
2026-06-10T07:40:03Z,VL-48KZ-J3F2,2026-06-10T07:40:03Z,REGAIN,NO_WRITE_REQUIRED,,5.47,5.47,5.39,17.99,,"[""BUY_BOX_STATE_LOST_TO_COMPETITOR"",""DAILY_INTEL_REFRESH_ATTEMPTED"",""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_MULTI_SELLER_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_SECOND_LOWEST"",""REGAIN_MULTI_SELLER_NO_DOWNWARD_HEADROOM"",""LADDER_DEPTH_THREE_PLUS"",""UNDERCUT_NO_DOWNWARD_HEADROOM"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_INPUTS_MISSING"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_SKIPPED_NOT_IN_COHORT"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",2026-03-28T12:26:43Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,5.23,PROBE_CEILING,3.72,,3.72,2026-06-10T07:47:44Z,5.39,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,,5.47,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,REGAIN,NO_WRITE_REQUIRED,0,0,17.99,,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,5.39,5.39,5.24,1.190,2.420,0.700,10,,0.00
2026-06-10T07:40:03Z,W3-8FN7-FSP0,2026-06-10T07:40:03Z,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,,6.36,6.36,6.36,7.87,,"[""BUY_BOX_STATE_SUPPRESSED_ASIN"",""DAILY_INTEL_REFRESH_ATTEMPTED"",""BUY_BOX_STATE_SUPPRESSED_ASIN"",""SUPPRESSION_PROBE_FLOOR_CLAMP"",""SUPPRESSION_PROBE_DOWNWARD_STEP"",""BINDING_CEILING_SUPPRESSION_TEMP"",""CEILING_RULE_INPUTS_MISSING"",""SUPPRESSION_THRESHOLD_UPPER_BOUND_INFERRED_LOWEST_COMPETITOR"",""PHASE_BEHAVIOR_APPLIED"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",2026-06-10T07:40:03Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,6.36,INFERRED_UPPER_BOUND,7.87,6.36,7.87,2026-06-13T07:40:03Z,6.36,2026-06-10T07:40:03Z,2026-06-10T07:48:23Z,1,0,6.36,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,STATE_SUPPRESSION_REACTIVATION,NO_WRITE_REQUIRED,0,0,7.87,SUPPRESSION_TEMP,SUPPRESSED,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,6.36,6.36,6.00,2.990,1.460,0.510,10,,0.00
2026-06-10T07:40:03Z,WE-1Z7L-SA2I,2026-06-10T07:40:03Z,HOLD_OBSERVE,NO_WRITE_REQUIRED,,6.15,6.15,6.15,9.99,,"[""BUY_BOX_STATE_NORMAL"",""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_SECOND_LOWEST"",""RAISE_MULTI_SELLER_CEILING_CAPPED_TO_LADDER"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_APPLIED"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",2026-05-22T22:33:30Z,SUPPRESSED_ASIN,SELLER_DETAIL_HOLD,READ_ONLY_NO_WRITE,6.15,SELLER_DETAIL_GATE,6.15,,6.15,2026-06-10T07:49:08Z,6.15,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,,6.15,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,HOLD_OBSERVE,NO_WRITE_REQUIRED,0,0,9.99,,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,6.16,6.15,5.95,1.650,2.750,0.490,10,,0.00
2026-06-10T07:40:03Z,WJ-YHKC-EES5,2026-06-10T07:40:03Z,HOLD_OBSERVE,NO_WRITE_REQUIRED,,9.0,9.00,5.10,9.99,,"[""BUY_BOX_STATE_NORMAL"",""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""TACTIC_SINGLE_RIVAL_RESET"",""CPT_RISK_UNKNOWN_CONSERVATIVE_HOLD"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_SKIPPED_NOT_IN_COHORT"",""PHASE_LIVE_WRITE_ALLOWED""]",,NORMAL,,,,,,,9.99,2026-06-10T07:49:56Z,,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,0,,9.00,2026-06-10T06:33:44Z,NORMAL,HOLD_OBSERVE,NO_WRITE_REQUIRED,0,0,9.99,,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,5.10,5.10,4.85,2.090,1.500,0.410,10,,0.00
2026-06-10T07:40:03Z,X7-MY4W-H2I4,2026-06-10T07:40:03Z,REGAIN,NO_WRITE_REQUIRED,,7.44,7.44,7.44,9.99,,"[""BUY_BOX_STATE_LOST_TO_COMPETITOR"",""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_MULTI_SELLER_LADDER_CAP"",""TACTIC_MULTI_SELLER_LADDER_CAP"",""LADDER_CAP_SOURCE_SECOND_LOWEST"",""LADDER_DEPTH_THREE_PLUS"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""REGAIN_MULTI_SELLER_NO_DOWNWARD_HEADROOM"",""UNDERCUT_NO_DOWNWARD_HEADROOM"",""BINDING_CEILING_COMPLIANCE"",""CEILING_RULE_SOURCE_BBP_ONLY"",""CEILING_RULE_BBP_CPT_APPLIED"",""SUPPRESSION_NOT_ACTIVE"",""PHASE_BEHAVIOR_APPLIED"",""PHASE_LIVE_WRITE_ALLOWED"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]",2026-05-15T23:24:34Z,SUPPRESSED_ASIN,SELLER_DETAIL_HOLD,READ_ONLY_NO_WRITE,7.46,SELLER_DETAIL_GATE,7.46,,7.46,2026-06-10T07:50:43Z,7.44,2026-06-10T07:40:03Z,2026-06-10T07:40:03Z,1,,7.44,2026-06-10T06:33:44Z,SUPPRESSED_ASIN,REGAIN,NO_WRITE_REQUIRED,0,0,9.99,,READ_ONLY,2026-06-10T07:40:03Z,20260610T074003Z,1,execute,eligible,,,0,,,,,,,,,,,2026-06-10T07:43:08Z,H110_run_phase1_h_pilot,7.44,7.44,7.16,2.280,2.650,0.970,10,,0.00
