sku,asin,cpt_status,cpt_gbp,our_live_price_gbp,manual_max_price_gbp,temp_ceiling_cpt120_gbp,temp_ceiling_rule_gbp,ceiling_bind,all_costs_unit_gbp,temp_floor_10roi_gbp,current_hard_floor_gbp,current_final_ceiling_gbp,floor_vs_ceiling_flag
4W-VS57-BV6A,B0C9LJNJWZ,OK,35.0,35.91,44.99,42.0,42.0,CPT_X1.2,44.05,46.27,6.12,7.49,HOLD_CEILING_BELOW_FLOOR
6V-EEC1-2S9Z,B06WW79DX5,OK,21.41,7.99,10.64,25.69,10.64,MANUAL_MAX,5.95,6.22,6.12,7.49,
AX-NKNU-29C1,B08M52B4M5,OK,1.15,3.98,3.99,1.38,1.38,CPT_X1.2,,,6.12,7.49,
JB-RGB6-LZOJ,B0001P0DLU,OK,6.15,9.99,9.99,7.38,7.38,CPT_X1.2,5.73,6.03,6.12,7.49,
RZ-6ZL9-CZ7J,B075XT2J8X,OK,7.47,6.97,7.99,8.96,7.99,MANUAL_MAX,,,6.12,7.49,
TJ-6LOP-OPEU,B08P63MSS9,OK,6.49,9.0,9.0,7.79,7.79,CPT_X1.2,,,6.12,7.49,
VF-3T0K-DR5O,B08KFFY86W,OK,5.29,5.35,9.99,6.35,6.35,CPT_X1.2,,,6.12,7.49,
XH-0LAE-FQO5,B00AOES9GE,MISSING,,6.9,8.99,,,,5.94,6.29,6.12,7.49,
XY-UM2X-TPS3,B003VTZAM0,OK,10.85,11.47,15.0,13.02,13.02,CPT_X1.2,,,6.12,7.49,
YC-3L3M-BV48,B0CTD6Q6KY,MISSING,,79.24,109.45,,,,62.88,67.63,6.12,7.49,
