section,date,order_id,sku,qty,price_total,price_vat,price_exvat,shipping_total,shipping_vat,shipping_exvat,gift_total,gift_vat,gift_exvat,promotion_total,promotion_vat,promotion_exvat,cogs_total,fba_fee_total,fba_fee_vat,fba_fee_exvat,commission_total,commission_vat,commission_exvat,digital_fee_total,digital_fee_vat,digital_fee_exvat,token_ids,token_cost_total,token_currency,pnl_row,pnl_amount,transaction_type,breakdown_type,description,amount_value,currency,category,category_group,inbound_shipment_id
order,2026-01-25,206-0671106-9102738,D0-C7C0-H6LN,1.0,9.85,1.64,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,-3.18,-0.53,-2.65,-0.95,-0.16,-0.79,-0.08,-0.01,-0.07,D0-C7C0-H6LN-2025-10-06-row915-0019,2.74,GBP,,,,,,,,,,
order,2026-01-25,026-9728602-7755500,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0162,0.68,GBP,,,,,,,,,,
order,2026-01-25,203-8232337-2273112,TU-8I14-25ZR,1.0,27.63,4.61,23.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,-3.76,-0.63,-3.13,-4.97,-0.83,-4.14,-0.17,-0.03,-0.14,TU-8I14-25ZR-2025-10-06-row883-0019,12.67,GBP,,,,,,,,,,
order,2026-01-25,203-5719916-1761130,L3-ZQ8U-A7LQ,1.0,9.99,1.66,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-1.75,-0.29,-1.46,-1.8,-0.3,-1.5,-0.07,-0.01,-0.06,L3-ZQ8U-A7LQ-2025-10-06-row910-0053,3.7,GBP,,,,,,,,,,
order,2026-01-25,026-5490168-6212318,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0025,1.6,GBP,,,,,,,,,,
order,2026-01-25,206-8373033-1621927,AX-NKNU-29C1,1.0,3.99,0.67,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,-3.5,-0.58,-2.92,-0.38,-0.06,-0.32,-0.08,-0.01,-0.07,AX-NKNU-29C1-2025-04-14-row587-0136,0.61,GBP,,,,,,,,,,
order,2026-01-25,026-9470678-3820357,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0161,0.68,GBP,,,,,,,,,,
order,2026-01-25,205-7930875-9420322,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0159,0.68,GBP,,,,,,,,,,
order,2026-01-25,205-0071465-6013973,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0160,0.68,GBP,,,,,,,,,,
order,2026-01-25,204-4470608-6578766,L3-ZQ8U-A7LQ,1.0,9.99,1.66,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-1.75,-0.29,-1.46,-1.8,-0.3,-1.5,-0.07,-0.01,-0.06,L3-ZQ8U-A7LQ-2025-10-06-row910-0052,3.7,GBP,,,,,,,,,,
order,2026-01-25,205-4907983-0460341,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0158,0.68,GBP,,,,,,,,,,
order,2026-01-25,206-3794350-9833168,GK-YI4S-C158,1.0,9.99,1.66,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,-3.22,-0.54,-2.68,-1.8,-0.3,-1.5,-0.1,-0.02,-0.08,GK-YI4S-C158-2025-08-04-row805-0004,2.58,GBP,,,,,,,,,,
order,2026-01-25,204-7521131-0062748,A2-T2AC-TW3L,1.0,11.89,1.98,9.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,-3.44,-0.57,-2.87,-1.86,-0.31,-1.55,-0.11,-0.02,-0.09,A2-T2AC-TW3L-2026-01-05-row956-0119,4.51,GBP,,,,,,,,,,
order,2026-01-25,203-1174333-1936356,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0157,0.68,GBP,,,,,,,,,,
order,2026-01-25,026-1865834-6853920,DC-K5WH-R7F5,1.0,3.0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,-1.75,-0.29,-1.46,-0.3,-0.05,-0.25,-0.05,-0.01,-0.04,DC-K5WH-R7F5-2025-11-10-row935-0155,0.68,GBP,,,,,,,,,,
order,2026-01-25,206-5045274-0194738,3B-3H3V-Z93T,1.0,7.09,1.18,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-3.2,-0.53,-2.67,-1.27,-0.21,-1.06,-0.08,-0.01,-0.07,3B-3H3V-Z93T-2026-01-05-row957-0024,1.6,GBP,,,,,,,,,,
