Parameter/Date,2026-01-25 System,2026-01-25 Amazon,2026-01-25 Delta
Quantity Ordered,64.0,0.0,-64.0
Price_Total,697.31,0.0,-697.31
Price_VAT,116.29,0.0,-116.29
Price_ExVAT,581.02,0.0,-581.02
Shipping_Total,0.0,0.0,0.0
Shipping_VAT,0.0,0.0,0.0
Shipping_ExVAT,0.0,0.0,0.0
Gift_Total,0.0,0.0,0.0
Gift_VAT,0.0,0.0,0.0
Gift_ExVAT,0.0,0.0,0.0
Promotion_Total,0.0,0.0,0.0
Promotion_VAT,0.0,0.0,0.0
Promotion_ExVAT,0.0,0.0,0.0
COGS_Total,-302.79,0.0,302.79
COGS_VAT,-43.87,0.0,43.87
COGS_ExVAT,-258.92,0.0,258.92
FBA_Fee_Total,-158.8,0.0,158.8
FBA_Fee_VAT,-26.42,0.0,26.42
FBA_Fee_ExVAT,-132.38,0.0,132.38
Commission_Total,-103.28,0.0,103.28
Commission_VAT,-17.21,0.0,17.21
Commission_ExVAT,-86.03,0.0,86.03
Digital_Fee_Total,-5.2,0.0,5.2
Digital_Fee_VAT,-0.84,0.0,0.84
Digital_Fee_ExVAT,-4.34,0.0,4.34
Gross_Profit_ExVAT,322.1,0.0,-322.1
Contribution_Profit_ExVAT,99.35,0.0,-99.35
Refund_Sales_Total,-12.98,0.0,12.98
Refund_Expenses_Total,1.13,0.0,-1.13
Inbound_Transportation_Fee,0.0,0.0,0.0
Removal_Fee,0.0,0.0,0.0
Warehouse_Lost_Reimbursement,0.0,0.0,0.0
Reversal_Reimbursement,0.0,0.0,0.0
Retrocharge_Total,0.0,0.0,0.0
Inventory_Reimbursement,0.0,0.0,0.0
Compensated_Clawback,0.0,0.0,0.0
Refund_Commission,1.0,0.0,-1.0
Shipping_Chargeback,0.0,0.0,0.0
Storage_Charges,0.0,0.0,0.0
Subscription_Fee_Total,0.0,0.0,0.0
Subscription_Fee_VAT,0.0,0.0,0.0
Subscription_Fee_ExVAT,0.0,0.0,0.0
Net_Profit_ExVAT,88.5,0.0,-88.5
Net_Profit_Cash,-302.79,0.0,302.79
Payout_Estimate,419.18,0.0,-419.18
VAT_Difference,116.89,0.0,-116.89
