last_updated_A003,seller_sku,title,brand_name,main_image,package_weight_value,package_weight_unit,package_length,package_width,package_height,package_dimension_unit,item_length,item_width,item_height,item_dimension_unit,size,product_type,supplier_code,supplier_name,supplier_pack_size,amazon_pack_size,pack_conversion_note,moq,supplier_catalog_price,last_purchase_price,target_margin,sale_status,vat_rate,notes,stock_total,stock_available,stock_reserved,stock_inbound,fba_fee_10,fba_fee_100,referral_fee_10,referral_fee_100,last_updated,last_updated_A001,last_updated_A002,last_updated_A003,last_updated_A004,live_listing_price,live_listing_price_currency,live_price_last_updated,last_sold_price,last_sold_price_currency,last_sold_price_updated,last_fba_fee_ex_vat,last_fba_fee_updated,last_fba_fee_source,last_fba_fee_candidate,last_fba_fee_candidate_seen,last_margin_pct,last_margin_updated,last_margin_source,last_commission_pct,last_commission_updated,last_commission_source,last_withheld_vat_flag,last_withheld_vat_updated,last_withheld_vat_source,last_vat_rate_pct,last_vat_rate_updated,last_vat_rate_source,last_vat_rate_candidate,last_vat_rate_candidate_seen,last_commission_pct_10,last_commission_pct_100,asin,last_fba_fee_ex_vat_10,last_fba_fee_ex_vat_100
2026-01-17T13:01:05.945038+00:00,N9-IOWG-NGD9,"Worlds Smallest 568 UNO ONE, Multicoloured, único",,https://m.media-amazon.com/images/I/51+CVldiUZL.jpg,0.05,kilograms,2.2,10.9,18.5,centimeters,2.0,5.0,7.6,centimeters,único,TABLETOP_GAME,333 SI568,ABGee,1,1,unconfirmed,,,4.44,,dropped,20,,0,0,0,0,1.52,1.89,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,BF-KVJ0-RUA9,"Hey Duggee - 4 in Box (12, 16, 20, 24 piece) Jigsaw Puzzles for Kids age 3 years and up",,https://m.media-amazon.com/images/I/91Sy359ZNHL.jpg,0.28,kilograms,4.9,20.1,23.5,centimeters,19.0,14.0,0.2,centimeters,"19 x 14 x 0,2 cm",PUZZLES,DC,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.65,3.0,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,12-749B-9EB5,Funko POP! Movies: TCM - Leatherface - Texas Chainsaw Massacre - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors,,https://m.media-amazon.com/images/I/71iMqGn81SL.jpg,0.12,kilograms,9.0932,12.0904,16.6878,centimeters,3.0,3.0,3.75,inches,,FIGURINE,985 49830,ABGee,1,1,unconfirmed,,,7.59,,dropped,20,,0,0,0,0,2.67,3.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,WT-LPJW-NOXR,Funko POP! TV: the Boys-Homelander Levitating - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans - Model Figure for Collectors and Display,,https://m.media-amazon.com/images/I/71D9gnXS2AL.jpg,0.141,kilograms,9.1948,12.4968,16.2052,centimeters,2.5,2.5,3.75,inches,Standard,FIGURINE,985 48186,ABGee,1,1,unconfirmed,,,7.59,,dropped,20,,0,0,0,0,2.67,3.09,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,BF-EX14-XMNB,Funko POP! TV: Peaky Blinders - Thomas Shelby - 1/6 Odds for Rare Chase Variant - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - TV Fans,,https://m.media-amazon.com/images/I/61+3xi12j7L.jpg,0.2,kilograms,10.2108,12.192,17.5006,centimeters,4.5,3.5,6.5,inches,One Size,FIGURINE,985 72185,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.7,3.13,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,WB-6YBC-16X8,Funko POP! Movies Edward Scissorhands - Collectable Vinyl Figure - Gift Idea - Official Merchandise - Toys for Kids & Adults - Movies Fans - Model Figure for Collectors and Display,,https://m.media-amazon.com/images/I/61nUMbNapPL.jpg,0.14,kilograms,9.3,11.7,16.2,centimeters,3.0,3.0,3.75,inches,One Size,FIGURINE,985 49695,ABGee,1,1,unconfirmed,,,7.59,,dropped,20,,0,0,0,0,2.67,3.09,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,5B-DQES-2T3E,Ravensburger Super Mario Brothers Pencil Pot 3D Jigsaw Puzzles for Kids Age 6 Years Up - 54 Pieces - No Glue Required,,https://m.media-amazon.com/images/I/91WRlFY-feS.jpg,0.141,kilograms,3.9116,13.0048,17.8054,centimeters,5.12,1.54,0.1,inches,"54 pieces, 11 x 10 x 4.88cm",PUZZLES,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.42,2.77,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,BJ-1TEF-1BUZ,Ravensburger Marvel Avengers Mini Memory Game - Matching Picture Snap Pairs Game For Kids Age 3 Years and Up,,https://m.media-amazon.com/images/I/71I9yTM9dhL.jpg,0.2,kilograms,3.8,14.6,14.8,centimeters,15.1,15.1,3.7,centimeters,0,TABLETOP_GAME,,ABGee,1,1,unconfirmed,,,,,dropped,20,,0,0,0,0,2.42,2.77,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,2S-T29M-BDIZ,Funko POP! Books: Five Nights At Freddy's (FNAF) - Twisted Bonnie - FNAF the Twisted Ones - Collectable Vinyl Figure - Gift Idea - Official Merchandise,,https://m.media-amazon.com/images/I/81sziQbC8sL.jpg,0.2,kilograms,9.0,11.5,16.0,centimeters,2.5,2.5,3.75,inches,,FIGURINE,985 28806,ABGee,1,1,unconfirmed,,,7.59,,dropped,20,,0,0,0,0,2.7,3.09,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-17T13:01:05.945038+00:00,DY-51D1-CSIX,"Basic Fun Lite-Brite | Peg & Template Refill Pack | Light Up Drawing Board, LED Board with Colours, Toys for Creative Play, Glow Art Neon Effect Drawing Board, Light Toys for Kids Ages 4 02224",,https://m.media-amazon.com/images/I/71fM4VgovVL.jpg,0.113,kilograms,3.302,12.7,20.066,centimeters,1.5,5.0,8.0,inches,Small,TEMPLATE_STENCIL,520 02224,ABGee,1,1,unconfirmed,,,2.50,,dropped,20,,0,0,0,0,2.42,2.77,15.0,15.0,,,,,2025-12-19T09:53:12.181921+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
