"event_ts_utc","sku","state","old_price_gbp","new_price_gbp","write_status","write_error","final_ceiling_landed_gbp","hard_floor_gbp","reason_codes_json"
"2026-02-16T20:08:25Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T20:24:23Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T20:40:18Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T20:56:14Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T21:12:08Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T21:28:13Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T21:44:05Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T22:00:03Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T22:15:55Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T22:31:48Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T22:47:46Z","L1-54EX-56YC","REGAIN","12.84","12.84","APPLIED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""GUARDRAIL_HARD_FLOOR_CLAMP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T23:03:43Z","L1-54EX-56YC","RAISE_FIND_LOSS","12.84","13.04","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T23:19:39Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.04","13.24","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T23:35:34Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.24","13.44","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-16T23:51:30Z","L1-54EX-56YC","RAISE_FIND_LOSS","13.44","13.64","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""MISSING_BOUND_RAISE_FIND_LOSS"",""STEP_RAISE_FIND_LOSS_UP"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T00:07:25Z","L1-54EX-56YC","REGAIN","15.3","12.96","WRITE_NOT_APPLIED","WRITE_NOT_APPLIED","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T00:23:18Z","L1-54EX-56YC","REGAIN","12.96","12.96","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
"2026-02-17T00:39:09Z","L1-54EX-56YC","REGAIN","12.96","12.96","NO_WRITE_REQUIRED","","17.99","12.84","[""FEATURED_NOT_OURS_REGAIN"",""STEP_REGAIN_TO_RIVAL"",""BINDING_CEILING_MANUAL_CAP"",""DVE_DISABLED_FEATURED_WINNER_DELIVERY_UNKNOWN""]"
