"asof_date","sku","asin","our_price","buy_box_price","buy_box_present_flag","outcome_known_flag","we_present_flag","buy_box_channel","available","total_quantity","inbound_total","in_stock_flag","head_candidate_flag"
"2026-02-17","4W-VS57-BV6A","B0C9LJNJWZ","35.91","35.0","1","1","1","FBA","16","16","0","1","1"
"2026-02-17","6V-EEC1-2S9Z","B06WW79DX5","7.88","7.88","1","1","1","FBA","38","297","250","1","1"
"2026-02-17","AX-NKNU-29C1","B08M52B4M5","3.99","","0","0","1","Unknown","134","134","0","1","1"
"2026-02-17","JB-RGB6-LZOJ","B0001P0DLU","9.98","5.95","1","1","1","FBA","71","71","0","1","1"
"2026-02-17","L1-54EX-56YC","B09445GL1C","13.64","12.96","1","1","1","FBM","5","5","0","1","1"
"2026-02-17","RZ-6ZL9-CZ7J","B075XT2J8X","6.97","6.35","1","1","1","FBA","47","47","0","1","1"
"2026-02-17","TJ-6LOP-OPEU","B08P63MSS9","8.96","","0","0","1","Unknown","16","16","0","1","1"
"2026-02-17","VF-3T0K-DR5O","B08KFFY86W","5.35","4.79","1","1","1","FBA","483","486","0","1","1"
"2026-02-17","XE-YPAI-HX9F","B086ZD7MG6","9.0","8.09","1","1","1","FBA","79","79","0","1","1"
"2026-02-17","XH-0LAE-FQO5","B00AOES9GE","6.9","6.13","1","1","1","FBA","24","25","0","1","1"
"2026-02-17","XY-UM2X-TPS3","B003VTZAM0","11.47","9.99","1","1","1","FBM","36","36","0","1","1"
"2026-02-17","YC-3L3M-BV48","B0CTD6Q6KY","79.0","79.0","1","1","1","FBA","10","10","0","1","1"
