"sku","snapshots_total","snapshots_eligible","our_featured_wins","win_rate_pct"
"4W-VS57-BV6A","129","129","0","0"
"6V-EEC1-2S9Z","134","134","134","100"
"AX-NKNU-29C1","129","0","0","0"
"JB-RGB6-LZOJ","241","111","0","0"
"L1-54EX-56YC","63","63","16","25.4"
"RZ-6ZL9-CZ7J","129","129","0","0"
"TJ-6LOP-OPEU","129","0","0","0"
"VF-3T0K-DR5O","129","129","0","0"
"XE-YPAI-HX9F","13","13","0","0"
"XH-0LAE-FQO5","128","128","0","0"
"XY-UM2X-TPS3","128","128","0","0"
"YC-3L3M-BV48","128","128","2","1.56"
