"snapshot_ts_utc","offer_rows","has_our_offer","winner_known","unknown_any","our_featured_win","our_landed_price_gbp","winner_landed_price_gbp","our_minus_winner_gbp"
"2026-02-16T17:13:17Z","6","1","1","0","0","14.3","13.7","0.6"
"2026-02-16T17:29:09Z","6","1","1","0","0","13.7","13.7","0"
"2026-02-16T17:45:05Z","6","1","1","0","0","17.99","13.7","4.29"
"2026-02-16T18:01:02Z","6","1","1","0","0","14.3","13.7","0.6"
"2026-02-16T18:16:56Z","6","1","1","0","0","13.7","13.7","0"
"2026-02-16T18:32:47Z","6","1","1","0","1","13.7","13.7","0"
"2026-02-16T18:48:40Z","6","1","1","0","0","13.9","13.02","0.88"
"2026-02-16T19:04:33Z","6","1","1","0","0","13.02","13.02","0"
"2026-02-16T19:20:26Z","6","1","1","0","0","13.02","13.02","0"
"2026-02-16T19:36:22Z","6","1","1","0","1","13.02","13.02","0"
"2026-02-16T19:52:21Z","6","1","1","0","0","13.22","12.53","0.69"
"2026-02-16T20:08:25Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-16T20:24:23Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-16T20:40:18Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-16T20:56:14Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T21:12:08Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T21:28:13Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T21:44:05Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T22:00:03Z","6","1","1","0","0","14.3","12.56","1.74"
"2026-02-16T22:15:55Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T22:31:48Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T22:47:46Z","6","1","1","0","0","12.84","12.56","0.28"
"2026-02-16T23:03:43Z","6","1","1","0","1","12.84","12.84","0"
"2026-02-16T23:19:39Z","6","1","1","0","1","13.04","13.04","0"
"2026-02-16T23:35:34Z","6","1","1","0","1","13.24","13.24","0"
"2026-02-16T23:51:30Z","6","1","1","0","1","13.44","13.44","0"
"2026-02-17T00:07:25Z","6","1","1","0","0","15.3","12.96","2.34"
"2026-02-17T00:23:18Z","6","1","1","0","0","12.96","12.96","0"
"2026-02-17T00:39:09Z","6","1","1","0","0","12.96","12.96","0"
"2026-02-17T00:55:07Z","6","1","1","0","0","12.96","12.96","0"
"2026-02-17T01:11:06Z","6","1","1","0","1","12.96","12.96","0"
"2026-02-17T01:27:04Z","6","1","1","0","0","14.3","12.53","1.77"
"2026-02-17T01:43:00Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T01:58:55Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T02:14:50Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T02:30:45Z","6","1","1","0","1","12.84","12.84","0"
"2026-02-17T02:46:45Z","6","1","1","0","1","13.04","13.04","0"
"2026-02-17T03:02:46Z","6","1","1","0","1","13.24","13.24","0"
"2026-02-17T03:18:49Z","6","1","1","0","1","13.44","13.44","0"
"2026-02-17T03:34:42Z","6","1","1","0","0","13.64","12.77","0.87"
"2026-02-17T03:50:42Z","6","1","1","0","0","12.84","12.77","0.07"
"2026-02-17T04:06:42Z","6","1","1","0","0","12.84","12.77","0.07"
"2026-02-17T04:22:37Z","6","1","1","0","0","12.84","12.77","0.07"
"2026-02-17T04:38:36Z","6","1","1","0","1","12.84","12.84","0"
"2026-02-17T04:54:34Z","6","1","1","0","0","13.04","12.96","0.08"
"2026-02-17T05:10:29Z","6","1","1","0","0","12.96","12.96","0"
"2026-02-17T05:26:24Z","6","1","1","0","0","12.96","12.96","0"
"2026-02-17T05:42:15Z","6","1","1","0","0","12.96","12.53","0.43"
"2026-02-17T05:58:12Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T06:14:08Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T06:30:08Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T06:46:04Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T07:01:57Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T07:17:53Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T07:33:46Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T07:49:41Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T08:44:05Z","6","1","1","0","0","14.3","12.53","1.77"
"2026-02-17T09:00:12Z","6","1","1","0","0","12.84","12.53","0.31"
"2026-02-17T09:16:10Z","6","1","1","0","1","12.84","12.84","0"
"2026-02-17T09:32:29Z","6","1","1","0","1","13.04","13.04","0"
"2026-02-17T09:48:52Z","6","1","1","0","1","13.24","13.24","0"
"2026-02-17T10:05:21Z","6","1","1","0","1","13.44","13.44","0"
"2026-02-17T10:21:47Z","6","1","1","0","0","13.64","12.96","0.68"
