"timestamp_utc","issue","suggested_command","raw_line"
"2026-02-13T15:58:41Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-13T15:58:41Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T00:00:49Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T00:00:49Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T00:15:53Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T00:15:53Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T00:30:57Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T00:30:57Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T00:46:01Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T00:46:01Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T01:01:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T01:01:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T01:16:09Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T01:16:09Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T01:31:13Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T01:31:13Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T01:46:17Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T01:46:17Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T02:01:21Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T02:01:21Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T02:16:25Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T02:16:25Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T02:31:29Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T02:31:29Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T02:46:33Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T02:46:33Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T03:01:37Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T03:01:37Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T03:16:40Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T03:16:40Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T03:31:44Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T03:31:44Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T03:46:48Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T03:46:48Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T04:01:52Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T04:01:52Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T04:16:56Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T04:16:56Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T04:32:00Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T04:32:00Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T04:47:04Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T04:47:04Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T05:02:10Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T05:02:10Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T05:17:15Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T05:17:15Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T05:32:20Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T05:32:20Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T05:47:23Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T05:47:23Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T06:02:27Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T06:02:27Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T15:23:05Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T15:23:05Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T16:37:26Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T16:37:26Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T17:02:29Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T17:02:29Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T17:27:28Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T17:27:28Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T17:52:26Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T17:52:26Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T18:17:32Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T18:17:32Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T18:42:34Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T18:42:34Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T19:07:37Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T19:07:37Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T19:32:41Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T19:32:41Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T19:57:49Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T19:57:49Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T20:22:51Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T20:22:51Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T20:47:52Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T20:47:52Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T21:12:52Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T21:12:52Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T21:37:52Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T21:37:52Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T22:02:54Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T22:02:54Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T22:27:55Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T22:27:55Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T22:52:54Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T22:52:54Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T23:18:01Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T23:18:01Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-14T23:43:09Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-14T23:43:09Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T00:08:18Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T00:08:18Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T00:33:21Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T00:33:21Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T00:58:32Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T00:58:32Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T01:23:33Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T01:23:33Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T01:48:37Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T01:48:37Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T02:13:44Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T02:13:44Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T02:38:45Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T02:38:45Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T03:03:46Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T03:03:46Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T03:28:49Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T03:28:49Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T03:53:58Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T03:53:58Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T04:19:01Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T04:19:01Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T04:44:00Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T04:44:00Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T05:09:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T05:09:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T05:34:07Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T05:34:07Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T05:59:19Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T05:59:19Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T06:24:18Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T06:24:18Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T06:49:17Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T06:49:17Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
"2026-02-15T07:14:17Z","daily_intel_missing_for_today","python scripts/A016_refresh_phase1_daily_intel.py","2026-02-15T07:14:17Z phase1 h_cycle daily_intel missing for today; run A016_refresh_phase1_daily_intel.py"
