sku,asin,price_chart,mix_chart
4W-VS57-BV6A,B0C9LJNJWZ,2026-02-13_4w_vs57_bv6a_b0c9ljnjwz_price_trend.png,2026-02-13_4w_vs57_bv6a_b0c9ljnjwz_seller_mix.png
6V-EEC1-2S9Z,B06WW79DX5,2026-02-13_6v_eec1_2s9z_b06ww79dx5_price_trend.png,2026-02-13_6v_eec1_2s9z_b06ww79dx5_seller_mix.png
AX-NKNU-29C1,B08M52B4M5,2026-02-13_ax_nknu_29c1_b08m52b4m5_price_trend.png,2026-02-13_ax_nknu_29c1_b08m52b4m5_seller_mix.png
JB-RGB6-LZOJ,B0001P0DLU,2026-02-13_jb_rgb6_lzoj_b0001p0dlu_price_trend.png,2026-02-13_jb_rgb6_lzoj_b0001p0dlu_seller_mix.png
RZ-6ZL9-CZ7J,B075XT2J8X,2026-02-13_rz_6zl9_cz7j_b075xt2j8x_price_trend.png,2026-02-13_rz_6zl9_cz7j_b075xt2j8x_seller_mix.png
TJ-6LOP-OPEU,B08P63MSS9,2026-02-13_tj_6lop_opeu_b08p63mss9_price_trend.png,2026-02-13_tj_6lop_opeu_b08p63mss9_seller_mix.png
VF-3T0K-DR5O,B08KFFY86W,2026-02-13_vf_3t0k_dr5o_b08kffy86w_price_trend.png,2026-02-13_vf_3t0k_dr5o_b08kffy86w_seller_mix.png
XH-0LAE-FQO5,B00AOES9GE,2026-02-13_xh_0lae_fqo5_b00aoes9ge_price_trend.png,2026-02-13_xh_0lae_fqo5_b00aoes9ge_seller_mix.png
XY-UM2X-TPS3,B003VTZAM0,2026-02-13_xy_um2x_tps3_b003vtzam0_price_trend.png,2026-02-13_xy_um2x_tps3_b003vtzam0_seller_mix.png
YC-3L3M-BV48,B0CTD6Q6KY,2026-02-13_yc_3l3m_bv48_b0ctd6q6ky_price_trend.png,2026-02-13_yc_3l3m_bv48_b0ctd6q6ky_seller_mix.png
