batch_id,tokens_total,allocated_tokens,available_tokens,research_pending,unsellable,returned_pending,warehouse,returned_events,disposed_events,unique_orders
6V-EEC1-2S9Z-101125-row938,1500,1496,3,1,0,0,0,0,0,1306
WX-L5UA-UB1Q-190625-row756,801,614,187,0,0,0,0,0,0,589
VF-3T0K-DR5O-181125-row947,797,308,489,0,0,0,0,0,0,263
DC-K5WH-R7F5-101125-row934,519,391,128,0,0,0,0,0,0,334
A2-T2AC-TW3L-101125-row939,450,420,30,0,0,0,0,0,0,383
XH-0LAE-FQO5-201025-row927,306,283,23,0,0,0,0,0,0,238
EV-CHU5-XU3G-061025-row881,228,185,43,0,0,0,0,0,0,173
Z7-26PV-O9LR-150925-row865,200,154,44,2,0,0,0,0,0,124
Z3-ORV9-K8XD-050525-row646,193,193,0,0,0,0,0,0,0,183
AX-NKNU-29C1-140425-row586,182,48,134,0,0,0,0,0,0,28
F7-PMJ2-SG6A-061025-row885,169,155,14,0,0,0,0,0,0,91
NN-TSZ1-X2RD-071025-row917,142,142,0,0,0,0,0,0,0,117
A2-T2AC-TW3L-090925-row860,130,130,0,0,0,0,0,0,0,116
A2-T2AC-TW3L-050126-row955,120,0,120,0,0,0,0,0,0,0
TU-8I14-25ZR-061025-row882,115,100,13,2,0,0,0,0,0,100
0G-JB6S-PN34-101125-row946,110,0,110,0,0,0,0,0,0,0
JB-RGB6-LZOJ-010525-row642,103,10,93,0,0,0,0,0,0,10
SR-6OBB-WC03-250825-row819,98,97,1,0,0,0,0,0,0,70
NN-TSZ1-X2RD-161225-row952,94,63,31,0,0,0,0,0,0,40
D7-MGBX-RX2P-201025-row922,90,90,0,0,0,0,0,0,0,66
MW-9K5M-VKW8-061025-row898,90,90,0,0,0,0,0,0,0,90
AF-KIHX-ANYY-240225-row450,86,27,59,0,0,0,0,0,0,27
R7-98IN-2PW8-090925-row857,82,33,46,3,0,0,0,0,0,33
VU-8KRA-QP5M-230625-row763,79,41,38,0,0,0,0,0,0,40
SU-5LQH-2DVN-101125-row940,75,59,16,0,0,0,0,0,0,58
T8-6UWL-I3E1-260825-row822,71,5,66,0,0,0,0,0,0,5
