Order ID,cogs_exvat,qty,sb_cogs,sb_qty,cogs_diff,qty_diff,abs_diff
026-9424504-4957967,0.0,1,-20.51,1.0,20.51,0.0,20.51
405-3654800-4548357,0.0,1,-12.67,1.0,12.67,0.0,12.67
404-4880052-9365131,0.0,1,-12.67,1.0,12.67,0.0,12.67
205-0291358-9417951,0.0,2,-6.08,2.0,6.08,0.0,6.08
204-9879523-5781124,0.0,1,-4.58,1.0,4.58,0.0,4.58
204-9658283-5620365,0.0,2,-4.5,2.0,4.5,0.0,4.5
202-0163562-6882721,0.0,1,-4.3,1.0,4.3,0.0,4.3
202-0316846-4033959,0.0,1,-4.3,1.0,4.3,0.0,4.3
204-9395592-8498701,0.0,1,-4.3,1.0,4.3,0.0,4.3
026-8563039-1840362,0.0,1,-4.3,1.0,4.3,0.0,4.3
204-5110114-7020348,0.0,1,-4.3,1.0,4.3,0.0,4.3
206-7207471-8289903,0.0,1,-4.3,1.0,4.3,0.0,4.3
206-0647215-7566760,0.0,1,-3.33,1.0,3.33,0.0,3.33
026-6913307-1715501,0.0,1,-2.46,1.0,2.46,0.0,2.46
203-8381898-2659535,0.0,1,-2.46,1.0,2.46,0.0,2.46
203-4763592-6333920,0.0,1,-2.46,1.0,2.46,0.0,2.46
205-9979731-9513929,0.0,1,-2.46,1.0,2.46,0.0,2.46
202-7925719-5142763,0.0,1,-2.42,1.0,2.42,0.0,2.42
206-4495253-2835556,0.0,1,-2.25,1.0,2.25,0.0,2.25
205-7643303-3324362,0.0,1,-2.25,1.0,2.25,0.0,2.25
204-7473730-8647512,0.0,1,-2.25,1.0,2.25,0.0,2.25
204-8122313-4281919,0.0,1,-2.25,1.0,2.25,0.0,2.25
203-5895207-3495524,0.0,1,-2.25,1.0,2.25,0.0,2.25
204-7553228-2684351,0.0,1,-2.25,1.0,2.25,0.0,2.25
202-7434904-0586728,0.0,1,-2.25,1.0,2.25,0.0,2.25
202-7815713-6541940,0.0,1,-2.25,1.0,2.25,0.0,2.25
026-9762495-0064333,0.0,1,-2.25,1.0,2.25,0.0,2.25
026-5313246-8599533,0.0,1,-2.25,1.0,2.25,0.0,2.25
026-0698469-9353960,0.0,1,-2.25,1.0,2.25,0.0,2.25
202-8895078-2724346,0.0,1,-2.25,1.0,2.25,0.0,2.25
203-3784865-8868353,0.0,1,-2.25,1.0,2.25,0.0,2.25
203-3755986-8779530,0.0,1,-2.25,1.0,2.25,0.0,2.25
026-4398509-3197117,0.0,1,-2.19,1.0,2.19,0.0,2.19
202-7322617-9563537,0.0,1,-2.19,1.0,2.19,0.0,2.19
206-4646853-8024367,0.0,1,-2.19,1.0,2.19,0.0,2.19
204-3764574-1853903,0.0,1,-2.19,1.0,2.19,0.0,2.19
202-3373455-3385164,0.0,1,-2.19,1.0,2.19,0.0,2.19
203-2356632-3105919,0.0,1,-2.19,1.0,2.19,0.0,2.19
205-9658159-4177914,0.0,1,-1.72,1.0,1.72,0.0,1.72
204-8509333-1419566,0.0,1,-1.72,1.0,1.72,0.0,1.72
203-5551125-1557926,0.0,1,-1.72,1.0,1.72,0.0,1.72
204-6398425-2686723,0.0,1,-1.72,1.0,1.72,0.0,1.72
206-9537384-7986709,0.0,1,-1.72,1.0,1.72,0.0,1.72
205-7112528-8351519,0.0,1,-1.72,1.0,1.72,0.0,1.72
204-6220941-7393909,0.0,1,-1.72,1.0,1.72,0.0,1.72
205-4179902-1289924,0.0,1,-1.72,1.0,1.72,0.0,1.72
408-6032581-8743553,0.0,2,-1.36,2.0,1.36,0.0,1.36
026-2835431-4003514,0.0,1,-0.68,1.0,0.68,0.0,0.68
026-7958218-8920369,0.0,0,,,0.0,0.0,0.0
204-0718203-8947547,0.0,0,,,0.0,0.0,0.0
